step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999998807,95.88,64.8,0.2,10.0,0,35.88
1,3,GO,0.14999999999997612,95.84,64.8,0.4,10.0,0,35.84
2,3,GO,0.23000000000000684,95.78,64.8,0.6000000000000001,10.0,0,35.78
3,0,STOP,0.08000000000003242,95.745,64.8,0.3500000000000001,10.0,0,35.745000000000005
4,3,GO,0.15999999999997783,95.69,64.8,0.55,10.0,0,35.69
5,3,GO,0.29000000000000853,95.615,64.8,0.75,10.0,0,35.615
6,3,GO,0.36999999999999655,95.52,64.8,0.95,10.0,0,35.52
7,3,GO,0.44999999999998463,95.405,61.6,1.15,10.0,0,35.405
8,3,GO,0.5300000000000153,95.27,61.6,1.3499999999999999,10.0,0,35.27
9,3,GO,0.6100000000000034,95.115,61.6,1.5499999999999998,10.0,0,35.115
10,3,GO,0.6899999999999915,94.94,61.6,1.7499999999999998,10.0,0,34.94
11,3,GO,0.7700000000000221,94.745,61.6,1.9499999999999997,10.0,0,34.745000000000005
12,3,GO,0.8499999999999676,94.53,61.6,2.15,43.037189285028326,0,34.53
13,3,GO,0.9300000000000409,94.295,61.6,2.35,34.3805113369521,0,34.295
14,3,GO,1.0099999999999865,94.04,61.6,2.5500000000000003,28.45152486937015,0,34.04
15,3,GO,1.0900000000000172,93.765,61.6,2.7500000000000004,24.277540761828828,0,33.765
16,3,GO,1.1699999999999626,93.47,61.6,2.9500000000000006,21.188580997349984,0,33.47
17,3,GO,1.2499999999999933,93.155,61.6,3.150000000000001,19.003775193873267,0,33.155
18,3,GO,1.330000000000024,92.82000000000001,61.6,3.350000000000001,17.004081207545095,0,32.82
19,3,GO,1.4100000000000121,92.465,61.6,3.550000000000001,15.517864120721205,0,32.465
20,3,GO,1.4899999999999576,92.09,61.6,3.7500000000000013,14.20141892034509,0,32.09
21,2,YIELD,1.430000000000007,91.7175,61.6,3.7250000000000014,13.595478548835874,0,31.7175
22,3,GO,1.5100000000000378,91.325,61.6,3.9250000000000016,12.44570705977341,0,31.325000000000003
23,3,GO,1.6399999999999832,90.9125,61.6,4.125000000000002,11.523772000977274,0,30.9125
24,3,GO,1.720000000000014,90.48,61.6,4.325000000000002,10.766260774136736,0,30.479999999999997
25,3,GO,1.800000000000002,90.0275,61.6,4.525000000000002,10.115264139107303,0,30.027499999999996
26,3,GO,1.8799999999999901,89.55499999999999,61.6,4.725000000000002,9.431744786510912,0,29.555
27,3,GO,1.9599999999999782,89.0625,61.6,4.9250000000000025,8.83691096253499,0,29.0625
28,3,GO,2.0400000000000515,88.55,61.6,5.125000000000003,8.294306367831492,0,28.549999999999997
29,3,GO,2.119999999999997,88.0175,61.6,5.325000000000003,7.768263046856104,0,28.0175
30,3,GO,2.199999999999985,87.465,61.6,5.525000000000003,7.397089286104129,0,27.464999999999996
31,3,GO,2.280000000000016,86.8925,61.6,5.725000000000003,6.940489774672053,0,26.8925
32,3,GO,2.360000000000004,86.3,61.6,5.925000000000003,6.614426856602734,0,26.299999999999997
33,1,CREEP,2.290000000000018,85.71249999999999,61.6,5.8750000000000036,6.413617608110661,0,25.71249999999999
34,3,GO,2.369999999999963,85.10499999999999,61.6,6.075000000000004,6.068613783943549,0,25.104999999999997
35,3,GO,2.499999999999994,84.47749999999999,61.6,6.275000000000004,5.760173882604459,0,24.477499999999992
36,3,GO,2.580000000000024,83.83,61.6,6.475000000000004,5.479556374762857,0,23.83
37,3,GO,2.65999999999997,83.1625,61.6,6.675000000000004,5.17627591897761,0,23.162499999999994
38,3,GO,2.74,82.475,61.6,6.875000000000004,4.880937248679678,0,22.474999999999994
39,3,GO,2.8200000000000314,81.7675,61.6,7.075000000000005,4.6335853287624955,0,21.767499999999995
40,3,GO,2.8999999999999764,81.03999999999999,61.6,7.275000000000005,4.412644706463173,0,21.039999999999996
41,3,GO,2.9800000000000075,80.29249999999999,61.6,7.475000000000005,4.1912275924944655,0,20.292499999999997
42,3,GO,3.060000000000038,79.52499999999999,61.6,7.675000000000005,3.9668464201468683,0,19.524999999999995
43,3,GO,3.1399999999999837,78.7375,61.6,7.875000000000005,3.7706039533182567,0,18.737499999999994
44,3,GO,3.220000000000014,77.92999999999999,61.6,8.075000000000005,3.568611538266022,0,17.929999999999993
45,3,GO,3.2999999999999594,77.10249999999999,61.6,8.275000000000004,3.3625569536384514,0,17.102499999999992
46,3,GO,3.37999999999999,76.255,61.6,8.475000000000003,3.1788356838866156,0,16.254999999999992
47,3,GO,0.46000000000002084,75.38749999999999,61.6,8.675000000000002,2.99539358942177,0,15.387499999999992
48,3,GO,0.5400000000000089,74.49999999999999,61.6,8.875000000000002,2.828853423094348,0,14.499999999999993
49,3,GO,0.6199999999999966,73.5925,61.6,9.075000000000001,2.6646699672250325,0,13.592499999999994
50,3,GO,0.6999999999999846,72.66499999999999,61.6,9.275,2.4934488208860266,0,12.664999999999996
51,3,GO,0.7800000000000153,71.7175,61.6,9.475,2.332441998143755,0,11.717499999999994
52,3,GO,0.8600000000000034,70.75,61.6,9.674999999999999,2.18673416788935,0,10.749999999999993
53,3,GO,0.9399999999999915,69.76249999999999,61.6,9.874999999999998,2.0383161689677496,0,9.762499999999992
54,3,GO,1.0200000000000218,68.755,61.6,10.074999999999998,1.9013855653145606,0,8.754999999999992
55,3,GO,1.0999999999999672,67.72749999999999,61.6,10.274999999999997,1.7607146906323534,0,7.727499999999992
56,3,GO,1.1800000000000406,66.67999999999999,61.6,10.474999999999996,1.624747481403122,0,6.679999999999993
57,3,GO,1.259999999999986,65.61249999999998,61.6,10.674999999999995,1.4916366042536287,0,5.61249999999999
