# scenario=1a, ego_maneuver=stem_left, seed=42, episode_idx=76, terminal_step=77, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3100000000000375,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5499999999999591,10.0,0,none,0
7,51.6,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000751,45.09514584962288,1,none,0
8,51.6,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7099999999999351,38.85961605349474,1,none,0
9,51.6,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7900000000000085,33.37523545924857,1,none,0
10,51.6,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,28.866812310254964,1,none,0
11,51.6,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9499999999999846,25.16236948293505,1,none,0
12,51.6,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0300000000000153,21.296151858502405,1,none,0
13,51.6,6.199999999999998,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,18.791212228661497,1,none,0
14,51.6,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1899999999999915,16.79252063464082,1,none,0
15,51.6,6.819999999999998,0.0,3.2000000000000006,2.0000000000000018,3,1.2700000000000222,15.006287809191596,1,none,0
16,51.6,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3499999999999677,13.509682798345327,1,none,0
17,51.6,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.430000000000041,12.249355196846533,1,none,0
18,51.6,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.5099999999999865,11.07864400112825,1,none,0
19,51.6,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5900000000000172,10.10057828848294,1,none,0
20,51.6,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6699999999999626,9.251566943924514,1,none,0
21,51.6,9.159999999999998,0.0,4.400000000000001,2.0000000000000018,3,1.7499999999999933,8.433910908586334,1,none,0
22,51.6,9.62,0.0,4.600000000000001,2.0000000000000018,3,1.830000000000024,7.7089966556793525,1,none,0
23,51.6,10.1,0.0,4.800000000000002,2.0000000000000018,3,1.9100000000000121,7.048343265747439,1,none,0
24,51.6,10.6,0.0,5.000000000000002,2.0000000000000018,3,1.9900000000000002,6.464613985765573,1,none,0
25,51.6,11.12,0.0,5.200000000000002,2.0000000000000018,3,2.0699999999999883,5.951717708345446,2,none,0
26,51.6,11.6375,0.0,5.1750000000000025,-0.24999999999999467,2,2.0099999999999953,5.613832653761103,2,none,0
27,51.6,12.1525,0.0,5.150000000000002,-0.25000000000000355,2,2.050000000000002,5.283819325230678,2,none,0
28,51.6,12.6875,0.0,5.350000000000002,2.0000000000000018,3,2.0799999999999903,4.848368173341558,2,none,0
29,51.6,13.2425,0.0,5.5500000000000025,2.0000000000000018,3,2.210000000000021,4.4289182562069564,2,none,0
30,51.6,13.817499999999999,0.0,5.750000000000003,2.0000000000000018,3,2.290000000000009,4.0546576260691225,2,none,0
31,51.6,14.412500000000001,0.0,5.950000000000003,2.0000000000000018,3,2.369999999999997,3.6869969631023918,2,none,0
32,51.6,15.0275,0.0,6.150000000000003,2.0000000000000018,3,2.449999999999985,3.3434887486049294,2,none,0
33,51.6,15.662500000000001,0.0,6.350000000000003,2.0000000000000018,3,2.530000000000016,3.0222986609509648,2,none,0
34,51.6,16.317500000000003,0.0,6.550000000000003,2.0000000000000018,3,-0.3899999999999961,2.724161949069785,2,none,0
35,51.6,16.992500000000003,0.0,6.7500000000000036,2.0000000000000018,3,-0.31000000000000805,2.450683199137902,2,none,0
36,51.6,17.687500000000004,0.0,6.950000000000004,2.0000000000000018,3,-0.23000000000001997,2.1827137624494553,2,none,0
37,51.6,18.402500000000003,0.0,7.150000000000004,2.0000000000000018,3,-0.14999999999998925,1.9179718738225013,2,none,0
38,51.6,19.137500000000003,0.0,7.350000000000004,2.0000000000000018,3,-0.06999999999995854,1.6749026046160558,2,none,0
39,51.6,19.892500000000002,0.0,7.550000000000004,2.0000000000000018,3,0.009999999999986908,1.451481209441357,2,none,0
40,51.6,20.667500000000004,0.0,7.750000000000004,2.0000000000000018,3,0.09000000000001762,1.2358802286668618,2,none,0
41,51.6,21.462500000000006,0.0,7.950000000000005,2.0000000000000018,3,0.16999999999996307,1.0204058889513248,2,none,0
42,51.6,22.277500000000007,0.0,8.150000000000004,1.999999999999993,3,0.24999999999999378,0.8200037168328581,2,none,0
43,51.6,23.112500000000008,0.0,8.350000000000003,1.999999999999993,3,0.33000000000002405,0.6265093625787217,2,none,0
44,51.6,23.96750000000001,0.0,8.550000000000002,1.999999999999993,3,0.41000000000001213,0.44535770553622284,2,none,0
45,51.6,24.842500000000005,0.0,8.750000000000002,1.999999999999993,3,0.4900000000000002,0.2722570741034756,2,none,0
46,51.6,25.737500000000008,0.0,8.950000000000001,1.999999999999993,3,0.5699999999999883,0.12329294752198461,2,none,0
47,51.6,26.652500000000007,0.0,9.15,1.999999999999993,3,0.6499999999999764,0.05165614823470406,2,none,0
