iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,460.8697016239166,457.59357142448425,149.62595796585083,66.32308173179626,66.29258871078491,0.45088423788547516,-0.10160278528928757,0.4686209261417389,1.474521279335022,0.0,0.0,0.08386609703302383,-536.2080688476562,500.0,8,0,0,8,0,0.30322265625,0.100341796875,0.330322265625,0.11865234375,0.1474609375
2,8192,1413.2556159496307,468.8625626564026,160.48732542991638,73.04054832458496,73.01003193855286,6.871811926364899,0.13661152124404907,6.038620948791504,1.4285008907318115,0.0,0.0,0.6965794563293457,-1156.82568359375,500.0,8,0,0,8,0,0.229736328125,0.208251953125,0.311767578125,0.15771484375,0.092529296875
3,12288,1888.0830926895142,474.82732486724854,159.98006105422974,84.17664051055908,84.14469838142395,2.379739347845316,-0.04077747091650963,2.230860948562622,1.3568354845046997,0.0,0.0,0.1896558701992035,-131.27865600585938,500.0,8,0,0,8,0,0.220703125,0.18896484375,0.36181640625,0.185546875,0.04296875
4,16384,2338.2418389320374,450.1585781574249,144.86988401412964,77.67816090583801,77.6487820148468,37.01962506771088,-0.13050949573516846,32.439674377441406,1.3460609912872314,0.0,0.0,4.710460186004639,2123.51953125,500.0,8,0,0,8,0,0.173828125,0.197998046875,0.37451171875,0.222900390625,0.03076171875
5,20480,2812.5221207141876,474.2800853252411,165.6990659236908,79.34380984306335,79.31498718261719,65.63567051291466,0.18266376852989197,46.198524475097656,1.4130898714065552,0.0,0.0,19.25448226928711,6738.36669921875,482.75,8,0,2,6,0,0.15625,0.19140625,0.36669921875,0.25439453125,0.03125
6,24576,3302.8116557598114,490.28935170173645,172.70464515686035,84.43603515625,84.40495157241821,441.97183549404144,-0.062418222427368164,377.08099365234375,1.395437479019165,0.0,0.8822075128555298,64.07105255126953,11138.357421875,445.1111111111111,9,0,5,4,0,0.14599609375,0.158203125,0.369140625,0.2783203125,0.04833984375
7,28672,3808.814033508301,506.0021860599518,179.59645533561707,82.77762937545776,82.74761271476746,119.37175155431032,0.05692458897829056,71.38202667236328,1.386528730392456,0.0,0.0,47.93280029296875,12345.0419921875,488.25,8,0,2,6,0,0.159423828125,0.1669921875,0.348876953125,0.254150390625,0.070556640625
8,32768,4335.017389059067,526.2032029628754,183.37182664871216,87.7357349395752,87.70357584953308,523.230016913265,0.04172345623373985,370.279541015625,1.3806958198547363,0.0,0.0,152.90875244140625,18170.462890625,437.6666666666667,9,0,6,3,0,0.130615234375,0.149658203125,0.377197265625,0.284912109375,0.0576171875
9,36864,4849.397208690643,514.3796589374542,171.29024958610535,81.77192687988281,81.74447059631348,242.676255363971,0.04490726813673973,176.70468139648438,1.3955187797546387,0.0,0.09671064466238022,65.8299560546875,17050.50390625,453.55555555555554,9,0,5,4,0,0.135498046875,0.179443359375,0.303466796875,0.3125,0.069091796875
10,40960,5421.269382953644,571.8719902038574,223.63897132873535,85.67903804779053,85.64747166633606,674.5104552209377,0.09913358092308044,425.9338073730469,1.3615894317626953,0.0,0.29700279235839844,248.18051147460938,24068.16796875,344.09090909090907,11,0,11,0,0,0.14111328125,0.15380859375,0.3017578125,0.32958984375,0.07373046875
