# scenario=1a, ego_maneuver=stem_left, seed=3059, episode_idx=17, terminal_step=79, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3100000000000375,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5499999999999591,10.0,0,none,0
7,51.6,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000751,10.0,0,none,0
8,51.6,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7099999999999351,10.0,0,none,0
9,51.6,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7900000000000085,10.0,0,none,0
10,51.6,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,31.68091116109094,1,none,0
11,51.6,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9499999999999846,28.812545080620012,1,none,0
12,51.6,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0300000000000153,26.180953251394396,1,none,0
13,51.6,6.199999999999998,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,23.8343447788506,1,none,0
14,51.6,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1899999999999915,21.77078278822364,1,none,0
15,51.6,6.819999999999998,0.0,3.2000000000000006,2.0000000000000018,3,1.2700000000000222,19.98767755079874,1,none,0
16,51.6,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3499999999999677,18.396553201718493,1,none,0
17,51.6,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.430000000000041,17.019425829521783,1,none,0
18,51.6,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.5099999999999865,15.792956009087211,1,none,0
19,51.6,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5900000000000172,14.71430076761576,1,none,0
20,51.6,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6699999999999626,13.720543996579385,1,none,0
21,51.6,9.159999999999998,0.0,4.400000000000001,2.0000000000000018,3,1.7499999999999933,12.840875908713834,1,none,0
22,51.6,9.62,0.0,4.600000000000001,2.0000000000000018,3,1.830000000000024,12.056662644335983,2,none,0
23,51.6,10.1,0.0,4.800000000000002,2.0000000000000018,3,1.9100000000000121,11.349864789297785,2,none,0
24,51.6,10.6,0.0,5.000000000000002,2.0000000000000018,3,1.9900000000000002,10.68608250011484,2,none,0
25,51.6,11.0975,0.0,4.975000000000001,-0.25000000000000355,2,1.930000000000007,10.387176968747813,2,none,0
26,51.6,11.615,0.0,5.175000000000002,2.0000000000000018,3,2.0099999999999953,9.80125182842166,2,none,0
27,51.6,12.1525,0.0,5.375000000000002,2.0000000000000018,3,2.1399999999999832,9.25491992481861,2,none,0
28,51.6,12.710000000000003,0.0,5.575000000000002,2.0000000000000018,3,2.220000000000014,8.777088369084755,2,none,0
29,51.6,13.242500000000001,0.0,5.325000000000002,-2.5,0,2.0699999999999967,8.724619667716976,2,none,0
30,51.6,13.795000000000002,0.0,5.525000000000002,2.0000000000000018,3,2.150000000000028,8.276676775216862,2,none,0
31,51.6,14.367500000000001,0.0,5.725000000000002,2.0000000000000018,3,2.2799999999999727,7.851992857914871,2,none,0
32,51.6,14.96,0.0,5.9250000000000025,2.0000000000000018,3,2.360000000000004,7.449672235200388,2,none,0
33,51.6,15.5725,0.0,6.125000000000003,2.0000000000000018,3,2.4399999999999915,7.083693296690504,2,none,0
34,51.6,16.205000000000002,0.0,6.325000000000003,2.0000000000000018,3,2.5200000000000227,6.733671889688735,2,none,0
35,51.6,16.8575,0.0,6.525000000000003,2.0000000000000018,3,2.6000000000000103,6.393776414715887,2,none,0
36,51.6,17.5075,0.0,6.5000000000000036,-0.24999999999999467,2,2.539999999999975,6.199856193464389,2,none,0
37,51.6,18.177500000000002,0.0,6.700000000000004,2.0000000000000018,3,2.6200000000000054,5.898270956698015,2,none,0
38,51.6,18.867500000000003,0.0,6.900000000000004,2.0000000000000018,3,2.749999999999994,5.606058261668371,2,none,0
39,51.6,19.555000000000003,0.0,6.8750000000000036,-0.25000000000000355,2,2.6900000000000004,5.4211283598949125,2,none,0
40,51.6,20.240000000000002,0.0,6.850000000000003,-0.25000000000000355,2,2.730000000000007,5.233752762875573,2,none,0
41,51.6,20.945000000000004,0.0,7.050000000000003,2.0000000000000018,3,2.760000000000038,4.974024563208533,2,none,0
42,51.6,21.670000000000005,0.0,7.2500000000000036,2.0000000000000018,3,2.8899999999999832,4.727864694029259,2,none,0
43,51.6,22.392500000000005,0.0,7.225000000000003,-0.25000000000000355,2,2.8299999999999903,4.565959373994529,2,none,0
44,51.6,23.112500000000004,0.0,7.200000000000003,-0.25000000000000355,2,2.869999999999997,4.4051708019919955,2,none,0
45,51.6,23.852500000000006,0.0,7.400000000000003,2.0000000000000018,3,2.900000000000028,4.100075203999198,2,none,0
46,51.6,24.612500000000008,0.0,7.600000000000003,2.0000000000000018,3,3.029999999999973,3.7968718260664605,2,none,0
47,51.6,25.392500000000005,0.0,7.800000000000003,2.0000000000000018,3,3.110000000000004,3.510266620076025,2,none,0
48,51.6,26.192500000000013,0.0,8.000000000000004,2.0000000000000018,3,3.1900000000000346,3.2353585988170677,2,none,0
