iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,333.25156354904175,333.2482624053955,15.076941728591919,87.55309915542603,87.52551984786987,13.303469073027372,0.1569247841835022,11.17300033569336,1.532221794128418,0.0,0.04447491094470024,1.9290690422058105,-1614.0606689453125,500.0,8,0,0,8,0,0.091064453125,0.166748046875,0.18603515625,0.248779296875,0.307373046875
2,8192,917.7332119941711,330.2094876766205,15.101176023483276,85.78306412696838,85.75652360916138,5.37815211340785,-0.1627747118473053,4.397840976715088,1.5200276374816895,0.0,0.027679573744535446,1.1154062747955322,-2768.35546875,500.0,8,0,0,8,0,0.1474609375,0.227783203125,0.14697265625,0.259765625,0.218017578125
3,12288,1264.6335349082947,346.9001588821411,15.44855546951294,77.17068576812744,77.14223551750183,10.676659028977156,-0.05228324607014656,9.430087089538574,1.4478261470794678,0.0,0.1907263994216919,1.1081287860870361,-2579.2412109375,500.0,8,0,0,8,0,0.171630859375,0.272216796875,0.154052734375,0.274658203125,0.12744140625
4,16384,1606.1389515399933,341.5052230358124,15.487673997879028,78.03228497505188,78.00418782234192,289.8383400551975,0.04257228597998619,249.2293243408203,1.4106258153915405,0.0,0.20290277898311615,40.36354064941406,4096.64990234375,486.125,8,0,3,5,0,0.148193359375,0.26171875,0.166015625,0.3359375,0.088134765625
5,20480,1941.845027923584,335.70587968826294,15.942797899246216,77.25857663154602,77.2279760837555,664.4220814183354,-0.010463915765285492,446.8209228515625,1.4101355075836182,0.0,0.26791825890541077,217.3437042236328,10752.8525390625,423.3333333333333,9,0,8,1,0,0.152099609375,0.26025390625,0.154052734375,0.351318359375,0.082275390625
6,24576,2283.4659802913666,341.6208002567291,15.18623399734497,73.26472282409668,73.2356972694397,749.6557916775346,0.047041766345500946,525.5877075195312,1.3961859941482544,0.0,0.23901419341564178,223.7820281982422,15495.240234375,465.125,8,0,7,1,0,0.153076171875,0.270751953125,0.137939453125,0.347412109375,0.0908203125
7,28672,2617.1524002552032,333.68625688552856,15.372888088226318,77.95779848098755,77.92802858352661,484.92203538119793,0.08128223568201065,326.0082092285156,1.4406365156173706,0.0,0.08750302344560623,158.7450408935547,16554.392578125,444.55555555555554,9,0,6,3,0,0.157958984375,0.211669921875,0.15771484375,0.358642578125,0.114013671875
8,32768,2963.0846185684204,345.9320683479309,15.391446352005005,85.51909446716309,85.48952078819275,767.5966889858246,-0.08515673875808716,527.5570068359375,1.35857093334198,0.0,0.10858827829360962,240.01625061035156,21584.193359375,442.44444444444446,9,0,6,3,0,0.128173828125,0.218505859375,0.203857421875,0.33642578125,0.113037109375
9,36864,3307.5002694129944,344.415470123291,15.66785454750061,90.44678401947021,90.4172728061676,670.9122123718262,0.1489596664905548,365.66204833984375,1.372310996055603,0.0,0.011421650648117065,305.08978271484375,24221.328125,405.0,10,0,10,0,0,0.122802734375,0.23046875,0.16943359375,0.373046875,0.104248046875
10,40960,3657.930780172348,350.43030643463135,15.417761325836182,84.25508952140808,84.224365234375,623.5379662364721,0.0030236095190048218,363.83050537109375,1.3311314582824707,0.0,0.0,259.7044372558594,26645.14453125,430.0,9,0,9,0,0,0.14208984375,0.2333984375,0.159423828125,0.36083984375,0.104248046875
11,45056,4025.2973082065582,367.3663387298584,16.495342016220093,86.07874894142151,86.04717493057251,1097.1486521493644,-0.026457713916897774,652.6326904296875,1.3347471952438354,0.0,0.0,444.54241943359375,24891.146484375,323.5,12,0,12,0,0,0.134521484375,0.207763671875,0.1435546875,0.411376953125,0.102783203125
12,49152,4540.229532003403,382.346706867218,17.121485233306885,89.1836850643158,89.15614533424377,727.027569398284,-0.05011118948459625,450.29278564453125,1.330385446548462,0.0,0.010145187377929688,276.7747497558594,26290.666015625,280.07142857142856,14,0,14,0,0,0.114501953125,0.19482421875,0.1435546875,0.456787109375,0.09033203125
13,53248,4912.744638204575,372.5148949623108,17.011263370513916,89.3042733669281,89.27263498306274,508.12300319597125,-0.03874047100543976,340.8682861328125,1.2131643295288086,0.0,0.06204273924231529,167.23141479492188,32200.876953125,298.38461538461536,13,0,13,0,0,0.120849609375,0.22998046875,0.142822265625,0.426025390625,0.080322265625
14,57344,5291.57194685936,378.82712745666504,16.935256242752075,87.41314172744751,87.38142824172974,436.68201472237706,0.039436597377061844,269.54986572265625,1.2064237594604492,0.0,0.0,167.09271240234375,31328.521484375,286.2857142857143,14,0,14,0,0,0.135986328125,0.199462890625,0.11767578125,0.456787109375,0.090087890625
15,61440,5672.696187734604,381.12409377098083,18.013919353485107,82.71572065353394,82.68559789657593,619.9485523849726,-0.14238999783992767,381.7148742675781,1.1531710624694824,0.0,0.0,238.37606811523438,32424.201171875,285.92857142857144,14,0,14,0,0,0.148193359375,0.179931640625,0.125732421875,0.461181640625,0.0849609375
16,65536,6069.926450967789,397.2300970554352,17.368908405303955,94.2494478225708,94.2180290222168,398.7057157307863,-0.03201620280742645,247.91770935058594,1.193063497543335,0.0,0.0,150.8200225830078,34058.28515625,283.57142857142856,14,0,14,0,0,0.1357421875,0.19580078125,0.122314453125,0.45751953125,0.088623046875
17,69632,6453.010956525803,383.0843539237976,17.4390287399292,94.01524305343628,93.98644828796387,544.787049934268,-0.05908043682575226,321.85235595703125,1.1309645175933838,0.0,0.0,222.9937744140625,34535.734375,262.1333333333333,15,0,15,0,0,0.129638671875,0.173095703125,0.11669921875,0.489013671875,0.091552734375
18,73728,6833.970569849014,380.95948243141174,17.009331703186035,83.9544038772583,83.92782473564148,440.5064979940653,0.09597606956958771,242.9396514892578,1.083641767501831,0.0,0.04771369695663452,197.42315673828125,37155.2109375,256.0,15,0,15,0,0,0.154541015625,0.1455078125,0.11376953125,0.510498046875,0.07568359375
19,77824,7237.0207731723785,403.0500330924988,17.84150743484497,89.9795823097229,89.95120978355408,559.273668140173,0.10086235404014587,365.7290344238281,1.059596061706543,0.0,0.0,193.4437713623047,37296.32421875,245.875,16,0,16,0,0,0.158447265625,0.154052734375,0.10009765625,0.510498046875,0.076904296875
20,81920,7606.959774017334,369.93881726264954,17.680172204971313,90.75517225265503,90.72559332847595,483.0838705152273,0.1309591382741928,283.54547119140625,1.1020636558532715,0.0,0.0,199.40744018554688,40400.60546875,258.8666666666667,15,0,15,0,0,0.1552734375,0.158203125,0.1103515625,0.496337890625,0.079833984375
21,86016,8015.855856180191,408.89588832855225,17.921136379241943,100.59514832496643,100.56441640853882,517.2947850376368,0.0756077915430069,290.2088928222656,1.0724297761917114,0.0,0.0,227.01028442382812,39858.84375,241.625,16,0,16,0,0,0.148681640625,0.14794921875,0.108642578125,0.51171875,0.0830078125
22,90112,8565.115661144257,383.0316050052643,17.92030668258667,89.9472885131836,89.91422939300537,745.7585022002459,-0.006970211863517761,450.23150634765625,1.026376485824585,0.0,0.0,295.5339660644531,41543.6796875,242.5,16,0,16,0,0,0.139892578125,0.158447265625,0.111328125,0.5087890625,0.08154296875
23,94208,8980.470970153809,415.3551199436188,18.035640001296997,94.0985324382782,94.06881332397461,622.0320756118745,0.019014088436961174,360.39605712890625,0.9686275720596313,0.0,0.0,261.61700439453125,39324.78125,238.94117647058823,17,0,17,0,0,0.14794921875,0.15625,0.09619140625,0.526123046875,0.073486328125
24,98304,9364.05007982254,383.57892537117004,17.991153240203857,91.40243005752563,91.37354302406311,609.6329206824303,0.026444852352142334,351.7933654785156,1.0237689018249512,0.0,0.0,257.8131103515625,42439.9296875,252.75,16,0,16,0,0,0.171630859375,0.15185546875,0.10400390625,0.50390625,0.068603515625
25,102400,9772.850985765457,408.8007552623749,17.730583667755127,96.58881878852844,96.55718541145325,799.4042761921883,-0.10686272382736206,465.6935119628906,1.0098893642425537,0.0,0.0,333.817626953125,44592.16015625,260.4,15,0,15,0,0,0.187255859375,0.1650390625,0.13134765625,0.456298828125,0.06005859375
26,106496,10176.075194358826,403.21496963500977,17.87299871444702,95.49042987823486,95.46189165115356,771.1034256033599,0.009797673672437668,476.97259521484375,1.0341699123382568,0.0,0.0,294.12103271484375,44090.8203125,247.8125,16,0,16,0,0,0.204833984375,0.150390625,0.10498046875,0.4794921875,0.060302734375
27,110592,10570.791617631912,394.716233253479,18.070968866348267,94.54174137115479,94.51247930526733,639.9560782760382,-0.03845907747745514,338.96185302734375,1.1025899648666382,0.0,0.0,301.0326843261719,46597.66015625,267.26666666666665,15,0,15,0,0,0.208740234375,0.1572265625,0.12353515625,0.4521484375,0.058349609375
28,114688,10974.765821695328,403.97401118278503,17.878276348114014,97.34746885299683,97.3163640499115,662.5352402366698,-0.028846677392721176,375.76715087890625,1.0311423540115356,0.0,0.0,286.79693603515625,47187.25390625,260.0,15,0,15,0,0,0.1953125,0.166259765625,0.111572265625,0.45947265625,0.0673828125
29,118784,11387.485087156296,412.7190771102905,16.98961043357849,97.68281292915344,97.65039420127869,562.790643826127,-0.08622477948665619,317.4446105957031,1.0391051769256592,0.0,1.540122389793396,243.8921356201172,44658.953125,252.625,16,0,16,0,0,0.163818359375,0.186767578125,0.111328125,0.4814453125,0.056640625
