# scenario=1a, ego_maneuver=stem_right, seed=42, episode_idx=91, terminal_step=75, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.15000000000001876,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000324,10.0,0,none,0
8,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7099999999999778,40.17632617798437,1,none,0
9,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7900000000000085,35.58740295745573,1,none,0
10,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,31.244378993288674,1,none,0
11,54.8,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9499999999999846,27.4974675893639,1,none,0
12,54.8,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0300000000000153,24.38455824950758,1,none,0
13,54.8,6.199999999999998,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,21.99036275365424,1,none,0
14,54.8,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1899999999999915,19.785112051183972,1,none,0
15,54.8,6.819999999999998,0.0,3.2000000000000006,2.0000000000000018,3,1.2700000000000222,18.078282075828767,1,none,0
16,54.8,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3499999999999677,16.5605597247239,1,none,0
17,54.8,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.4299999999999984,15.317151458208711,1,none,0
18,54.8,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.5099999999999865,14.064091643903994,1,none,0
19,54.8,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5900000000000172,13.043765336464325,1,none,0
20,54.8,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6700000000000053,12.199107386439973,1,none,0
21,54.8,9.1375,0.0,4.175000000000001,-0.25000000000000355,2,1.610000000000012,11.808647703561675,1,none,0
22,54.8,9.575,0.0,4.375000000000001,2.0000000000000018,3,1.6900000000000002,11.004620830765889,1,none,0
23,54.8,10.032499999999999,0.0,4.575000000000001,2.0000000000000018,3,1.8199999999999883,10.30684689506198,1,none,0
24,54.8,10.487499999999999,0.0,4.550000000000001,-0.25000000000000355,2,1.759999999999995,9.903530744818468,1,none,0
25,54.8,10.962499999999999,0.0,4.750000000000001,2.0000000000000018,3,1.839999999999983,9.26141021198285,1,none,0
26,54.8,11.4575,0.0,4.950000000000001,2.0000000000000018,3,1.9700000000000137,8.82123562098242,1,none,0
27,54.8,11.9725,0.0,5.150000000000001,2.0000000000000018,3,2.0500000000000442,8.269195442000324,1,none,0
28,54.8,12.507499999999999,0.0,5.350000000000001,2.0000000000000018,3,2.12999999999999,7.887191389306499,1,none,0
29,54.8,13.0625,0.0,5.550000000000002,2.0000000000000018,3,2.2099999999999778,7.4937735603625875,2,none,0
30,54.8,13.615,0.0,5.525000000000002,-0.24999999999999467,2,2.1499999999999853,7.225847395975559,2,none,0
31,54.8,14.1875,0.0,5.725000000000002,2.0000000000000018,3,2.2300000000000155,6.8661431757419225,2,none,0
32,54.8,14.78,0.0,5.9250000000000025,2.0000000000000018,3,2.360000000000004,6.5420260280220415,2,none,0
33,54.8,15.370000000000001,0.0,5.900000000000002,-0.25000000000000355,2,2.299999999999968,6.285208702236453,2,none,0
34,54.8,15.980000000000002,0.0,6.100000000000002,2.0000000000000018,3,2.3800000000000416,5.930668545734229,2,none,0
35,54.8,16.587500000000002,0.0,6.075000000000003,-0.24999999999999467,2,2.369999999999963,5.724098968961855,2,none,0
36,54.8,17.215000000000003,0.0,6.275000000000003,2.0000000000000018,3,2.4500000000000366,5.4666229305111305,2,none,0
37,54.8,17.862500000000004,0.0,6.475000000000003,2.0000000000000018,3,2.5799999999999814,5.206884426765355,2,none,0
