step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,cbf_residual_mean,anchor_loss,bc_loss,distill_loss,distill_gap,train_time_per_iter
4096,52.41128714561462,10,0.06752985715866089,1.6312328577041626,0,0.0,10.505979796944345,0.5006166357180124,1.4833587408065796,0.0011381059885025024,1.8238917589187622,0.0,0.1001635491847992,0.1001635491847992,451.5519325733185
45056,229.69589357280725,10,-0.08649148046970367,874.6802368164062,1,0.1,6.759266988265288,0.0,1.210603952407837,0.2749219536781311,132.47991943359375,0.0,568.511962890625,568.511962890625,583.4161946773529
86016,278.9531957152048,10,-0.09750593453645706,221.85830688476562,1,0.1,6.138752902380088,0.0,0.48701614141464233,0.0,124.83043670654297,0.0,106.77041625976562,106.77041625976562,828.0263209342957
126976,314.2693967864036,10,0.17306093871593475,265.0803527832031,0,0.0,5.831192140611457,0.0,0.3399101793766022,0.0,167.11810302734375,0.35971441864967346,101.4081802368164,101.4081802368164,832.8833179473877
167936,328.70633742912287,10,0.10755820572376251,168.4637451171875,1,0.1,6.195491758330219,0.0,0.1839304268360138,0.0,159.03392028808594,0.005860414355993271,48.54798126220703,48.54798126220703,836.0111556053162
208896,336.5955811909357,10,0.01420215331017971,146.3935089111328,2,0.2,6.687725114062144,0.0,0.21331742405891418,2.02541446685791,123.67060852050781,0.0,66.68318176269531,66.68318176269531,827.8864288330078
249856,350.3170624493735,10,0.07660092413425446,107.80609130859375,0,0.0,6.261555942107364,0.0,0.22289681434631348,0.12406502664089203,82.0235366821289,0.2794630527496338,50.56945037841797,50.56945037841797,995.5702176094055
290816,349.95299214320175,10,0.05354906618595123,164.41017150878906,2,0.2,5.801485304663408,0.0,0.27649205923080444,0.0,149.207275390625,0.0,77.04393768310547,77.04393768310547,1033.9642870426178
331776,355.1935485717349,10,0.008913591504096985,149.9093780517578,0,0.0,5.530479363708217,0.0,0.3262965679168701,0.0,159.26681518554688,0.003307443344965577,22.262409210205078,22.262409210205078,1180.9465663433075
372736,358.9699937145614,10,-0.11023322492837906,98.03736114501953,1,0.1,6.10286110981778,0.0,0.3263070583343506,0.0,94.52428436279297,0.0,44.290924072265625,44.290924072265625,1170.7948832511902
