step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.15000000000001876,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.47000000000001363,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6300000000000324,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7099999999999778,54.8,4.999999999999998,1.7999999999999998,40.17632617798437,0,45.0
9,3,GO,0.7900000000000085,54.8,5.199999999999998,1.9999999999999998,35.69580632549578,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,31.583489126723688,0,44.58
11,3,GO,0.9499999999999846,54.8,5.659999999999998,2.4,28.02656949935834,0,44.34
12,3,GO,1.0300000000000153,54.8,5.919999999999998,2.6,25.023310126450436,0,44.08
13,3,GO,1.1100000000000034,54.8,6.199999999999998,2.8000000000000003,22.558969393152424,0,43.800000000000004
14,3,GO,1.1899999999999915,54.8,6.499999999999998,3.0000000000000004,20.40710724118649,0,43.5
15,3,GO,1.2700000000000222,54.8,6.819999999999998,3.2000000000000006,18.628570410580803,0,43.18
16,3,GO,1.3499999999999677,54.8,7.159999999999998,3.400000000000001,17.079583039195207,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,15.761038450459951,0,42.480000000000004
18,3,GO,1.5099999999999865,54.8,7.899999999999999,3.800000000000001,14.545793405601023,0,42.1
19,3,GO,1.5900000000000172,54.8,8.299999999999999,4.000000000000001,13.502788156429636,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,12.597128446107074,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,11.796656221747005,0,40.84
22,3,GO,1.8299999999999814,54.8,9.62,4.600000000000001,11.038867811923833,0,40.38
23,3,GO,1.9100000000000548,54.8,10.1,4.800000000000002,10.361430248766577,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,9.744134901076668,0,39.4
25,3,GO,2.0699999999999457,54.8,11.12,5.200000000000002,9.167385451665453,0,38.88
26,3,GO,2.1500000000000616,54.8,11.66,5.400000000000002,8.682864308963294,0,38.34
27,3,GO,2.2299999999999645,54.8,12.22,5.600000000000002,8.189698369711865,0,37.78
28,3,GO,2.309999999999995,54.8,12.8,5.8000000000000025,7.7726184192563235,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,7.372371602764331,0,36.6
30,3,GO,2.470000000000014,54.8,14.02,6.200000000000003,6.9895916131428475,0,35.98
31,3,GO,2.5500000000000447,54.8,14.660000000000002,6.400000000000003,6.637053411909472,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.320000000000002,6.600000000000003,6.309707225144369,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,5.985991838287127,0,34.0
34,3,GO,2.7899999999999663,54.8,16.700000000000003,7.0000000000000036,5.676674275318784,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,5.397059620534724,0,32.58
36,3,GO,2.9500000000000277,54.8,18.160000000000004,7.400000000000004,5.137539653189765,0,31.839999999999996
37,3,GO,3.029999999999973,54.8,18.920000000000005,7.600000000000004,4.886281419749343,0,31.08
38,3,GO,3.110000000000004,54.8,19.700000000000006,7.800000000000004,4.6415049503089945,0,30.299999999999997
39,3,GO,3.1900000000000346,54.8,20.500000000000007,8.000000000000004,4.415354952927407,0,29.499999999999993
40,3,GO,3.26999999999998,54.8,21.320000000000007,8.200000000000003,4.193278878571063,0,28.679999999999993
41,3,GO,3.3500000000000103,54.8,22.160000000000007,8.400000000000002,3.975385898729437,0,27.83999999999999
42,3,GO,3.4299999999999984,54.8,23.020000000000007,8.600000000000001,3.7722385614181304,0,26.97999999999999
43,3,GO,3.5099999999999865,54.8,23.900000000000006,8.8,3.5741844755472223,0,26.099999999999994
44,3,GO,3.5899999999999745,54.8,24.800000000000008,9.0,3.3879015250176314,0,25.199999999999996
45,3,GO,3.670000000000048,54.8,25.720000000000006,9.2,3.2068811309679592,0,24.279999999999994
46,3,GO,3.749999999999993,54.8,26.660000000000004,9.399999999999999,3.0267490229677083,0,23.33999999999999
47,3,GO,0.8300000000000236,54.8,27.620000000000008,9.599999999999998,2.854639107903065,0,22.379999999999995
48,3,GO,0.9099999999999691,54.8,28.60000000000001,9.799999999999997,2.692603799410411,0,21.39999999999999
49,0,STOP,0.7599999999999947,54.8,29.555000000000003,9.549999999999997,2.585136834380772,0,20.444999999999993
