# scenario=1a, ego_maneuver=stem_right, seed=3506, episode_idx=50, terminal_step=73, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.15000000000001876,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000324,10.0,0,none,0
8,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7099999999999778,10.0,0,none,0
9,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7900000000000085,10.0,0,none,0
10,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,10.0,0,none,0
11,54.8,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9499999999999846,29.947159608330015,1,none,0
12,54.8,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0300000000000153,27.26245196004275,1,none,0
13,54.8,6.199999999999998,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,24.556634233947275,1,none,0
14,54.8,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1899999999999915,22.06568954007018,1,none,0
15,54.8,6.819999999999998,0.0,3.2000000000000006,2.0000000000000018,3,1.2700000000000222,19.874365749186097,1,none,0
16,54.8,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3499999999999677,18.061593954048767,1,none,0
17,54.8,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.4299999999999984,16.40035085213518,1,none,0
18,54.8,7.874999999999999,0.0,3.5500000000000007,-0.5000000000000027,1,1.360000000000012,15.730829645008825,1,none,0
19,54.8,8.25,0.0,3.750000000000001,2.0000000000000018,3,1.4400000000000002,14.396900970886362,1,none,0
20,54.8,8.645,0.0,3.950000000000001,2.0000000000000018,3,1.5699999999999883,13.278051800654834,1,none,0
21,54.8,9.06,0.0,4.150000000000001,2.0000000000000018,3,1.650000000000019,12.20189294439934,1,none,0
22,54.8,9.495000000000001,0.0,4.350000000000001,2.0000000000000018,3,1.7299999999999645,11.29860056067042,1,none,0
23,54.8,9.950000000000001,0.0,4.550000000000002,2.0000000000000018,3,1.8100000000000378,10.528926957708732,1,none,0
24,54.8,10.425,0.0,4.750000000000002,2.0000000000000018,3,1.8899999999999832,9.855255069375904,1,none,0
25,54.8,10.920000000000002,0.0,4.950000000000002,2.0000000000000018,3,1.970000000000014,9.190041899816896,1,none,0
26,54.8,11.435000000000002,0.0,5.150000000000002,2.0000000000000018,3,2.050000000000002,8.601235647149245,1,none,0
27,54.8,11.970000000000002,0.0,5.350000000000002,2.0000000000000018,3,2.1300000000000328,8.064100301139923,1,none,0
28,54.8,12.525000000000002,0.0,5.5500000000000025,2.0000000000000018,3,2.2099999999999356,7.55398018611008,1,none,0
29,54.8,13.100000000000003,0.0,5.750000000000003,2.0000000000000018,3,2.2900000000000515,7.15504579734922,1,none,0
30,54.8,13.695000000000004,0.0,5.950000000000003,2.0000000000000018,3,2.369999999999997,6.715864007245368,2,none,0
31,54.8,14.310000000000004,0.0,6.150000000000003,2.0000000000000018,3,2.449999999999985,6.369705086101974,2,none,0
32,54.8,14.922500000000005,0.0,6.1250000000000036,-0.24999999999999467,2,2.389999999999992,6.104720529377937,2,none,0
33,54.8,15.555000000000005,0.0,6.325000000000004,2.0000000000000018,3,2.470000000000023,5.775583332883508,2,none,0
34,54.8,16.207500000000007,0.0,6.525000000000004,2.0000000000000018,3,2.599999999999968,5.473804784038879,2,none,0
35,54.8,16.85750000000001,0.0,6.5000000000000036,-0.25000000000000355,2,2.540000000000018,5.2315132585880315,2,none,0
36,54.8,17.52750000000001,0.0,6.700000000000004,2.0000000000000018,3,2.620000000000048,4.928308363049357,2,none,0
37,54.8,18.217500000000012,0.0,6.900000000000004,2.0000000000000018,3,2.749999999999994,4.665325640917962,2,none,0
