# scenario=1a, ego_maneuver=stem_right, seed=3182, episode_idx=59, terminal_step=88, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.1,0.0,0.0,0.0,4,-0.51,10.0,0,none,0
1,54.8,4.119999999999999,0.0,0.2,2.0,3,0.019999999999945436,10.0,0,none,0
2,54.8,4.159999999999999,0.0,0.4,2.0,3,0.15000000000001876,10.0,0,none,0
3,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
4,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
5,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,72.72395286353809,1,none,0
6,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,59.75973969772367,1,none,0
7,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,49.875565381558225,1,none,0
8,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000324,42.45432920936629,1,none,0
9,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7099999999999778,36.80930083263423,1,none,0
10,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7900000000000085,32.564134123476634,1,none,0
11,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,28.999484687489247,1,none,0
12,54.8,5.614999999999998,0.0,1.9499999999999997,-2.5,0,0.7199999999999794,30.554214552092734,1,none,0
13,54.8,5.769999999999999,0.0,1.5499999999999998,-3.999999999999999,4,0.060000000000003426,33.410483640268986,1,none,0
14,54.8,5.9449999999999985,0.0,1.7499999999999998,1.9999999999999996,3,0.6400000000000341,29.771517922427975,1,none,0
15,54.8,6.139999999999999,0.0,1.9499999999999997,1.9999999999999996,3,0.7699999999999795,26.54083242724626,1,none,0
16,54.8,6.354999999999999,0.0,2.15,2.0000000000000018,3,0.8500000000000102,24.033315523322933,1,none,0
17,54.8,6.564999999999999,0.0,2.0999999999999996,-0.5000000000000027,1,0.7799999999999812,23.343328207668794,1,none,0
18,54.8,6.794999999999999,0.0,2.3,2.0000000000000018,3,0.8600000000000119,21.490770030760352,1,none,0
19,54.8,7.044999999999998,0.0,2.5,2.0000000000000018,3,0.99,19.733523232970658,1,none,0
20,54.8,7.314999999999998,0.0,2.7,2.0000000000000018,3,1.069999999999988,18.25278021564908,1,none,0
21,54.8,7.582499999999999,0.0,2.6750000000000003,-0.2499999999999991,2,1.009999999999995,17.64605826693967,1,none,0
22,54.8,7.869999999999997,0.0,2.8750000000000004,2.0000000000000018,3,1.089999999999983,16.368515391953434,1,none,0
23,54.8,8.177499999999998,0.0,3.0750000000000006,2.0000000000000018,3,1.2200000000000137,15.426833204927108,1,none,0
24,54.8,8.504999999999999,0.0,3.275000000000001,2.0000000000000018,3,1.3000000000000445,14.396216355715199,1,none,0
25,54.8,8.8525,0.0,3.475000000000001,2.0000000000000018,3,1.37999999999999,13.625969573126282,1,none,0
26,54.8,9.219999999999999,0.0,3.675000000000001,2.0000000000000018,3,1.459999999999978,12.879023677957154,1,none,0
27,54.8,9.607499999999998,0.0,3.8750000000000013,2.0000000000000018,3,1.5400000000000087,12.163796406901733,1,none,0
28,54.8,9.989999999999998,0.0,3.825000000000001,-0.5000000000000027,1,1.4699999999999795,11.941763855560337,1,none,0
29,54.8,10.392499999999998,0.0,4.025000000000001,2.0000000000000018,3,1.5500000000000103,11.324586952647387,1,none,0
30,54.8,10.814999999999998,0.0,4.225000000000001,2.0000000000000018,3,1.6799999999999984,10.69754156121483,1,none,0
31,54.8,11.257499999999999,0.0,4.425000000000002,2.0000000000000018,3,1.760000000000029,10.18649412041119,1,none,0
32,54.8,11.719999999999999,0.0,4.625000000000002,2.0000000000000018,3,1.8399999999999745,9.698307915085955,2,none,0
33,54.8,12.157499999999999,0.0,4.375000000000002,-2.5,0,1.6900000000000002,9.662993155021224,2,none,0
34,54.8,12.614999999999998,0.0,4.575000000000002,2.0000000000000018,3,1.7699999999999882,9.160855656716523,2,none,0
35,54.8,13.092499999999998,0.0,4.775000000000002,2.0000000000000018,3,1.900000000000019,8.73474448967686,2,none,0
36,54.8,13.59,0.0,4.975000000000002,2.0000000000000018,3,1.9799999999999645,8.353656792716047,2,none,0
37,54.8,14.1075,0.0,5.1750000000000025,2.0000000000000018,3,2.060000000000038,7.980887896985656,2,none,0
38,54.8,14.645,0.0,5.375000000000003,2.0000000000000018,3,2.1399999999999832,7.6125728671747295,2,none,0
39,54.8,15.2025,0.0,5.575000000000003,2.0000000000000018,3,2.220000000000014,7.288338135555296,2,none,0
40,54.8,15.754999999999999,0.0,5.525000000000003,-0.4999999999999982,1,2.150000000000028,7.116671969073359,2,none,0
41,54.8,16.3275,0.0,5.725000000000003,2.0000000000000018,3,2.2299999999999733,6.782682691589984,2,none,0
42,54.8,16.895,0.0,5.675000000000003,-0.4999999999999982,1,2.2099999999999866,6.620272603093278,2,none,0
43,54.8,17.4825,0.0,5.8750000000000036,2.0000000000000018,3,2.290000000000018,6.32060912008502,2,none,0
44,54.8,18.090000000000003,0.0,6.075000000000004,2.0000000000000018,3,2.4200000000000053,6.050489582759032,2,none,0
45,54.8,18.717500000000005,0.0,6.275000000000004,2.0000000000000018,3,2.5000000000000364,5.787704857130692,2,none,0
46,54.8,19.365000000000006,0.0,6.475000000000004,2.0000000000000018,3,2.5799999999999814,5.517717706434447,2,none,0
47,54.8,20.032500000000006,0.0,6.675000000000004,2.0000000000000018,3,2.6600000000000126,5.266269985796176,2,none,0
48,54.8,20.695000000000007,0.0,6.625000000000004,-0.4999999999999982,1,2.589999999999984,5.132138839451741,2,none,0
49,54.8,21.332500000000007,0.0,6.375000000000004,-2.5,0,2.490000000000009,5.057090068425177,2,none,0
50,54.8,21.990000000000006,0.0,6.575000000000005,2.0000000000000018,3,2.569999999999997,4.840759430025447,2,none,0
51,54.8,22.667500000000008,0.0,6.775000000000005,2.0000000000000018,3,2.699999999999985,4.618935963540403,2,none,0
52,54.8,23.36500000000001,0.0,6.975000000000005,2.0000000000000018,3,2.780000000000016,4.407219504131105,2,none,0
53,54.8,24.08250000000001,0.0,7.175000000000005,2.0000000000000018,3,2.860000000000004,4.201924144632897,2,none,0
54,54.8,24.795000000000012,0.0,7.125000000000005,-0.4999999999999982,1,2.790000000000018,4.071225979171627,2,none,0
55,54.8,25.505000000000013,0.0,7.100000000000005,-0.25000000000000355,2,2.779999999999982,3.931669727816803,2,none,0
56,54.8,26.21000000000001,0.0,7.050000000000005,-0.4999999999999982,1,2.760000000000038,3.7945702954262632,2,none,0
57,54.8,26.935000000000013,0.0,7.250000000000005,2.0000000000000018,3,2.839999999999984,3.6075907122495083,2,none,0
58,54.8,27.655000000000015,0.0,7.2000000000000055,-0.4999999999999982,1,2.8199999999999976,3.4871675571715386,2,none,0
59,54.8,28.395000000000017,0.0,7.400000000000006,2.0000000000000018,3,2.900000000000028,3.308745104043343,2,none,0
60,54.8,29.130000000000017,0.0,7.350000000000006,-0.4999999999999982,1,2.8799999999999564,3.1834317360522495,2,none,0
61,54.8,29.88500000000002,0.0,7.550000000000006,2.0000000000000018,3,2.9600000000000297,3.017772739233281,2,none,0
62,54.8,30.660000000000018,0.0,7.750000000000006,2.0000000000000018,3,0.08999999999997499,2.8554080441121177,2,none,0
63,54.8,31.455000000000023,0.0,7.950000000000006,2.0000000000000018,3,0.17000000000004833,2.7012006151040153,2,none,0
64,54.8,32.27000000000002,0.0,8.150000000000006,1.999999999999993,3,0.24999999999999378,2.5507162530078067,2,none,0
65,54.8,33.10500000000002,0.0,8.350000000000005,1.999999999999993,3,0.32999999999998186,2.403759590828228,2,none,0
66,54.8,33.96000000000002,0.0,8.550000000000004,1.999999999999993,3,0.4100000000000126,2.2605122837049385,2,none,0
67,54.8,34.83500000000002,0.0,8.750000000000004,1.999999999999993,3,0.4900000000000002,2.117852164486247,2,none,0
68,54.8,35.730000000000025,0.0,8.950000000000003,1.999999999999993,3,0.5700000000000096,1.9749489310567294,2,none,0
69,54.8,36.645000000000024,0.0,9.150000000000002,1.999999999999993,3,0.6499999999999977,1.8354386959764315,2,none,0
70,54.8,37.58000000000003,0.0,9.350000000000001,1.999999999999993,3,0.7300000000000071,1.701798180101871,2,none,0
71,54.8,38.535000000000025,0.0,9.55,1.999999999999993,3,0.8099999999999952,1.5688398107330705,2,none,0
72,54.8,39.510000000000026,0.0,9.75,1.999999999999993,3,0.8900000000000041,1.441358982306921,2,none,0
73,54.8,40.505000000000024,0.0,9.95,1.999999999999993,3,0.9699999999999922,1.3154553171267889,2,none,0
74,54.8,41.520000000000024,0.0,10.149999999999999,1.999999999999993,3,1.0500000000000016,1.194005433497427,2,none,0
75,54.8,42.55500000000002,0.0,10.349999999999998,1.999999999999993,3,1.1299999999999897,1.07430522080882,2,none,0
76,54.8,43.61000000000002,0.0,10.549999999999997,1.999999999999993,3,1.2099999999999989,0.9583753190582304,2,none,0
77,54.8,44.685000000000024,0.0,10.749999999999996,1.999999999999993,3,1.2900000000000083,0.8429691699183552,2,none,0
78,54.8,45.755000000000024,0.0,10.699999999999996,-0.5000000000000071,1,1.2200000000000004,0.7396363416441827,2,none,0
79,54.8,46.84500000000002,0.0,10.899999999999995,1.999999999999993,3,1.2999999999999885,0.6292463451470899,2,none,0
80,54.8,47.95500000000002,0.0,11.099999999999994,1.999999999999993,3,1.4299999999999977,0.5197409614500447,2,none,0
81,54.8,49.08500000000002,0.0,11.299999999999994,1.999999999999993,3,1.5100000000000071,0.4114494016350645,2,none,0
82,54.889816621275465,50.228716348928245,0.022485693933215645,11.499999999999993,1.999999999999993,3,24.77499999999994,0.31258333488530593,2,none,0
83,55.055305514019224,51.38713859813458,0.0640250364121593,11.699999999999992,1.999999999999993,3,-3.8400000000000007,0.21892420582140285,2,none,0
84,55.404979603859154,52.47496600643193,0.1537037454413761,11.649999999999991,-0.5000000000000071,1,-3.895000000000001,0.13969245844170958,2,none,0
85,56.01475252905457,53.49125421509094,0.30891076487880614,11.84999999999999,1.999999999999993,3,-3.875000000000001,0.07264945675108649,2,none,0
86,56.924694967356025,54.23481698041361,0.5312839415025395,12.04999999999999,1.999999999999993,3,-3.8050000000000006,0.037141479272838236,2,none,0
87,57.9544419183422,54.85063455976317,0.7914375411858914,11.99999999999999,-0.5000000000000071,1,-3.860000000000001,0.020897221813858998,2,none,0
88,59.16236939187359,55.023195627410516,1.0642304652974124,12.199999999999989,1.999999999999993,3,-21.840000000000003,0.05755209843136716,2,none,1
