step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,-46.687989059448014,10,0.013669636100530624,2.6995787620544434,0,0.0,45.57821407133451,0.2327840149191775,1.5014559030532837,5.943328857421875,0.0,0.0,0.0,0.0,0.0570659413933754,1.775956630706787,0.0,0.0,0,0.0,0.9330489635467529,0.9330489635467529,0.0,1.0,17.661579132080078,0,0,0,956.8698983192444
45056,196.28896287121722,10,0.0451834611594677,331.03363037109375,1,0.1,7.13375721213934,0.0,1.3281669616699219,4.056290626525879,54.58751678466797,52.712791442871094,957.80126953125,406.0897216796875,0.08652081340551376,1.3805848360061646,7.382110595703125,0.0,128,0.0,1.0176423788070679,1.5357890129089355,627.857965446543,625.0,7688.4912109375,256,0,1000,1078.2993485927582
86016,256.63912950589224,10,-0.05142955482006073,135.86798095703125,1,0.1,6.2039265319128685,0.0,1.2090871334075928,5.27517032623291,185.7208251953125,175.76356506347656,1847.5697021484375,774.2706909179688,0.09127828478813171,1.6288936138153076,13.627910614013672,0.0,128,0.0,1.0279384851455688,1.544736623764038,173889.70840969728,10000.0,1056434.875,1000,0,1000,1135.3800122737885
126976,287.09160812861694,10,-0.035101454704999924,72.38331604003906,0,0.0,5.580089430924882,0.0,1.1888651847839355,3.64921236038208,187.8632049560547,172.59230041503906,1572.69384765625,653.3375244140625,0.11164984852075577,1.2546992301940918,13.701162338256836,0.0,128,0.0,1.043310284614563,1.5515092611312866,393065.7476211493,10000.0,1500964.125,1000,0,1000,1105.0716717243195
167936,326.26173943574554,10,0.10133398324251175,43.205322265625,0,0.0,6.537803342927078,0.0,1.159207820892334,4.453554153442383,150.03469848632812,133.13900756835938,1040.19580078125,424.51593017578125,0.10391241312026978,1.4870142936706543,12.248811721801758,0.0,128,0.0,1.0615708827972412,1.5653531551361084,597124.6084036832,10000.0,2758497.5,1000,0,1000,1112.7292394638062
208896,351.4350081703613,10,0.14221493899822235,34.90543746948242,0,0.0,6.246359569373176,0.0,1.0211572647094727,3.638251304626465,89.41329193115234,74.17962646484375,2295.887939453125,893.0257568359375,0.10990350693464279,1.1738322973251343,9.455820083618164,0.0,128,0.0,1.097907304763794,1.603431224822998,801415.2646275763,10000.0,2981934.25,1000,0,1000,1154.684630393982
249856,377.1142318022599,10,-0.10071766376495361,51.18829345703125,0,0.0,6.478323383242647,0.0,1.08226478099823,5.171241760253906,173.78219604492188,117.0299072265625,2381.590576171875,820.7933959960938,0.0973888635635376,1.5784437656402588,13.182611465454102,0.0,128,0.0,1.2186530828475952,1.703456163406372,1024152.9238760998,10000.0,5429851.0,1000,0,1000,1166.794261932373
290816,390.7123533696955,10,0.03360047563910484,81.56614685058594,0,0.0,6.909700810779137,0.0,1.169790267944336,5.021017074584961,210.1544189453125,80.28870391845703,1300.814697265625,338.0139465332031,0.08286552131175995,1.560817003250122,14.496692657470703,0.0,128,0.0,1.6180336475372314,1.9618157148361206,1268067.7279668455,10000.0,6493043.0,1000,0,1000,1032.0431277751923
331776,372.74338202355136,10,-0.07647904753684998,48.01763153076172,0,0.0,7.87724993803893,0.0,1.1356661319732666,2.975313425064087,208.06625366210938,37.83831787109375,979.2278442382812,185.67340087890625,0.08108244091272354,1.1586205959320068,14.424418449401855,0.0,128,0.0,2.3450632095336914,2.2965691089630127,1505346.90135406,10000.0,4523141.5,1000,0,1000,1095.0423283576965
372736,342.8968347204005,10,0.06258891522884369,94.16853332519531,0,0.0,8.42885633084292,0.0,1.420300006866455,3.0916905403137207,129.8301239013672,14.426590919494629,2051.635498046875,243.19137573242188,0.06617563217878342,1.0376533269882202,11.394207000732422,0.0,128,0.0,3.000371217727661,2.9053890705108643,1667827.290294372,10000.0,5204198.5,1000,0,1000,824.2304332256317
