iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,696.2808866500854,696.2756102085114,15.125012397766113,244.72913718223572,244.70012426376343,9.248345643281937,0.008590318262577057,8.010749816894531,1.5391583442687988,0.0,1.1599454879760742,0.06906002014875412,-1627.3533935546875,500.0,8,0,0,8,0,0.08935546875,0.16748046875,0.197265625,0.2451171875,0.30078125
2,8192,1949.6487545967102,699.6714537143707,15.216352939605713,250.54061698913574,250.50962162017822,5.225960701704025,-0.05617249011993408,3.878554344177246,1.488592267036438,0.0,1.3525261878967285,0.05105265974998474,-1975.712158203125,500.0,8,0,0,8,0,0.14306640625,0.28955078125,0.166259765625,0.228515625,0.172607421875
3,12288,2654.5123987197876,704.8635056018829,15.33393144607544,250.72044920921326,250.6896345615387,22.59756662324071,-0.008174773305654526,21.284461975097656,1.44597327709198,0.0,1.2919104099273682,0.029369011521339417,-621.92919921875,500.0,8,0,0,8,0,0.13525390625,0.298828125,0.176025390625,0.291748046875,0.09814453125
4,16384,3358.5900082588196,704.0774176120758,15.028299331665039,258.85846042633057,258.82569193840027,13.289197020232677,0.03867398202419281,11.836036682128906,1.4753189086914062,0.0,1.3824257850646973,0.032060571014881134,1627.16943359375,500.0,8,0,0,8,0,0.13623046875,0.278076171875,0.189453125,0.29248046875,0.103759765625
5,20480,4064.546160697937,705.9559812545776,15.702898740768433,261.82104444503784,261.79002571105957,251.17164012417197,0.0994725227355957,249.7594451904297,1.4633299112319946,0.0,1.2538565397262573,0.05886587128043175,8642.7998046875,468.75,8,0,4,4,0,0.12548828125,0.255615234375,0.193603515625,0.318115234375,0.107177734375
6,24576,4777.779743432999,713.2332739830017,15.815141439437866,265.2132272720337,265.1827070713043,340.28028623759747,0.12920185923576355,338.705322265625,1.456815481185913,0.0,1.3969309329986572,0.04883117973804474,12507.6630859375,407.4,10,0,9,1,0,0.1318359375,0.22705078125,0.185546875,0.337890625,0.11767578125
7,28672,5491.854445934296,714.0744986534119,15.87032413482666,267.6081597805023,267.5766475200653,264.22344291582704,0.048872582614421844,262.9854431152344,1.4577562808990479,0.0,1.1437387466430664,0.04538847133517265,19100.50390625,466.25,8,0,4,4,0,0.163330078125,0.22216796875,0.151123046875,0.34716796875,0.1162109375
8,32768,6207.763105630875,715.9083592891693,16.646702527999878,268.5244200229645,268.4915282726288,215.74409215524793,0.034273162484169006,214.56643676757812,1.4290904998779297,0.0,1.096659541130066,0.04672268405556679,21029.98046875,367.0,11,0,11,0,0,0.1708984375,0.19677734375,0.134033203125,0.398193359375,0.10009765625
9,36864,6917.196966648102,709.4336729049683,15.562458276748657,266.35836267471313,266.32931542396545,217.36552299559116,0.13807469606399536,216.00743103027344,1.409488558769226,0.0,1.1826555728912354,0.03736169636249542,26441.349609375,405.8,10,0,10,0,0,0.139404296875,0.198486328125,0.173095703125,0.376708984375,0.1123046875
10,40960,7635.108679056168,717.9114990234375,16.606749057769775,259.95197057724,259.921014547348,219.9608545154333,0.052861519157886505,218.72189331054688,1.396651268005371,0.0,1.133344292640686,0.05275539308786392,25763.04296875,362.54545454545456,11,0,11,0,0,0.143310546875,0.180908203125,0.18212890625,0.39013671875,0.103515625
11,45056,8357.320667743683,722.2118544578552,17.234804391860962,266.42758202552795,266.3959336280823,255.5164598673582,0.0682058334350586,254.47894287109375,1.3467307090759277,0.0,0.9195343255996704,0.0497768372297287,25721.19921875,308.84615384615387,13,0,13,0,0,0.134765625,0.153564453125,0.168212890625,0.4228515625,0.12060546875
12,49152,9281.601046323776,714.5535576343536,17.017091035842896,271.46232891082764,271.4308524131775,378.44068095460534,0.00776243582367897,377.19488525390625,1.3727152347564697,0.0,1.183608055114746,0.054425209760665894,28121.07421875,292.61538461538464,13,0,13,0,0,0.119873046875,0.148681640625,0.177001953125,0.43896484375,0.115478515625
13,53248,10007.933955907822,726.3327231407166,17.26856780052185,261.0534918308258,261.02177715301514,231.68658008798957,-0.03796511888504028,230.8123779296875,1.3328583240509033,0.0,0.8526562452316284,0.059511031955480576,31260.08203125,292.3076923076923,13,0,13,0,0,0.124267578125,0.13720703125,0.208251953125,0.4228515625,0.107421875
14,57344,10727.487309455872,719.5530364513397,17.95122194290161,269.715788602829,269.68106341362,203.03200601413846,-0.059564340859651566,201.91708374023438,1.3806688785552979,0.0,1.1197118759155273,0.05477473884820938,30258.423828125,281.92857142857144,14,0,14,0,0,0.117431640625,0.14697265625,0.206787109375,0.4326171875,0.09619140625
15,61440,11442.104170322418,714.6166982650757,17.49503803253174,254.39904022216797,254.3649914264679,140.53264191374183,-0.04041595384478569,139.2276611328125,1.322312831878662,0.0,1.2768977880477905,0.06849894672632217,34305.64453125,289.7857142857143,14,0,14,0,0,0.118408203125,0.1474609375,0.178955078125,0.438232421875,0.116943359375
16,65536,12163.744522809982,721.6401522159576,17.99340295791626,270.39288115501404,270.3578975200653,153.53912458196282,-0.04999666288495064,152.47021484375,1.266154408454895,0.0,1.0428407192230225,0.07606568187475204,34569.11328125,284.2142857142857,14,0,14,0,0,0.1240234375,0.142333984375,0.1669921875,0.44140625,0.125244140625
17,69632,12870.307224750519,706.5625138282776,17.891709566116333,263.98813462257385,263.9569158554077,151.58542218990624,0.007036598399281502,150.29408264160156,1.277786135673523,0.0,1.226731777191162,0.0575711727142334,33838.484375,270.3333333333333,15,0,15,0,0,0.121337890625,0.163818359375,0.155517578125,0.44775390625,0.111572265625
18,73728,13587.519792079926,717.2122347354889,17.729257822036743,265.43483662605286,265.4017996788025,115.81178414821625,0.09611237049102783,114.38015747070312,1.2861294746398926,0.0,1.2467904090881348,0.08872389793395996,35921.60546875,262.53333333333336,15,0,15,0,0,0.1064453125,0.160400390625,0.16064453125,0.46044921875,0.112060546875
19,77824,14300.587981939316,713.0680088996887,16.966569900512695,267.5573844909668,267.5238780975342,89.09189080446959,0.1478300243616104,87.75138854980469,1.2696565389633179,0.0,1.0995230674743652,0.09314916282892227,37249.3125,265.2,15,0,15,0,0,0.09814453125,0.19091796875,0.14599609375,0.451416015625,0.113525390625
20,81920,15009.43532204628,708.8471338748932,18.489437103271484,256.8118860721588,256.77829813957214,94.04044083505869,0.14097975194454193,92.7713851928711,1.3252602815628052,0.0,1.0364995002746582,0.09157638996839523,38547.4765625,261.1333333333333,15,0,15,0,0,0.106201171875,0.160400390625,0.15380859375,0.470947265625,0.108642578125
