# scenario=1a, ego_maneuver=stem_right, seed=999, episode_idx=0, terminal_step=98, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.15000000000001876,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.3899999999999829,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.47000000000001363,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6300000000000324,10.0,0,none,0
8,54.8,4.977499999999998,0.0,1.5749999999999997,-0.25000000000000133,2,0.5699999999999965,10.0,0,none,0
9,54.8,5.1549999999999985,0.0,1.7749999999999997,1.9999999999999996,3,0.6499999999999846,10.0,0,none,0
10,54.8,5.327499999999999,0.0,1.7249999999999996,-0.5000000000000004,1,0.6299999999999982,41.795106693504316,1,none,0
11,54.8,5.519999999999999,0.0,1.9249999999999996,1.9999999999999996,3,0.7099999999999863,37.267865573598336,1,none,0
12,54.8,5.732499999999999,0.0,2.1249999999999996,1.9999999999999996,3,0.840000000000017,33.45415497700723,1,none,0
13,54.8,5.964999999999999,0.0,2.3249999999999997,2.0000000000000018,3,0.9199999999999624,30.238544503995655,1,none,0
14,54.8,6.217499999999999,0.0,2.525,2.0000000000000018,3,1.0000000000000357,27.51217892426536,1,none,0
15,54.8,6.489999999999999,0.0,2.725,2.0000000000000018,3,1.0799999999999812,25.188067507555797,1,none,0
16,54.8,6.782500000000001,0.0,2.9250000000000003,2.0000000000000018,3,1.160000000000012,23.17901294889326,1,none,0
17,54.8,7.095,0.0,3.1250000000000004,2.0000000000000018,3,1.24,21.43817881925551,1,none,0
18,54.8,7.4049999999999985,0.0,3.1000000000000005,-0.2499999999999991,2,1.1800000000000068,21.181293662198367,1,none,0
19,54.8,7.735,0.0,3.3000000000000007,2.0000000000000018,3,1.259999999999995,19.66694927635532,1,none,0
20,54.8,8.084999999999999,0.0,3.500000000000001,2.0000000000000018,3,1.389999999999983,18.324632408441293,1,none,0
21,54.8,8.454999999999998,0.0,3.700000000000001,2.0000000000000018,3,1.4700000000000137,17.136458723440978,1,none,0
22,54.8,8.844999999999999,0.0,3.9000000000000012,2.0000000000000018,3,1.5500000000000018,16.07702341413559,1,none,0
23,54.8,9.254999999999999,0.0,4.100000000000001,2.0000000000000018,3,1.6300000000000325,15.125292236146072,1,none,0
24,54.8,9.684999999999999,0.0,4.300000000000002,2.0000000000000018,3,1.7099999999999353,14.259157370126374,1,none,0
25,54.8,10.134999999999998,0.0,4.500000000000002,2.0000000000000018,3,1.7900000000000513,13.472493350828948,1,none,0
26,54.8,10.582499999999998,0.0,4.475000000000001,-0.25000000000000355,2,1.729999999999973,13.26015423578933,1,none,0
27,54.8,11.049999999999997,0.0,4.675000000000002,2.0000000000000018,3,1.8100000000000036,12.550654368319787,1,none,0
28,54.8,11.537499999999998,0.0,4.875000000000002,2.0000000000000018,3,1.9400000000000344,11.906467177668661,1,none,0
29,54.8,12.019999999999998,0.0,4.825000000000002,-0.4999999999999982,1,1.8699999999999626,11.748445324424837,1,none,0
30,54.8,12.522499999999996,0.0,5.025000000000002,2.0000000000000018,3,1.9499999999999933,11.160947459706641,1,none,0
31,54.8,13.044999999999998,0.0,5.225000000000002,2.0000000000000018,3,2.080000000000024,10.614976313835612,1,none,0
32,54.8,13.562499999999998,0.0,5.1750000000000025,-0.4999999999999982,1,2.0099999999999953,10.461700648298264,1,none,0
33,54.8,14.1,0.0,5.375000000000003,2.0000000000000018,3,2.090000000000026,9.96256705940454,1,none,0
34,54.8,14.657499999999999,0.0,5.575000000000003,2.0000000000000018,3,2.2199999999999713,9.495355316588372,1,none,0
35,54.8,15.235,0.0,5.775000000000003,2.0000000000000018,3,2.300000000000002,9.055403775209623,1,none,0
36,54.8,15.832500000000001,0.0,5.975000000000003,2.0000000000000018,3,2.37999999999999,8.646461974177322,1,none,0
37,54.8,16.45,0.0,6.175000000000003,2.0000000000000018,3,2.460000000000021,8.261214232309692,1,none,0
