step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.06999999999994544,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.15000000000001876,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.3899999999999829,54.8,4.399999999999999,1.0,10.0,0,45.6
5,0,STOP,0.24000000000005117,54.8,4.474999999999999,0.75,10.0,0,45.525
6,3,GO,0.31999999999999656,54.8,4.5699999999999985,0.95,10.0,0,45.43
7,4,ABORT,-0.3400000000000222,54.8,4.624999999999998,0.5499999999999999,10.0,0,45.375
8,3,GO,0.24000000000000854,54.8,4.699999999999998,0.75,10.0,0,45.300000000000004
9,4,ABORT,-0.410000000000017,54.8,4.737499999999998,0.375,10.0,0,45.2625
10,3,GO,0.17000000000001364,54.8,4.794999999999998,0.575,125.38950966910558,0,45.205
11,3,GO,0.2999999999999591,54.8,4.872499999999998,0.7749999999999999,90.33933539720387,0,45.127500000000005
12,3,GO,0.3800000000000324,54.8,4.969999999999998,0.9749999999999999,69.12285673785601,0,45.03
13,1,CREEP,0.335000000000029,54.8,5.068749999999998,0.9874999999999999,64.5843891848313,0,44.931250000000006
14,3,GO,0.41499999999997444,54.8,5.187499999999998,1.1875,52.078182060060385,0,44.8125
15,3,GO,0.5450000000000051,54.8,5.326249999999998,1.3875,43.42067296633605,0,44.67375
16,3,GO,0.6249999999999931,54.8,5.4849999999999985,1.5875,37.04581973636896,0,44.515
17,3,GO,0.7050000000000238,54.8,5.6637499999999985,1.7874999999999999,32.17399593814876,0,44.33625
18,3,GO,0.7849999999999693,54.8,5.862499999999999,1.9874999999999998,28.356210497558195,0,44.1375
19,3,GO,0.865,54.8,6.081249999999999,2.1875,25.251194360397324,0,43.91875
20,1,CREEP,0.7950000000000136,54.8,6.294999999999999,2.1375,24.67381786891695,0,43.705
21,3,GO,0.874999999999959,54.8,6.528749999999999,2.3375000000000004,22.19768041164256,0,43.47125
22,2,YIELD,0.8650000000000512,54.8,6.759999999999999,2.3125000000000004,21.499348903328002,0,43.24
23,3,GO,0.9449999999999966,54.8,7.011249999999999,2.5125000000000006,19.50125740556945,0,42.98875
24,3,GO,1.0749999999999846,54.8,7.282499999999999,2.712500000000001,17.778456371693036,0,42.7175
25,1,CREEP,1.0049999999999983,54.8,7.548749999999999,2.6625000000000005,17.333665798439917,0,42.45125
26,3,GO,1.0849999999999864,54.8,7.834999999999999,2.8625000000000007,15.872244836240311,0,42.165
27,3,GO,1.2150000000000172,54.8,8.14125,3.062500000000001,14.603610485708732,0,41.85875
28,2,YIELD,1.155000000000024,54.8,8.445,3.037500000000001,14.148966977147703,0,41.555
29,3,GO,1.2349999999999695,54.8,8.76875,3.237500000000001,13.069908248555524,0,41.23125
30,3,GO,1.3650000000000002,54.8,9.1125,3.4375000000000013,12.099239954161389,0,40.8875
31,3,GO,1.445000000000031,54.8,9.47625,3.6375000000000015,11.230128349895972,0,40.52375
32,3,GO,1.5249999999999764,54.8,9.860000000000001,3.8375000000000017,10.432666222156922,0,40.14
33,3,GO,1.605000000000007,54.8,10.263750000000002,4.037500000000001,9.712495563334885,0,39.73625
34,1,CREEP,1.5350000000000206,54.8,10.662500000000001,3.9875000000000016,9.45569134794947,0,39.3375
35,3,GO,1.614999999999966,54.8,11.08125,4.187500000000002,8.808593197267834,0,38.91875
36,3,GO,1.7449999999999968,54.8,11.520000000000001,4.387500000000002,8.217867593567059,0,38.48
37,3,GO,1.8250000000000275,54.8,11.978750000000002,4.587500000000002,7.673548772675764,0,38.021249999999995
38,3,GO,1.904999999999973,54.8,12.4575,4.787500000000002,7.167667029604958,0,37.5425
39,3,GO,1.9850000000000037,54.8,12.95625,4.9875000000000025,6.692891822781747,0,37.04375
40,1,CREEP,1.9150000000000174,54.8,13.450000000000001,4.937500000000003,6.489441939559893,0,36.55
41,2,YIELD,1.9050000000000242,54.8,13.941250000000004,4.912500000000003,6.2651375346331015,0,36.058749999999996
42,3,GO,1.9849999999999695,54.8,14.452500000000002,5.112500000000003,5.84676776597707,0,35.5475
43,3,GO,2.115,54.8,14.983750000000002,5.3125000000000036,5.453407651384664,0,35.01625
44,3,GO,2.195000000000031,54.8,15.535000000000002,5.512500000000004,5.084335239180468,0,34.464999999999996
45,3,GO,2.2749999999999764,54.8,16.106250000000003,5.712500000000004,4.734593991364155,0,33.89375
46,3,GO,2.355000000000007,54.8,16.6975,5.912500000000004,4.404154156892383,0,33.302499999999995
47,3,GO,2.434999999999995,54.8,17.308750000000003,6.112500000000004,4.090040058303541,0,32.69125
48,2,YIELD,2.375000000000002,54.8,17.917500000000004,6.087500000000004,3.910502028965641,0,32.082499999999996
49,3,GO,2.4549999999999903,54.8,18.546250000000004,6.287500000000004,3.623847071745382,0,31.45375
