# scenario=1a, ego_maneuver=stem_right, seed=1175, episode_idx=52, terminal_step=81, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.1,0.0,0.0,0.0,4,-0.51,10.0,0,none,0
1,54.8,4.119999999999999,0.0,0.2,2.0,3,0.019999999999945436,10.0,0,none,0
2,54.8,4.129999999999999,0.0,0.1,-1.0,4,-0.5199999999999421,10.0,0,none,0
3,54.8,4.159999999999999,0.0,0.30000000000000004,2.0000000000000004,3,0.05999999999996078,10.0,0,none,0
4,54.8,4.209999999999999,0.0,0.5,1.9999999999999996,3,0.18999999999999148,10.0,0,none,0
5,54.8,4.279999999999999,0.0,0.7,1.9999999999999996,3,0.27000000000002217,10.0,0,none,0
6,54.8,4.369999999999999,0.0,0.8999999999999999,1.9999999999999996,3,0.34999999999996756,10.0,0,none,0
7,54.8,4.4799999999999995,0.0,1.0999999999999999,1.9999999999999996,3,0.4300000000000409,10.0,0,none,0
8,54.8,4.609999999999999,0.0,1.2999999999999998,1.9999999999999996,3,0.5099999999999864,55.83181802768171,1,none,0
9,54.8,4.76,0.0,1.4999999999999998,1.9999999999999996,3,0.5900000000000171,47.40128649643728,1,none,0
10,54.8,4.93,0.0,1.6999999999999997,1.9999999999999996,3,0.6699999999999624,40.151529218970964,1,none,0
11,54.8,5.12,0.0,1.8999999999999997,1.9999999999999996,3,0.7499999999999931,34.36549779593497,1,none,0
12,54.8,5.33,0.0,2.0999999999999996,1.9999999999999996,3,0.8300000000000238,29.820251051220684,1,none,0
13,54.8,5.5600000000000005,0.0,2.3,2.0000000000000018,3,0.9100000000000119,26.313553362768047,1,none,0
14,54.8,5.8100000000000005,0.0,2.5,2.0000000000000018,3,0.99,23.379646792814825,1,none,0
15,54.8,6.08,0.0,2.7,2.0000000000000018,3,1.069999999999988,21.05346867676555,1,none,0
16,54.8,6.37,0.0,2.9000000000000004,2.0000000000000018,3,1.1499999999999762,19.085690223316977,1,none,0
17,54.8,6.68,0.0,3.1000000000000005,2.0000000000000018,3,1.2300000000000069,17.455181604120668,1,none,0
18,54.8,7.01,0.0,3.3000000000000007,2.0000000000000018,3,1.3100000000000376,15.977465221007575,1,none,0
19,54.8,7.359999999999999,0.0,3.500000000000001,2.0000000000000018,3,1.389999999999983,14.735350984385146,1,none,0
20,54.8,7.7299999999999995,0.0,3.700000000000001,2.0000000000000018,3,1.4700000000000137,13.675029423130074,1,none,0
21,54.8,8.12,0.0,3.9000000000000012,2.0000000000000018,3,1.5499999999999592,12.750577032819598,1,none,0
22,54.8,8.53,0.0,4.100000000000001,2.0000000000000018,3,1.6300000000000325,11.882076190256367,1,none,0
23,54.8,8.959999999999999,0.0,4.300000000000002,2.0000000000000018,3,1.709999999999978,11.114334441268246,1,none,0
24,54.8,9.41,0.0,4.500000000000002,2.0000000000000018,3,1.7900000000000513,10.42098186528404,1,none,0
25,54.8,9.88,0.0,4.700000000000002,2.0000000000000018,3,1.8699999999999968,9.777529381484237,1,none,0
26,54.8,10.370000000000001,0.0,4.900000000000002,2.0000000000000018,3,1.9499999999999422,9.243925179303304,1,none,0
27,54.8,10.88,0.0,5.100000000000002,2.0000000000000018,3,2.030000000000058,8.70067992824473,1,none,0
28,54.8,11.41,0.0,5.3000000000000025,2.0000000000000018,3,2.110000000000004,8.246538206212247,1,none,0
29,54.8,11.96,0.0,5.500000000000003,2.0000000000000018,3,2.189999999999949,7.811953571637643,1,none,0
30,54.8,12.530000000000001,0.0,5.700000000000003,2.0000000000000018,3,2.2700000000000227,7.397625442865399,1,none,0
31,54.8,13.120000000000001,0.0,5.900000000000003,2.0000000000000018,3,2.3499999999999677,7.028459348948031,1,none,0
32,54.8,13.729999999999999,0.0,6.100000000000003,2.0000000000000018,3,2.4300000000000415,6.67210421290013,1,none,0
33,54.8,14.360000000000001,0.0,6.300000000000003,2.0000000000000018,3,2.5099999999999865,6.320414821881646,2,none,0
34,54.8,15.010000000000003,0.0,6.5000000000000036,2.0000000000000018,3,2.5900000000000176,6.010008800896964,2,none,0
35,54.8,15.680000000000001,0.0,6.700000000000004,2.0000000000000018,3,2.6699999999999626,5.702265136647544,2,none,0
36,54.8,16.37,0.0,6.900000000000004,2.0000000000000018,3,2.749999999999994,5.407673433981481,2,none,0
37,54.8,17.080000000000002,0.0,7.100000000000004,2.0000000000000018,3,2.830000000000024,5.141008168322144,2,none,0
38,54.8,17.810000000000002,0.0,7.300000000000004,2.0000000000000018,3,2.9100000000000126,4.893100470335954,2,none,0
39,54.8,18.515000000000004,0.0,7.050000000000004,-2.5,0,2.7599999999999953,4.777814088676886,2,none,0
40,54.8,19.240000000000006,0.0,7.250000000000004,2.0000000000000018,3,2.8400000000000265,4.535841352714348,2,none,0
41,54.8,19.985000000000007,0.0,7.450000000000005,2.0000000000000018,3,2.9699999999999713,4.312655449674359,2,none,0
42,54.8,20.727500000000006,0.0,7.425000000000004,-0.25000000000000355,2,2.910000000000021,4.1429914356463895,2,none,0
43,54.8,21.490000000000006,0.0,7.625000000000004,2.0000000000000018,3,2.990000000000009,3.9247954081405427,2,none,0
44,54.8,22.247500000000006,0.0,7.575000000000005,-0.4999999999999982,1,2.970000000000023,3.7691071686842283,2,none,0
45,54.8,23.025000000000006,0.0,7.775000000000005,2.0000000000000018,3,3.0499999999999683,3.5689290184914095,2,none,0
46,54.8,23.822500000000005,0.0,7.975000000000005,2.0000000000000018,3,3.179999999999999,3.3812693358458183,2,none,0
47,54.8,24.640000000000004,0.0,8.175000000000004,1.999999999999993,3,3.259999999999987,3.1990123362994707,2,none,0
48,54.8,25.4525,0.0,8.125000000000004,-0.5000000000000071,1,3.1900000000000004,3.0518682197784663,2,none,0
49,54.8,26.285000000000004,0.0,8.325000000000003,1.999999999999993,3,0.27000000000003094,2.877273494107869,2,none,0
50,54.8,27.1375,0.0,8.525000000000002,1.999999999999993,3,0.3999999999999764,2.7136341783923297,2,none,0
51,54.8,28.01,0.0,8.725000000000001,1.999999999999993,3,0.4800000000000071,2.5518865610023624,2,none,0
52,54.8,28.902500000000003,0.0,8.925,1.999999999999993,3,0.5599999999999952,2.398811678231294,2,none,0
53,54.8,29.792500000000004,0.0,8.9,-0.25000000000000355,2,0.5000000000000016,2.2673806344920564,2,none,0
54,54.8,30.7025,0.0,9.1,1.999999999999993,3,0.5799999999999896,2.1195297541064426,2,none,0
55,54.8,31.632500000000004,0.0,9.299999999999999,1.999999999999993,3,0.7100000000000204,1.9756314108597173,2,none,0
56,54.8,32.5825,0.0,9.499999999999998,1.999999999999993,3,0.7899999999999658,1.836650734033805,2,none,0
57,54.8,33.5525,0.0,9.699999999999998,1.999999999999993,3,0.8699999999999966,1.7006215558595674,2,none,0
58,54.8,34.52,0.0,9.674999999999997,-0.25000000000000355,2,0.8100000000000243,1.580480987557475,2,none,0
59,54.8,35.5075,0.0,9.874999999999996,1.999999999999993,3,0.889999999999991,1.4563894623564935,2,none,0
60,54.8,36.47,0.0,9.624999999999996,-2.5,0,0.7899999999999954,1.3735544076062842,2,none,0
61,54.8,37.4525,0.0,9.824999999999996,1.999999999999993,3,0.8700000000000048,1.2646898607799715,2,none,0
62,54.8,38.455,0.0,10.024999999999995,1.999999999999993,3,0.9999999999999929,1.1595361914169573,2,none,0
63,54.8,39.4775,0.0,10.224999999999994,1.999999999999993,3,1.080000000000002,1.0544572082569346,2,none,0
64,54.8,40.495,0.0,10.174999999999994,-0.5000000000000071,1,1.0099999999999942,0.9610803184399336,2,none,0
65,54.8,41.5325,0.0,10.374999999999993,1.999999999999993,3,1.0900000000000036,0.857562163619917,2,none,0
66,54.8,42.589999999999996,0.0,10.574999999999992,1.999999999999993,3,1.2199999999999915,0.7573382821358889,2,none,0
67,54.8,43.6675,0.0,10.774999999999991,1.999999999999993,3,1.300000000000001,0.6578271221353049,2,none,0
68,54.8,44.739999999999995,0.0,10.72499999999999,-0.5000000000000071,1,1.229999999999993,0.5657232482320181,2,none,0
69,54.8,45.809999999999995,0.0,10.69999999999999,-0.25000000000000355,2,1.22,0.47560661569086965,2,none,0
70,54.8,46.89999999999999,0.0,10.89999999999999,1.999999999999993,3,1.2999999999999878,0.3854126745633323,2,none,0
71,54.8,48.00999999999999,0.0,11.099999999999989,1.999999999999993,3,1.4299999999999973,0.3013037420344691,2,none,0
72,54.8,49.139999999999986,0.0,11.299999999999988,1.999999999999993,3,1.5099999999999851,0.22692036371894408,2,none,0
73,54.89759601366939,50.28317209568577,0.024435858343822447,11.499999999999988,1.999999999999993,3,24.61000000000005,0.1713311025443067,2,none,0
74,55.06308490641316,51.4415943448921,0.0659793571249514,11.699999999999987,1.999999999999993,3,-3.840000000000001,0.13887239670080612,2,none,0
75,55.43456774157959,52.52427956929932,0.16142717856491262,11.674999999999986,-0.25000000000000355,2,-3.8925000000000014,0.13755800025042014,2,none,0
76,56.022471173677275,53.50411862279545,0.3104238207460899,11.424999999999986,-2.5,0,-3.9175000000000013,0.14003087239793227,2,none,0
77,56.88181360834085,54.2090881650045,0.5200383086558898,11.399999999999986,-0.25000000000000355,2,-3.9200000000000017,0.1372160992573446,2,none,0
78,57.87666113749229,54.805996682495376,0.7793587856090038,11.599999999999985,1.999999999999993,3,-3.9000000000000012,0.12235759719374495,2,none,0
79,59.0336558086284,55.004807972661204,1.035010080661148,11.799999999999985,1.999999999999993,3,-3.8300000000000014,0.1343927931319143,2,none,0
80,60.162374923239696,55.166053560462814,1.2533098289621822,11.399999999999984,-4.0000000000000036,4,-4.420000000000002,0.3490807105399173,2,none,0
81,61.31999999999997,55.2,1.4023059270094482,11.599999999999984,1.999999999999993,3,-19.140000000000082,0.8143622937356501,2,none,1
