iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,908.6647291183472,902.9255568981171,215.60104298591614,307.45324206352234,307.4206848144531,1.5478141933679581,0.02988310158252716,1.2210129499435425,1.45648193359375,1.055101990699768,0.0,0.08589774370193481,-1059.282958984375,500.0,8,0,0,8,0,0.211669921875,0.1357421875,0.047607421875,0.275634765625,0.329345703125,0.10790304839611053,0.12520869076251984
2,8192,2154.1440119743347,941.0729749202728,220.6030158996582,335.80207896232605,335.7691271305084,28.338203924894334,-0.05744341015815735,26.279293060302734,1.3956947326660156,1.5743424892425537,0.0,1.8014857769012451,298.35516357421875,500.0,8,0,0,8,0,0.19970703125,0.170654296875,0.072998046875,0.39111328125,0.16552734375,3.0975935459136963,7.7767252922058105
3,12288,3097.172375679016,943.0281488895416,225.49030566215515,350.6202173233032,350.58515763282776,364.24761497676377,0.07069447636604309,14.7044095993042,1.4121792316436768,1734.0517578125,0.07297582924365997,2.647564172744751,2746.878662109375,500.0,8,0,0,8,0,0.18115234375,0.232177734375,0.08154296875,0.3720703125,0.133056640625,7.660457134246826,4.528692245483398
4,16384,4069.024130344391,971.8515548706055,275.5262701511383,306.4816417694092,306.4498519897461,1124.5698741182684,-0.029587648808956146,1062.1641845703125,1.4200026988983154,24.407012939453125,0.06944476068019867,57.53998565673828,10721.541015625,386.9,10,0,10,0,0,0.1611328125,0.2216796875,0.0859375,0.40966796875,0.12158203125,26.567115783691406,119.30610656738281
5,20480,5038.012988328934,968.9886605739594,242.8014416694641,333.58619141578674,333.55236625671387,254.79213134236633,0.08423066139221191,194.35890197753906,1.3796167373657227,11.416265487670898,0.025097200646996498,58.060726165771484,11654.279296875,475.5,8,0,4,4,0,0.184326171875,0.1865234375,0.076416015625,0.425048828125,0.127685546875,33.43101119995117,106.08236694335938
6,24576,6032.170522689819,994.1573634147644,267.7447032928467,342.6427888870239,342.609037399292,531.128355756402,0.10050636529922485,387.58917236328125,1.3595693111419678,1.9387619495391846,0.09318520128726959,143.03228759765625,14813.3017578125,408.22222222222223,9,0,8,1,0,0.17626953125,0.193115234375,0.083984375,0.42724609375,0.119384765625,110.95930480957031,195.66897583007812
7,28672,7031.369062662125,999.1983454227448,284.7973575592041,327.633576631546,327.59692120552063,856.603476716578,0.08071670681238174,529.473876953125,1.3371220827102661,325.1022033691406,0.0,262.0284423828125,18890.435546875,354.6363636363636,11,0,11,0,0,0.13134765625,0.220947265625,0.0947265625,0.431884765625,0.12109375,180.64962768554688,395.93212890625
8,32768,8104.270907402039,1072.9016304016113,359.50200867652893,320.7288067340851,320.6929485797882,857.8794039562345,-0.06768965721130371,506.7664794921875,1.2861305475234985,260.855712890625,0.1001531258225441,298.98944091796875,18694.57421875,292.14285714285717,14,0,14,0,0,0.135498046875,0.186279296875,0.106201171875,0.4541015625,0.117919921875,263.8853454589844,387.4925842285156
9,36864,9218.897666454315,1114.6265516281128,380.8510580062866,332.6924970149994,332.65830540657043,909.1241036623717,-0.07647617161273956,492.23870849609375,1.2699956893920898,635.8760986328125,0.0,289.7866516113281,22322.90234375,283.2857142857143,14,0,14,0,0,0.124755859375,0.191650390625,0.1083984375,0.45263671875,0.12255859375,244.49351501464844,383.53399658203125
10,40960,10356.870596170425,1137.9727320671082,399.64936566352844,339.5583198070526,339.5244402885437,1511.5486930176617,0.10979616641998291,453.0671081542969,1.3023083209991455,4099.43603515625,0.10662414878606796,238.4632568359375,22281.5234375,255.375,16,0,16,0,0,0.1240234375,0.161865234375,0.093505859375,0.49951171875,0.12109375,204.17616271972656,331.1455078125
