# scenario=1a, ego_maneuver=stem_right, seed=456, episode_idx=9, terminal_step=118, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.1,0.0,0.0,0.0,2,-0.010000000000000002,10.0,0,none,0
1,54.8,4.1025,0.0,0.025,0.25,1,-0.050000000000006824,10.0,0,none,0
2,54.8,4.10375,0.0,0.0125,-0.125,0,-0.055000000000003414,10.0,0,none,0
3,54.8,4.125,0.0,0.21250000000000002,2.0,3,0.02499999999998466,10.0,0,none,0
4,54.8,4.16625,0.0,0.41250000000000003,2.0,3,0.15500000000001535,10.0,0,none,0
5,54.8,4.205,0.0,0.38750000000000007,-0.24999999999999967,2,0.09499999999997953,10.0,0,none,0
6,54.8,4.26375,0.0,0.5875000000000001,2.0000000000000004,3,0.17500000000001026,10.0,0,none,0
7,54.8,4.293125,0.0,0.29375000000000007,-2.9375000000000004,4,-0.4425000000000375,10.0,0,none,0
8,54.8,4.3425,0.0,0.4937500000000001,2.0,3,0.13750000000003582,10.0,0,none,0
9,54.8,4.411875,0.0,0.6937500000000001,2.0,3,0.26749999999998125,10.0,0,none,0
10,54.8,4.47875,0.0,0.6687500000000001,-0.2500000000000002,2,0.20750000000003072,10.0,0,none,0
11,54.8,4.520625,0.0,0.41875000000000007,-2.5,0,0.10750000000001365,10.0,0,none,0
12,54.8,4.56,0.0,0.39375000000000004,-0.2500000000000002,2,0.09749999999997784,184.41945357965892,1,none,0
13,54.8,4.596875,0.0,0.36875,-0.2500000000000002,2,0.13749999999998466,175.2057935872812,1,none,0
14,54.8,4.65375,0.0,0.5687500000000001,2.0000000000000004,3,0.16750000000001536,105.38016754771141,1,none,0
15,54.8,4.708125,0.0,0.5437500000000001,-0.2500000000000002,2,0.15750000000002218,91.06632456944644,1,none,0
16,54.8,4.7825,0.0,0.7437500000000001,2.0000000000000004,3,0.23749999999996763,67.71808428222283,1,none,0
17,54.8,4.876875,0.0,0.9437500000000001,1.9999999999999996,3,0.3674999999999983,55.0224723905405,1,none,0
18,54.8,4.99125,0.0,1.14375,1.9999999999999996,3,0.44749999999998635,45.436703073503416,1,none,0
19,54.8,5.125625,0.0,1.34375,1.9999999999999996,3,0.5275000000000171,39.238498465977194,1,none,0
20,54.8,5.255,0.0,1.29375,-0.5000000000000004,1,0.4575000000000307,37.53342470411012,1,none,0
21,54.8,5.404375,0.0,1.49375,1.9999999999999996,3,0.5374999999999761,33.28968953112859,1,none,0
22,54.8,5.52875,0.0,1.24375,-2.5,0,0.4375000000000017,33.34916530556162,1,none,0
23,54.8,5.673125,0.0,1.4437499999999999,1.9999999999999996,3,0.5174999999999897,29.738604496446555,1,none,0
24,54.8,5.8374999999999995,0.0,1.6437499999999998,1.9999999999999996,3,0.6474999999999778,27.0259437248677,1,none,0
25,54.8,6.021875,0.0,1.8437499999999998,1.9999999999999996,3,0.7275000000000511,24.840354397487587,1,none,0
26,54.8,6.226249999999999,0.0,2.0437499999999997,1.9999999999999996,3,0.8074999999999966,22.62340784074474,1,none,0
27,54.8,6.450625,0.0,2.24375,2.0000000000000018,3,0.8874999999999846,20.810106622193835,1,none,0
28,54.8,6.6949999999999985,0.0,2.44375,2.0000000000000018,3,0.9675000000000153,19.235788526970218,1,none,0
29,54.8,6.934375,0.0,2.39375,-0.5000000000000027,1,0.8974999999999863,18.563043605194522,1,none,0
30,54.8,7.133749999999999,0.0,1.99375,-3.999999999999999,4,0.2375000000000102,19.38555461123344,1,none,0
31,54.8,7.328124999999998,0.0,1.9437499999999999,-0.5000000000000004,1,0.7174999999999812,18.550798468377828,1,none,0
32,54.8,7.542499999999999,0.0,2.14375,1.9999999999999996,3,0.7975000000000119,17.58601098834585,1,none,0
33,54.8,7.754374999999999,0.0,2.11875,-0.2499999999999991,2,0.7874999999999761,17.103487825610497,1,none,0
34,54.8,7.96125,0.0,2.0687499999999996,-0.5000000000000027,1,0.7674999999999896,16.581903510155666,1,none,0
35,54.8,8.188125,0.0,2.26875,2.0000000000000018,3,0.8475000000000203,15.768306164945601,1,none,0
36,54.8,8.434999999999999,0.0,2.46875,2.0000000000000018,3,0.9774999999999658,14.908521731548436,1,none,0
37,54.8,8.701875,0.0,2.66875,2.0000000000000018,3,1.0575000000000392,13.952774373348403,1,none,0
38,54.8,8.98875,0.0,2.8687500000000004,2.0000000000000018,3,1.1374999999999846,13.27630884892986,1,none,0
39,54.8,9.295625,0.0,3.0687500000000005,2.0000000000000018,3,1.2175000000000153,12.613889338324974,1,none,0
40,54.8,9.622499999999999,0.0,3.2687500000000007,2.0000000000000018,3,1.2974999999999608,11.909037843437265,2,none,0
41,54.8,9.969375,0.0,3.468750000000001,2.0000000000000018,3,1.3775000000000341,11.289078912193537,2,none,0
42,54.8,10.33625,0.0,3.668750000000001,2.0000000000000018,3,1.4574999999999796,10.708810289737144,2,none,0
43,54.8,10.723125,0.0,3.8687500000000012,2.0000000000000018,3,1.5375000000000103,10.238347584595076,2,none,0
44,54.8,11.129999999999999,0.0,4.068750000000001,2.0000000000000018,3,1.617500000000041,9.771345890757356,2,none,0
45,54.8,11.556875,0.0,4.268750000000002,2.0000000000000018,3,1.6974999999999865,9.292994366061702,2,none,0
46,54.8,11.98125,0.0,4.243750000000002,-0.24999999999999467,2,1.6374999999999933,9.076163414161684,2,none,0
47,54.8,12.403125000000001,0.0,4.218750000000002,-0.25000000000000355,2,1.6775000000000002,8.897850576655754,2,none,0
48,54.8,12.844999999999997,0.0,4.418750000000002,2.0000000000000018,3,1.7074999999999882,8.441777462835365,2,none,0
49,54.8,13.306874999999998,0.0,4.618750000000002,2.0000000000000018,3,1.837500000000019,8.03675769997033,2,none,0
50,54.8,13.76625,0.0,4.593750000000002,-0.25000000000000355,2,1.7774999999999832,7.794224463719776,2,none,0
51,54.8,14.223125,0.0,4.568750000000001,-0.25000000000000355,2,1.81749999999999,7.608796533541289,2,none,0
52,54.8,14.6775,0.0,4.543750000000001,-0.25000000000000355,2,1.8074999999999968,7.406443203968435,2,none,0
53,54.8,15.126875000000002,0.0,4.493750000000001,-0.4999999999999982,1,1.7375000000000103,7.20022394120924,2,none,0
54,54.8,15.596249999999998,0.0,4.693750000000001,2.0000000000000018,3,1.8174999999999983,6.885649895525437,2,none,0
