iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,712.2342674732208,707.0901420116425,211.12706565856934,111.26413249969482,111.23555731773376,29.54393734037876,-0.12604336440563202,26.24806022644043,1.4689892530441284,0.6815163493156433,0.0,2.7404041290283203,-988.4378051757812,500.0,8,0,0,8,0,0.135009765625,0.225830078125,0.10400390625,0.3173828125,0.2177734375
2,8192,1849.676852941513,750.7589898109436,230.4912450313568,130.00699138641357,129.9760284423828,664.1157235056162,-0.16932974755764008,542.2942504882812,1.430478572845459,93.45538330078125,0.0,28.535419464111328,2370.59619140625,482.5,8,0,2,6,0,0.135009765625,0.2353515625,0.15478515625,0.34912109375,0.125732421875
3,12288,2649.1755352020264,799.4985003471375,274.9480257034302,128.38291239738464,128.35142016410828,1138.6171466112137,-0.10835921764373779,1030.851806640625,1.4244250059127808,30.115909576416016,0.0,77.7577896118164,9945.6416015625,401.5,10,0,9,1,0,0.148193359375,0.199462890625,0.160888671875,0.368408203125,0.123046875
4,16384,3414.3217165470123,765.1459958553314,277.80401849746704,124.25386595726013,124.22376203536987,21258.115022864193,-0.04014376178383827,817.8583984375,1.3487110137939453,20297.357421875,0.0,142.93934631347656,15030.662109375,347.1818181818182,11,0,11,0,0,0.13623046875,0.22802734375,0.155029296875,0.38330078125,0.097412109375
5,20480,4267.954621553421,853.632716178894,334.5977942943573,132.76617002487183,132.73984909057617,898.0429696328938,0.017334867268800735,649.0534057617188,1.2518656253814697,19.15606689453125,0.0,229.816162109375,16381.0673828125,303.0769230769231,13,0,13,0,0,0.12353515625,0.22509765625,0.126708984375,0.426025390625,0.0986328125
6,24576,5137.207387924194,869.2526104450226,351.3364737033844,121.81391668319702,121.78169703483582,1147.4793257564306,0.03028295934200287,794.0277099609375,1.2685142755508423,3.035590648651123,0.0,350.3857421875,20133.861328125,296.84615384615387,13,0,13,0,0,0.13525390625,0.211669921875,0.127197265625,0.404296875,0.12158203125
7,28672,6019.63791513443,882.4303541183472,375.9856688976288,126.46343898773193,126.43439269065857,7960.6339475512505,-0.12270528078079224,1102.0775146484375,1.2921838760375977,6368.07470703125,0.0,490.60443115234375,19497.916015625,268.53333333333336,15,0,15,0,0,0.130615234375,0.193359375,0.1318359375,0.435791015625,0.1083984375
8,32768,6972.625856637955,952.9877851009369,413.7427022457123,126.08221983909607,126.05611991882324,969.3421876728535,0.156800776720047,617.1055908203125,1.2449594736099243,3.361534357070923,0.0,348.71826171875,20959.193359375,266.6,15,0,15,0,0,0.10986328125,0.18310546875,0.12255859375,0.4580078125,0.12646484375
9,36864,7875.9551548957825,903.3291199207306,411.3780097961426,121.08682680130005,121.05366730690002,1262.053584381938,-0.07617731392383575,768.0822143554688,1.1514148712158203,10.781678199768066,0.0,483.265869140625,21788.3671875,240.6875,16,0,16,0,0,0.101806640625,0.176513671875,0.10400390625,0.49853515625,0.119140625
10,40960,8863.006623029709,987.0513210296631,441.03397703170776,131.0248064994812,130.9975278377533,1105.9399432316422,-0.028059087693691254,685.6063842773438,1.1523202657699585,114.46641540527344,0.0,305.89520263671875,23600.0625,242.4375,16,0,16,0,0,0.105712890625,0.181884765625,0.11083984375,0.4931640625,0.1083984375
11,45056,9792.706760644913,929.6999661922455,421.69881534576416,129.75345015525818,129.72129774093628,1294.3071148525923,0.022141708061099052,480.0162658691406,1.113485336303711,615.708984375,0.0,198.55972290039062,23683.4296875,232.7058823529412,17,0,17,0,0,0.0947265625,0.15625,0.11572265625,0.518310546875,0.114990234375
12,49152,11243.069083452225,957.9143834114075,434.119353055954,128.67160177230835,128.63797688484192,6625.478611961007,0.029942527413368225,484.6694641113281,1.1831777095794678,5920.09423828125,0.0,220.68496704101562,26813.6484375,230.88235294117646,17,0,17,0,0,0.098876953125,0.15673828125,0.103271484375,0.52099609375,0.1201171875
13,53248,12193.612025022507,950.5427784919739,442.3170042037964,109.67863249778748,109.6470558643341,790.6965381279588,0.1015564575791359,545.8262939453125,1.1836836338043213,4.418193340301514,0.0,240.35049438476562,29186.091796875,228.94117647058823,17,0,17,0,0,0.1298828125,0.162841796875,0.101318359375,0.48193359375,0.1240234375
