# scenario=1a, ego_maneuver=stem_right, seed=42, episode_idx=12, terminal_step=80, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.06999999999994544,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.15000000000001876,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.3824999999999985,0.0,0.8250000000000001,0.2500000000000002,1,0.2700000000000307,10.0,0,none,0
5,54.8,4.424999999999999,0.0,0.42500000000000004,-4.0,4,-0.39000000000003066,10.0,0,none,0
6,54.8,4.487499999999999,0.0,0.625,1.9999999999999996,3,0.19,10.0,0,none,0
7,54.8,4.5699999999999985,0.0,0.825,1.9999999999999996,3,0.3200000000000307,88.01026643620085,1,none,0
8,54.8,4.6724999999999985,0.0,1.025,1.9999999999999996,3,0.39999999999997615,68.79117406973266,1,none,0
9,54.8,4.794999999999998,0.0,1.2249999999999999,1.9999999999999996,3,0.4800000000000068,54.78276423394443,1,none,0
10,54.8,4.937499999999998,0.0,1.4249999999999998,1.9999999999999996,3,0.5599999999999948,44.946742934487936,1,none,0
11,54.8,5.099999999999998,0.0,1.6249999999999998,1.9999999999999996,3,0.6400000000000255,37.880249254356606,1,none,0
12,54.8,5.282499999999998,0.0,1.8249999999999997,1.9999999999999996,3,0.719999999999971,32.71723928420246,1,none,0
13,54.8,5.484999999999998,0.0,2.025,2.0000000000000018,3,0.8000000000000017,28.635712445134775,1,none,0
14,54.8,5.707499999999998,0.0,2.225,2.0000000000000018,3,0.8799999999999898,25.478365459049986,1,none,0
15,54.8,5.9499999999999975,0.0,2.4250000000000003,2.0000000000000018,3,0.9600000000000205,22.88977581090305,1,none,0
16,54.8,6.212499999999997,0.0,2.6250000000000004,2.0000000000000018,3,1.0399999999999658,20.77712942287169,1,none,0
17,54.8,6.4724999999999975,0.0,2.6000000000000005,-0.2499999999999991,2,0.9800000000000153,19.829062225124744,1,none,0
18,54.8,6.752499999999998,0.0,2.8000000000000007,2.0000000000000018,3,1.0600000000000034,18.139831380484065,1,none,0
19,54.8,7.0524999999999975,0.0,3.000000000000001,2.0000000000000018,3,1.1899999999999915,16.717168537524522,1,none,0
20,54.8,7.372499999999998,0.0,3.200000000000001,2.0000000000000018,3,1.2699999999999796,15.493462105264154,1,none,0
21,54.8,7.667499999999998,0.0,2.950000000000001,-2.5,0,1.1200000000000478,15.382445403971378,1,none,0
22,54.8,7.982499999999998,0.0,3.1500000000000012,2.0000000000000018,3,1.1999999999999933,14.280531399126877,1,none,0
23,54.8,8.317499999999999,0.0,3.3500000000000014,2.0000000000000018,3,1.330000000000024,13.306196673588163,1,none,0
24,54.8,8.6725,0.0,3.5500000000000016,2.0000000000000018,3,1.4099999999999695,12.423396928625046,2,none,0
25,54.8,9.0475,0.0,3.7500000000000018,2.0000000000000018,3,1.4900000000000002,11.68601555145408,2,none,0
26,54.8,9.442499999999999,0.0,3.950000000000002,2.0000000000000018,3,1.570000000000031,10.964807323303008,2,none,0
27,54.8,9.8325,0.0,3.900000000000002,-0.4999999999999982,1,1.4999999999999594,10.630526671162071,2,none,0
28,54.8,10.22,0.0,3.875000000000002,-0.2499999999999991,2,1.4900000000000087,10.261210686236875,2,none,0
29,54.8,10.627500000000001,0.0,4.075000000000002,1.9999999999999973,3,1.5700000000000394,9.68445186532836,2,none,0
30,54.8,11.055000000000001,0.0,4.275000000000002,2.0000000000000018,3,1.6999999999999422,9.173204343649852,2,none,0
31,54.8,11.502500000000001,0.0,4.475000000000002,2.0000000000000018,3,1.7800000000000582,8.689134289143174,2,none,0
32,54.8,11.970000000000002,0.0,4.6750000000000025,2.0000000000000018,3,1.8600000000000037,8.221990123990336,2,none,0
33,54.8,12.457500000000003,0.0,4.875000000000003,2.0000000000000018,3,1.939999999999949,7.80932524041788,2,none,0
34,54.8,12.965000000000003,0.0,5.075000000000003,2.0000000000000018,3,2.0200000000000227,7.419737506631656,2,none,0
35,54.8,13.492500000000003,0.0,5.275000000000003,2.0000000000000018,3,2.0999999999999677,7.044113903797537,2,none,0
36,54.8,14.040000000000004,0.0,5.475000000000003,2.0000000000000018,3,2.1800000000000415,6.694948863387571,2,none,0
37,54.8,14.585000000000004,0.0,5.450000000000003,-0.25000000000000355,2,2.119999999999963,6.460678324612786,2,none,0
