step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,1,CREEP,0.4799999999999727,54.8,4.794999999999998,1.3499999999999999,40.63262231418509,0,45.205
8,1,CREEP,0.510000000000029,54.8,4.924999999999998,1.2999999999999998,31.560241062034752,0,45.075
9,3,GO,0.5399999999999744,54.8,5.074999999999998,1.4999999999999998,27.258898166291406,0,44.925000000000004
10,3,GO,0.6700000000000477,54.8,5.244999999999998,1.6999999999999997,25.406799753489086,0,44.755
11,3,GO,0.7499999999999931,54.8,5.434999999999999,1.8999999999999997,23.463797668019236,0,44.565
12,3,GO,0.8299999999999812,54.8,5.644999999999999,2.0999999999999996,20.514463517563783,0,44.355000000000004
13,3,GO,0.9100000000000119,54.8,5.874999999999998,2.3,19.597190396118915,0,44.125
14,3,GO,0.99,54.8,6.124999999999998,2.5,17.880723223393186,0,43.875
15,3,GO,1.069999999999988,54.8,6.394999999999998,2.7,16.53564002519218,0,43.605000000000004
16,3,GO,1.1500000000000188,54.8,6.684999999999997,2.9000000000000004,15.41872937968786,0,43.315000000000005
17,3,GO,1.2300000000000069,54.8,6.9949999999999966,3.1000000000000005,14.181365959770329,0,43.005
18,2,YIELD,1.169999999999971,54.8,7.302499999999997,3.0750000000000006,14.080462646358852,0,42.697500000000005
19,3,GO,1.2500000000000018,54.8,7.629999999999997,3.275000000000001,13.532879638070575,0,42.370000000000005
20,3,GO,1.37999999999999,54.8,7.9774999999999965,3.475000000000001,12.406915977856206,0,42.0225
21,1,CREEP,1.3100000000000034,54.8,8.319999999999997,3.4250000000000007,12.369122753142282,0,41.68000000000001
22,2,YIELD,1.3000000000000103,54.8,8.659999999999997,3.400000000000001,12.477877704053238,0,41.34
23,3,GO,1.3799999999999983,54.8,9.019999999999996,3.600000000000001,11.919135043452812,0,40.980000000000004
24,2,YIELD,1.3700000000000052,54.8,9.377499999999996,3.575000000000001,11.888679518744848,0,40.6225
25,1,CREEP,1.3499999999999763,54.8,9.729999999999997,3.5250000000000012,11.830754220864872,0,40.27
26,1,CREEP,1.37999999999999,54.8,10.077499999999997,3.4750000000000014,11.694117770559084,0,39.9225
27,3,GO,1.4100000000000206,54.8,10.444999999999997,3.6750000000000016,11.21864909996944,0,39.55500000000001
28,3,GO,1.5400000000000087,54.8,10.832499999999996,3.8750000000000018,10.573684364936494,0,39.167500000000004
29,2,YIELD,1.4800000000000155,54.8,11.217499999999996,3.850000000000002,10.461238857599746,0,38.782500000000006
30,2,YIELD,1.5199999999999798,54.8,11.599999999999996,3.825000000000002,10.24893675338205,0,38.400000000000006
31,3,GO,1.5500000000000105,54.8,12.002499999999996,4.025000000000002,9.703376699234292,0,37.9975
32,1,CREEP,1.530000000000024,54.8,12.399999999999995,3.9750000000000023,9.689331595567152,0,37.6
33,3,GO,1.6099999999999695,54.8,12.817499999999997,4.1750000000000025,9.070245714507289,0,37.182500000000005
34,0,STOP,1.5100000000000378,54.8,13.209999999999997,3.9250000000000025,9.610900787994996,0,36.790000000000006
35,2,YIELD,1.4999999999999594,54.8,13.599999999999998,3.9000000000000026,9.529320239031252,0,36.400000000000006
36,0,STOP,1.4000000000000274,54.8,13.964999999999998,3.6500000000000026,10.338669319877056,0,36.035000000000004
37,3,GO,1.479999999999973,54.8,14.349999999999996,3.8500000000000028,9.662392332318658,0,35.650000000000006
38,3,GO,1.6100000000000037,54.8,14.754999999999999,4.0500000000000025,9.127032381291436,0,35.245000000000005
39,2,YIELD,1.5500000000000105,54.8,15.157499999999999,4.025000000000002,8.958432038108917,0,34.8425
40,2,YIELD,1.5900000000000172,54.8,15.5575,4.000000000000002,8.826017265502514,0,34.4425
41,3,GO,1.6199999999999626,54.8,15.9775,4.200000000000002,8.278680175981389,0,34.0225
42,4,ABORT,0.9599999999999864,54.8,16.357499999999998,3.800000000000002,9.113681040648906,0,33.6425
43,0,STOP,1.3600000000000547,54.8,16.7125,3.550000000000002,9.742070482959127,0,33.2875
44,3,GO,1.4400000000000002,54.8,17.0875,3.750000000000002,9.300036594106146,0,32.9125
45,1,CREEP,1.420000000000014,54.8,17.4575,3.700000000000002,9.09652046592613,0,32.542500000000004
46,3,GO,1.4999999999999594,54.8,17.8475,3.900000000000002,8.539107987146817,0,32.1525
47,1,CREEP,1.4800000000000155,54.8,18.2325,3.8500000000000023,8.492615574135018,0,31.7675
48,1,CREEP,1.5100000000000293,54.8,18.6125,3.8000000000000025,8.553296991685785,0,31.387500000000003
49,2,YIELD,1.4499999999999933,54.8,18.990000000000002,3.7750000000000026,8.466911443074137,0,31.009999999999998
50,3,GO,1.5299999999999814,54.8,19.387500000000003,3.9750000000000028,8.096576960218096,0,30.612499999999997
51,1,CREEP,1.5099999999999951,54.8,19.780000000000005,3.9250000000000025,7.992376674408014,0,30.22
52,1,CREEP,1.540000000000009,54.8,20.167500000000004,3.8750000000000027,8.120522560688903,0,29.832499999999996
53,2,YIELD,1.4800000000000155,54.8,20.552500000000006,3.8500000000000028,8.064231230653364,0,29.44749999999999
54,3,GO,1.5600000000000036,54.8,20.957500000000007,4.0500000000000025,7.497298430874011,0,29.04249999999999
55,1,CREEP,1.5400000000000174,54.8,21.357500000000005,4.000000000000003,7.525096558319145,0,28.6425
56,3,GO,1.6199999999999628,54.8,21.777500000000007,4.200000000000003,6.970326358469775,0,28.222499999999997
57,3,GO,1.7499999999999936,54.8,22.21750000000001,4.400000000000003,6.4345028935046855,0,27.78249999999999
58,3,GO,1.8300000000000243,54.8,22.67750000000001,4.600000000000003,6.03288740189389,0,27.32249999999999
59,4,ABORT,1.1200000000000054,54.8,23.09750000000001,4.200000000000003,6.728748363637421,0,26.90249999999999
60,3,GO,1.7000000000000361,54.8,23.537500000000012,4.400000000000003,6.249418469585233,0,26.46249999999999
61,2,YIELD,1.6900000000000004,54.8,23.975000000000012,4.3750000000000036,6.242716989280835,0,26.02499999999999
62,3,GO,1.7699999999999458,54.8,24.43250000000001,4.575000000000004,5.858333345111537,0,25.56749999999999
63,1,CREEP,1.7500000000000446,54.8,24.885000000000012,4.525000000000004,5.859496743917823,0,25.114999999999988
64,1,CREEP,1.7799999999999732,54.8,25.332500000000014,4.475000000000004,5.726382739189388,0,24.66749999999999
65,0,STOP,1.6300000000000414,54.8,25.755000000000013,4.225000000000004,6.100532584301871,0,24.24499999999999
66,0,STOP,1.5799999999999816,54.8,26.152500000000014,3.975000000000004,6.40401086181122,0,23.847499999999982
67,2,YIELD,1.5199999999999885,54.8,26.54750000000001,3.950000000000004,6.43416448923566,0,23.452499999999986
68,2,YIELD,1.560000000000038,54.8,26.940000000000015,3.9250000000000043,6.371022842638553,0,23.059999999999988
69,3,GO,1.5899999999999834,54.8,27.352500000000017,4.125000000000004,5.90944711692591,0,22.64749999999998
70,0,STOP,1.4899999999999662,54.8,27.740000000000016,3.8750000000000044,6.316281445041771,0,22.259999999999984
71,4,ABORT,0.8300000000000328,54.8,28.087500000000013,3.4750000000000045,6.969726619960021,0,21.912499999999984
72,3,GO,1.4099999999999995,54.8,28.45500000000002,3.6750000000000047,6.410613400282517,0,21.544999999999984
73,1,CREEP,1.389999999999992,54.8,28.817500000000017,3.6250000000000044,6.58001417781568,0,21.182499999999983
74,3,GO,1.4700000000000013,54.8,29.200000000000017,3.8250000000000046,5.8712212652645555,0,20.799999999999983
