step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,34.4009062269682,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,26.298050265152824,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,23.28907773442112,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.558120725557412,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.91395568873819,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,17.86020364767388,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.889837394950646,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.566442082122643,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.476315324431656,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.543269143947166,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.566815420912299,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,11.717602910421903,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.206846467177483,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.408131933989887,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,9.875314197530273,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.184182902467882,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,8.752196635977231,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.232304050351816,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,7.832896457770875,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,7.453342985062439,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,7.047474964753981,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,6.628848469575537,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,6.214431275803528,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,5.972642153322179,0,35.98
31,2,YIELD,2.4099999999999784,54.8,14.637500000000001,6.1750000000000025,5.92580865909165,0,35.3625
32,2,YIELD,2.449999999999985,54.8,15.252500000000001,6.150000000000002,5.825367951077436,0,34.7475
33,2,YIELD,2.440000000000034,54.8,15.865000000000004,6.125000000000002,5.690454215309504,0,34.135
34,2,YIELD,2.4299999999999558,54.8,16.475,6.100000000000001,5.654121155424149,0,33.525
35,2,YIELD,2.420000000000048,54.8,17.082500000000003,6.075000000000001,5.567149202102839,0,32.9175
36,2,YIELD,2.4099999999999695,54.8,17.687500000000004,6.050000000000001,5.486033251039186,0,32.3125
37,2,YIELD,2.400000000000019,54.8,18.290000000000003,6.025,5.42504731189246,0,31.709999999999994
38,2,YIELD,2.3900000000000254,54.8,18.890000000000004,6.0,5.337234872584718,0,31.11
39,2,YIELD,2.3799999999999897,54.8,19.487500000000004,5.975,5.341688224981496,0,30.512499999999996
40,2,YIELD,2.3699999999999966,54.8,20.082500000000003,5.949999999999999,5.270030806210832,0,29.917499999999997
41,2,YIELD,2.3600000000000034,54.8,20.675000000000004,5.924999999999999,5.232526053662604,0,29.324999999999996
42,2,YIELD,2.3500000000000103,54.8,21.265000000000004,5.899999999999999,5.109526151242034,0,28.735
43,2,YIELD,2.339999999999974,54.8,21.852500000000003,5.874999999999998,5.00223031364084,0,28.147499999999994
44,2,YIELD,2.329999999999981,54.8,22.437500000000004,5.849999999999998,4.934807008869129,0,27.5625
45,2,YIELD,2.3200000000000305,54.8,23.020000000000003,5.8249999999999975,4.8619873719364755,0,26.979999999999997
46,2,YIELD,2.309999999999952,54.8,23.6,5.799999999999997,4.808080754459319,0,26.4
47,2,YIELD,2.3000000000000442,54.8,24.177500000000002,5.774999999999997,4.815448635802364,0,25.822499999999998
48,2,YIELD,2.2899999999999654,54.8,24.752500000000005,5.7499999999999964,4.660178065568144,0,25.247500000000002
49,2,YIELD,2.280000000000015,54.8,25.325,5.724999999999996,4.607669627268879,0,24.674999999999997
50,2,YIELD,2.270000000000022,54.8,25.895,5.699999999999996,4.512736722087763,0,24.105000000000004
51,2,YIELD,2.259999999999986,54.8,26.462500000000002,5.674999999999995,4.458867900574199,0,23.5375
52,2,YIELD,2.249999999999993,54.8,27.027499999999996,5.649999999999995,4.372236754720284,0,22.972500000000004
53,2,YIELD,2.2399999999999993,54.8,27.589999999999996,5.624999999999995,4.38323134376757,0,22.410000000000004
54,2,YIELD,2.229999999999985,54.8,28.14999999999999,5.599999999999994,4.266747234053355,0,21.850000000000005
55,2,YIELD,2.2199999999999918,54.8,28.707499999999996,5.574999999999994,4.244931413992109,0,21.292500000000004
56,2,YIELD,2.2099999999999986,54.8,29.262499999999996,5.549999999999994,4.171811925998349,0,20.737500000000004
57,2,YIELD,2.2000000000000055,54.8,29.814999999999994,5.524999999999993,4.09454433163167,0,20.185000000000006
58,2,YIELD,2.1899999999999906,54.8,30.364999999999995,5.499999999999993,4.037498601220752,0,19.635000000000005
59,2,YIELD,2.1799999999999975,54.8,30.91249999999999,5.4749999999999925,3.9477032248357555,0,19.087500000000006
60,2,YIELD,2.1700000000000044,54.8,31.457499999999992,5.449999999999992,3.84411458797103,0,18.542500000000008
61,2,YIELD,2.15999999999999,54.8,31.99999999999999,5.424999999999992,3.7886777266313985,0,18.000000000000007
62,2,YIELD,2.149999999999997,54.8,32.53999999999999,5.3999999999999915,3.783251178875538,0,17.460000000000008
63,2,YIELD,2.1400000000000032,54.8,33.07749999999999,5.374999999999991,3.7058768614699007,0,16.922500000000007
64,2,YIELD,2.129999999999989,54.8,33.61249999999999,5.349999999999991,3.6677972826304623,0,16.38750000000001
65,2,YIELD,2.1199999999999957,54.8,34.14499999999999,5.32499999999999,3.624459307674628,0,15.855000000000011
66,2,YIELD,2.1100000000000025,54.8,34.67499999999999,5.29999999999999,3.5748538342841227,0,15.32500000000001
67,2,YIELD,2.099999999999988,54.8,35.202499999999986,5.27499999999999,3.4552308276193857,0,14.797500000000014
68,2,YIELD,2.0899999999999945,54.8,35.727499999999985,5.249999999999989,3.4268883191140462,0,14.272500000000015
69,2,YIELD,2.0800000000000014,54.8,36.249999999999986,5.224999999999989,3.344279314856853,0,13.750000000000014
70,2,YIELD,2.069999999999987,54.8,36.76999999999998,5.199999999999989,3.3199729217393137,0,13.230000000000018
71,2,YIELD,2.059999999999994,54.8,37.28749999999998,5.174999999999988,3.2570757928924934,0,12.71250000000002
72,2,YIELD,2.0500000000000007,54.8,37.80249999999998,5.149999999999988,3.2024023979444247,0,12.19750000000002
73,2,YIELD,2.039999999999986,54.8,38.314999999999976,5.124999999999988,3.1657826984465576,0,11.685000000000024
74,2,YIELD,2.0299999999999927,54.8,38.824999999999974,5.099999999999987,3.0737537906826806,0,11.175000000000026
75,2,YIELD,2.0199999999999996,54.8,39.332499999999975,5.074999999999987,3.013675293591443,0,10.667500000000025
