step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,2,YIELD,0.4099999999999778,54.8,4.637499999999998,1.1749999999999998,10.0,0,45.362500000000004
7,3,GO,0.4900000000000511,54.8,4.774999999999999,1.3749999999999998,40.31881083957036,0,45.225
8,3,GO,0.6199999999999966,54.8,4.932499999999998,1.5749999999999997,29.484748408492795,0,45.0675
9,2,YIELD,0.5600000000000034,54.8,5.087499999999999,1.5499999999999998,28.819215113023766,0,44.9125
10,3,GO,0.6399999999999488,54.8,5.262499999999998,1.7499999999999998,26.49291315648888,0,44.737500000000004
11,3,GO,0.7700000000000221,54.8,5.457499999999999,1.9499999999999997,24.24918481699546,0,44.542500000000004
12,3,GO,0.8500000000000102,54.8,5.6724999999999985,2.15,21.370389280729345,0,44.3275
13,3,GO,0.9299999999999983,54.8,5.907499999999999,2.35,20.142145500902352,0,44.0925
14,3,GO,1.0099999999999865,54.8,6.1625,2.5500000000000003,18.385827469837135,0,43.8375
15,3,GO,1.0900000000000172,54.8,6.437499999999999,2.7500000000000004,16.973286636090744,0,43.5625
16,3,GO,1.1700000000000053,54.8,6.732499999999999,2.9500000000000006,15.784224593994937,0,43.2675
17,3,GO,1.2499999999999933,54.8,7.047499999999999,3.150000000000001,14.546131319489307,0,42.9525
18,3,GO,1.3299999999999814,54.8,7.382499999999999,3.350000000000001,13.487171512058294,0,42.6175
19,3,GO,1.4100000000000121,54.8,7.7375,3.550000000000001,12.86745075166332,0,42.2625
20,3,GO,1.4900000000000428,54.8,8.1125,3.7500000000000013,11.887835257347,0,41.8875
21,3,GO,1.5699999999999457,54.8,8.5075,3.9500000000000015,11.245955557536242,0,41.4925
22,3,GO,1.650000000000019,54.8,8.922500000000001,4.150000000000001,10.416070990324751,0,41.0775
23,3,GO,1.730000000000007,54.8,9.357500000000002,4.350000000000001,9.90490736857559,0,40.6425
24,3,GO,1.8099999999999952,54.8,9.812500000000002,4.550000000000002,9.292055815830452,0,40.1875
25,3,GO,1.8899999999999832,54.8,10.287500000000001,4.750000000000002,8.82491869051195,0,39.7125
26,3,GO,1.970000000000014,54.8,10.782500000000002,4.950000000000002,8.383157321065285,0,39.2175
27,3,GO,2.0500000000000447,54.8,11.297500000000003,5.150000000000002,7.9139153222247955,0,38.7025
28,3,GO,2.12999999999999,54.8,11.832500000000003,5.350000000000002,7.433452071800825,0,38.1675
29,3,GO,2.209999999999978,54.8,12.387500000000005,5.5500000000000025,6.961033082934923,0,37.6125
30,3,GO,2.290000000000009,54.8,12.962500000000004,5.750000000000003,6.6856470338053455,0,37.037499999999994
31,3,GO,2.369999999999997,54.8,13.557500000000005,5.950000000000003,6.354506439276865,0,36.442499999999995
32,3,GO,2.4500000000000277,54.8,14.172500000000005,6.150000000000003,5.987130962372955,0,35.82749999999999
33,1,CREEP,2.3799999999999564,54.8,14.782500000000006,6.100000000000003,5.88014318961462,0,35.217499999999994
34,3,GO,2.4600000000000293,54.8,15.412500000000007,6.300000000000003,5.598260057439929,0,34.58749999999999
35,1,CREEP,2.4400000000000004,54.8,16.03750000000001,6.2500000000000036,5.53630537272567,0,33.96249999999999
36,3,GO,2.519999999999989,54.8,16.682500000000008,6.450000000000004,5.226832342075643,0,33.317499999999995
37,3,GO,2.650000000000019,54.8,17.347500000000007,6.650000000000004,4.951553993969718,0,32.65249999999999
38,4,ABORT,1.9400000000000004,54.8,17.972500000000007,6.2500000000000036,5.215463677581574,0,32.02749999999999
39,3,GO,2.519999999999989,54.8,18.617500000000007,6.450000000000004,4.993479602977857,0,31.382499999999993
40,4,ABORT,1.8600000000000123,54.8,19.222500000000007,6.050000000000004,5.293035104576069,0,30.77749999999999
41,3,GO,2.4400000000000004,54.8,19.847500000000007,6.250000000000004,5.022377863865352,0,30.15249999999999
42,3,GO,2.5699999999999887,54.8,20.492500000000007,6.450000000000005,4.687989059829598,0,29.507499999999993
43,1,CREEP,2.5000000000000027,54.8,21.132500000000007,6.400000000000005,4.601311020235067,0,28.867499999999993
44,4,ABORT,1.840000000000026,54.8,21.73250000000001,6.000000000000005,4.886521461806708,0,28.26749999999999
45,0,STOP,2.2399999999999665,54.8,22.307500000000008,5.750000000000005,5.05007266732058,0,27.692499999999995
46,1,CREEP,2.220000000000023,54.8,22.87750000000001,5.7000000000000055,5.025117902709753,0,27.122499999999988
47,1,CREEP,2.249999999999994,54.8,23.44250000000001,5.650000000000006,5.064380657892504,0,26.55749999999999
48,3,GO,2.279999999999982,54.8,24.02750000000001,5.850000000000006,4.667014752815782,0,25.97249999999999
49,1,CREEP,2.2600000000000384,54.8,24.607500000000012,5.800000000000006,4.638822101530979,0,25.392499999999984
50,3,GO,2.339999999999984,54.8,25.20750000000001,6.000000000000006,4.322037900460074,0,24.79249999999999
51,4,ABORT,1.6800000000000075,54.8,25.767500000000016,5.600000000000007,4.642680792090798,0,24.232499999999987
52,4,ABORT,1.5700000000000314,54.8,26.28750000000002,5.200000000000006,4.9903486742381435,0,23.712499999999984
53,0,STOP,1.9200000000000144,54.8,26.782500000000017,4.950000000000006,5.3155031442215845,0,23.217499999999987
54,3,GO,1.9999999999999598,54.8,27.297500000000014,5.150000000000007,4.9038147327145305,0,22.702499999999986
55,3,GO,2.1299999999999906,54.8,27.83250000000002,5.350000000000007,4.6220088562614965,0,22.167499999999983
56,4,ABORT,1.4200000000000357,54.8,28.32750000000002,4.950000000000006,5.016886988044861,0,21.67249999999998
57,3,GO,2.0000000000000027,54.8,28.842500000000015,5.150000000000007,4.658722165666035,0,21.15749999999998
58,3,GO,2.1299999999999906,54.8,29.377500000000023,5.350000000000007,4.3451535715406155,0,20.62249999999998
59,1,CREEP,2.060000000000004,54.8,29.90750000000002,5.300000000000007,4.283280371017155,0,20.09249999999998
60,1,CREEP,2.0900000000000176,54.8,30.432500000000022,5.250000000000007,4.206790207597287,0,19.567499999999978
61,1,CREEP,2.0699999999999887,54.8,30.95250000000002,5.200000000000007,4.182091719850642,0,19.047499999999978
62,3,GO,2.0999999999999983,54.8,31.492500000000025,5.4000000000000075,3.937633552949943,0,18.50749999999998
63,4,ABORT,1.4400000000000006,54.8,31.99250000000002,5.000000000000007,4.280153629153789,0,18.00749999999998
64,0,STOP,1.840000000000005,54.8,32.46750000000002,4.750000000000007,4.537387033111086,0,17.532499999999978
65,0,STOP,1.7900000000000094,54.8,32.917500000000025,4.500000000000007,4.825133427304526,0,17.082499999999975
66,3,GO,1.8199999999999974,54.8,33.387500000000024,4.700000000000007,4.469932119471541,0,16.612499999999976
67,1,CREEP,1.800000000000011,54.8,33.85250000000003,4.6500000000000075,4.380093274262667,0,16.147499999999972
68,1,CREEP,1.8300000000000034,54.8,34.31250000000003,4.600000000000008,4.400902307913786,0,15.687499999999972
69,1,CREEP,1.8099999999999956,54.8,34.76750000000003,4.550000000000008,4.3558859646432,0,15.232499999999973
70,3,GO,1.840000000000005,54.8,35.24250000000003,4.750000000000008,4.047410243470053,0,14.757499999999972
71,4,ABORT,1.1800000000000077,54.8,35.67750000000003,4.3500000000000085,4.507540880747812,0,14.32249999999997
72,1,CREEP,1.66,54.8,36.10750000000003,4.300000000000009,4.50242526373005,0,13.89249999999997
73,3,GO,1.7400000000000093,54.8,36.55750000000003,4.500000000000009,4.153810328437242,0,13.442499999999967
