step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,27.942707260628612,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,15.044691825522015,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,13.190527997862128,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,13.001630340799538,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,12.589240937192645,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,10.844987284485246,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,11.096474549980632,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,10.242203504229268,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,9.66921914248578,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,9.2509062581145,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,8.501731187084234,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,7.901213143755844,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,8.057615059896133,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,7.277136812632216,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,7.114916217987221,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,6.399448781210663,0,39.9
24,0,STOP,1.7600000000000378,54.8,10.555,4.550000000000002,6.761634965239894,0,39.445
25,3,GO,1.8399999999999832,54.8,11.03,4.750000000000002,6.7574261398393425,0,38.97
26,3,GO,1.970000000000014,54.8,11.525,4.950000000000002,6.37896505323862,0,38.475
27,3,GO,2.0499999999999594,54.8,12.040000000000001,5.150000000000002,5.887250013185907,0,37.96
28,3,GO,2.1300000000000328,54.8,12.575000000000003,5.350000000000002,5.35999425903642,0,37.425
29,3,GO,2.209999999999978,54.8,13.130000000000003,5.5500000000000025,5.394587954819144,0,36.87
30,3,GO,2.2900000000000515,54.8,13.705000000000002,5.750000000000003,5.196435590961972,0,36.295
31,3,GO,2.369999999999997,54.8,14.3,5.950000000000003,4.835285797986432,0,35.699999999999996
32,3,GO,2.4499999999999424,54.8,14.915000000000001,6.150000000000003,4.399751655266218,0,35.084999999999994
33,3,GO,2.5300000000000584,54.8,15.550000000000002,6.350000000000003,4.2741140970203695,0,34.449999999999996
34,3,GO,2.610000000000004,54.8,16.205000000000002,6.550000000000003,4.016013707885319,0,33.795
35,2,YIELD,2.5499999999999683,54.8,16.8575,6.525000000000004,3.9056175110894045,0,33.1425
36,2,YIELD,2.589999999999975,54.8,17.5075,6.5000000000000036,3.848242304399636,0,32.4925
37,2,YIELD,2.580000000000024,54.8,18.155,6.475000000000003,3.7203667932045326,0,31.845
38,2,YIELD,2.570000000000031,54.8,18.8,6.450000000000003,3.834516168629173,0,31.200000000000003
39,2,YIELD,2.5599999999999525,54.8,19.442500000000003,6.4250000000000025,3.7462553593333228,0,30.557499999999997
40,2,YIELD,2.5500000000000447,54.8,20.082500000000003,6.400000000000002,3.7479301804563803,0,29.917499999999997
41,2,YIELD,2.5399999999999663,54.8,20.720000000000002,6.375000000000002,3.5230023067300413,0,29.28
42,2,YIELD,2.5300000000000153,54.8,21.355000000000004,6.350000000000001,3.3424835444226266,0,28.644999999999996
43,2,YIELD,2.5200000000000222,54.8,21.987500000000004,6.325000000000001,3.266661781283272,0,28.012499999999996
44,2,YIELD,2.5099999999999865,54.8,22.617500000000003,6.300000000000001,3.1766544160031644,0,27.382499999999993
45,2,YIELD,2.4999999999999933,54.8,23.245000000000005,6.275,3.135125875704327,0,26.754999999999995
46,2,YIELD,2.49,54.8,23.870000000000005,6.25,3.25208045281133,0,26.129999999999995
47,2,YIELD,-0.5199999999999934,54.8,24.492500000000003,6.225,2.9438619270779576,0,25.507499999999993
48,2,YIELD,-0.5299999999999865,54.8,25.112500000000004,6.199999999999999,2.904591508686235,0,24.887499999999996
49,2,YIELD,-0.5400000000000222,54.8,25.730000000000004,6.174999999999999,2.756117634675133,0,24.269999999999996
50,2,YIELD,-0.5500000000000154,54.8,26.345000000000002,6.149999999999999,2.7129743615079676,0,23.655
51,2,YIELD,-0.5599999999999659,54.8,26.957500000000003,6.124999999999998,2.5859318244354963,0,23.042499999999997
52,2,YIELD,-0.5700000000000447,54.8,27.5675,6.099999999999998,2.707676662234042,0,22.432499999999997
53,2,YIELD,-0.5799999999999739,54.8,28.175000000000004,6.0749999999999975,2.4998207971311937,0,21.825
54,2,YIELD,-0.5900000000000096,54.8,28.78,6.049999999999997,2.5356267125344956,0,21.22
55,2,YIELD,-0.6000000000000028,54.8,29.382499999999997,6.024999999999997,2.4376037728206867,0,20.6175
56,2,YIELD,-0.6099999999999959,54.8,29.9825,5.9999999999999964,2.3289557759758566,0,20.0175
57,2,YIELD,-0.6199999999999894,54.8,30.580000000000002,5.974999999999996,2.271840354803748,0,19.419999999999998
58,2,YIELD,-0.6300000000000039,54.8,31.175,5.949999999999996,2.130879526930292,0,18.825
59,2,YIELD,-0.639999999999997,54.8,31.767500000000002,5.924999999999995,1.957934921464486,0,18.232499999999998
60,2,YIELD,-0.6500000000000115,54.8,32.3575,5.899999999999995,1.9066787960576588,0,17.6425
61,2,YIELD,-0.6600000000000046,54.8,32.945,5.874999999999995,1.9788998059501877,0,17.055
62,2,YIELD,-0.6699999999999982,54.8,33.53,5.849999999999994,1.8671757336068713,0,16.47
63,2,YIELD,-0.6800000000000126,54.8,34.1125,5.824999999999994,1.854222453501194,0,15.887500000000003
64,2,YIELD,-0.6900000000000057,54.8,34.692499999999995,5.799999999999994,1.8254798858458217,0,15.307500000000005
65,2,YIELD,-0.6999999999999988,54.8,35.269999999999996,5.774999999999993,1.777364264409289,0,14.730000000000004
66,2,YIELD,-0.709999999999992,54.8,35.845,5.749999999999993,1.5547808903954563,0,14.155000000000001
67,2,YIELD,-0.7200000000000069,54.8,36.4175,5.7249999999999925,1.5579770380542561,0,13.582500000000003
68,2,YIELD,-0.73,54.8,36.9875,5.699999999999992,1.426077794236266,0,13.012500000000003
69,2,YIELD,-0.7399999999999931,54.8,37.555,5.674999999999992,1.4324602752191693,0,12.445
70,2,YIELD,-0.7500000000000075,54.8,38.12,5.6499999999999915,1.3418619935000224,0,11.880000000000003
71,2,YIELD,-0.7600000000000007,54.8,38.6825,5.624999999999991,1.268749517243569,0,11.317500000000003
72,2,YIELD,-0.7699999999999942,54.8,39.2425,5.599999999999991,1.234573541716253,0,10.7575
73,2,YIELD,-0.7800000000000087,54.8,39.8,5.57499999999999,1.0690017746844822,0,10.200000000000003
74,2,YIELD,-0.7900000000000018,54.8,40.355,5.54999999999999,0.978246369383186,0,9.645000000000003
75,2,YIELD,-0.7999999999999949,54.8,40.9075,5.52499999999999,1.0334438062785714,0,9.092500000000001
