iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,341.92415595054626,341.9181706905365,17.244361400604248,85.9009165763855,85.87008666992188,1.1243160497397184,-0.022967370226979256,0.9478752017021179,1.4890916347503662,0.0,0.0,0.19940821826457977,-36.495113372802734,500.0,8,0,0,8,0,0.260498046875,0.211669921875,0.224609375,0.18505859375,0.1181640625
2,8192,864.3999111652374,306.4525008201599,17.313007831573486,70.16552925109863,70.13447380065918,1.3506501466035843,-0.08892257511615753,1.2182024717330933,1.4582979679107666,0.0,0.0,0.22137024998664856,-59.710235595703125,500.0,8,0,0,8,0,0.246337890625,0.2138671875,0.234619140625,0.19873046875,0.1064453125
3,12288,1185.1899576187134,320.7899158000946,16.939699411392212,68.62277626991272,68.59572100639343,4.006667707115412,-0.013339962810277939,3.1262807846069336,1.3536326885223389,0.0,0.0,0.8937268853187561,1282.5909423828125,500.0,8,0,0,8,0,0.1640625,0.330810546875,0.217529296875,0.216796875,0.07080078125
4,16384,1512.6231336593628,327.4330072402954,17.40592122077942,79.66649603843689,79.63616299629211,61.78381305932999,-0.08405345678329468,56.644012451171875,1.2695319652557373,0.0,0.2676677703857422,4.956186294555664,2735.123291015625,464.125,8,3,0,5,0,0.099609375,0.4892578125,0.177001953125,0.203125,0.031005859375
5,20480,1837.3894002437592,324.7555160522461,17.50111413002014,80.48080945014954,80.44955539703369,194.57438756525517,0.14582322537899017,168.2548370361328,1.1949949264526367,0.0,0.2574217617511749,25.916305541992188,3488.2646484375,445.77777777777777,9,5,1,3,0,0.080810546875,0.5322265625,0.144775390625,0.213623046875,0.028564453125
6,24576,2156.180123567581,318.77287554740906,17.27992033958435,72.57868909835815,72.54662156105042,20.017807237803936,0.07417749613523483,17.778480529785156,1.1776585578918457,0.0,0.0,2.165149211883545,6926.3818359375,500.0,8,0,0,8,0,0.08154296875,0.50146484375,0.158935546875,0.211669921875,0.04638671875
7,28672,2486.153179883957,329.9729058742523,17.216572761535645,76.85721111297607,76.82766199111938,153.5517684854567,-0.006786029785871506,119.78407287597656,1.156628131866455,0.0,0.23725782334804535,33.53722381591797,5548.275390625,296.46153846153845,13,10,1,2,0,0.06640625,0.522216796875,0.13037109375,0.26318359375,0.017822265625
8,32768,2807.136315345764,320.9703040122986,17.804002046585083,76.25741791725159,76.22747325897217,72.91603979468346,-0.07080253958702087,57.13761520385742,1.2226526737213135,0.0,0.3558952212333679,15.493331909179688,4452.97802734375,384.2,10,7,0,3,0,0.06787109375,0.5048828125,0.099609375,0.2265625,0.10107421875
9,36864,3141.046890258789,333.8890106678009,17.65262746810913,75.22633528709412,75.19519305229187,211.92342527210712,0.06605903804302216,168.05368041992188,1.2270325422286987,0.0,0.18722310662269592,43.61646270751953,4496.455078125,326.0833333333333,12,10,1,1,0,0.065673828125,0.457763671875,0.114990234375,0.257568359375,0.10400390625
10,40960,3468.9880499839783,327.91432332992554,17.88524580001831,73.75219082832336,73.721932888031,227.77641893178225,-0.048105232417583466,171.11990356445312,1.2933447360992432,0.0,0.6461946964263916,56.05842590332031,3211.580810546875,311.1666666666667,12,10,1,1,0,0.062255859375,0.4599609375,0.10302734375,0.25439453125,0.120361328125
