step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,28.438884257051637,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,23.450754300514095,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.170277565971233,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.719574626758412,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.355173649984376,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.79279596860253,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.891417314384706,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.821223408859401,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.909397631042657,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,13.10785730933899,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.313397822145577,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.60788272453054,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,11.079414210592125,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.447289803143146,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.056519770321804,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,6.1775963852784965,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,6.0125568589665574,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,5.890943450373342,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,5.443840044597386,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,4.747073339766893,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,4.601934070305268,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,4.3794712266844735,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,4.172676118008522,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,4.109941349460846,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,3.88839765038535,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,3.963632273827474,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,3.6078287485055474,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,3.860212917224591,0,32.58
36,3,GO,2.949999999999985,54.8,18.160000000000004,7.400000000000004,3.7589583239316133,0,31.839999999999996
37,3,GO,3.0300000000000584,54.8,18.920000000000005,7.600000000000004,3.574740227297684,0,31.08
38,3,GO,3.110000000000004,54.8,19.700000000000006,7.800000000000004,3.4116245232497246,0,30.299999999999997
39,3,GO,3.1899999999999493,54.8,20.500000000000007,8.000000000000004,3.3196789111853655,0,29.499999999999993
40,3,GO,3.2700000000000227,54.8,21.320000000000007,8.200000000000003,3.44278361329502,0,28.679999999999993
41,4,ABORT,2.560000000000004,54.8,22.10000000000001,7.8000000000000025,3.5948713339908527,0,27.89999999999999
42,2,YIELD,3.0500000000000105,54.8,22.87750000000001,7.775000000000002,3.506430417179366,0,27.122499999999988
43,2,YIELD,3.0899999999999745,54.8,23.652500000000007,7.750000000000002,3.417741494484967,0,26.347499999999997
44,2,YIELD,3.080000000000024,54.8,24.425000000000008,7.725000000000001,3.3226562298818854,0,25.57499999999999
45,2,YIELD,3.0699999999999883,54.8,25.19500000000001,7.700000000000001,3.2396099688818207,0,24.804999999999993
46,2,YIELD,3.059999999999995,54.8,25.962500000000002,7.675000000000001,3.1501624560048915,0,24.037499999999994
47,2,YIELD,3.0500000000000016,54.8,26.72750000000001,7.65,3.0604571162801144,0,23.272499999999994
48,2,YIELD,0.04000000000000847,54.8,27.490000000000006,7.625,2.970491413706044,0,22.50999999999999
49,2,YIELD,0.02999999999999403,54.8,28.250000000000004,7.6,2.8802627789127926,0,21.749999999999993
50,2,YIELD,0.020000000000000906,54.8,29.007500000000007,7.574999999999999,2.7897686086114044,0,20.992499999999993
51,2,YIELD,0.01000000000000778,54.8,29.762500000000003,7.549999999999999,2.6990062650322835,0,20.237499999999994
52,2,YIELD,-7.105427357601002e-15,54.8,30.515000000000008,7.524999999999999,2.6079730753524153,0,19.484999999999992
53,2,YIELD,-0.010000000000000231,54.8,31.265000000000004,7.499999999999998,2.5166663311111566,0,18.734999999999992
54,2,YIELD,-0.019999999999993356,54.8,32.01250000000001,7.474999999999998,2.425083287614276,0,17.98749999999999
55,2,YIELD,-0.030000000000007798,54.8,32.75750000000001,7.4499999999999975,2.3332211633260185,0,17.242499999999993
56,2,YIELD,-0.040000000000000924,54.8,33.50000000000001,7.424999999999997,2.2410771392488704,0,16.499999999999993
57,2,YIELD,-0.04999999999999449,54.8,34.24000000000001,7.399999999999997,2.1486483582907625,0,15.759999999999991
58,2,YIELD,-0.060000000000008935,54.8,34.977500000000006,7.3749999999999964,2.0559319246194008,0,15.022499999999994
59,2,YIELD,-0.07000000000000206,54.8,35.712500000000006,7.349999999999996,1.962924903003416,0,14.287499999999994
60,2,YIELD,-0.07999999999999519,54.8,36.44500000000001,7.324999999999996,1.8696243181400258,0,13.554999999999993
61,2,YIELD,-0.09000000000000963,54.8,37.175000000000004,7.299999999999995,1.7760271539688846,0,12.824999999999996
62,2,YIELD,-0.1000000000000032,54.8,37.9025,7.274999999999995,1.6821303529717746,0,12.097499999999997
63,2,YIELD,-0.10999999999999632,54.8,38.627500000000005,7.249999999999995,1.58793081545782,0,11.372499999999995
64,2,YIELD,-0.12000000000001076,54.8,39.35,7.224999999999994,1.4934253988338568,0,10.649999999999999
65,2,YIELD,-0.1300000000000039,54.8,40.07,7.199999999999994,1.398610916859597,0,9.93
66,2,YIELD,-0.13999999999999702,54.8,40.7875,7.174999999999994,1.3034841388872302,0,9.212499999999999
67,2,YIELD,-0.1500000000000119,54.8,41.5025,7.149999999999993,1.2080417890850672,0,8.497500000000002
68,2,YIELD,-0.16000000000000503,54.8,42.214999999999996,7.124999999999993,1.1122805456448388,0,7.785000000000004
69,2,YIELD,-0.16999999999999815,54.8,42.925,7.0999999999999925,1.0161970399722509,0,7.075000000000003
70,2,YIELD,-0.1800000000000126,54.8,43.63249999999999,7.074999999999992,0.9197878558603775,0,6.367500000000007
71,2,YIELD,-0.19000000000000572,54.8,44.33749999999999,7.049999999999992,0.823049528645461,0,5.6625000000000085
72,2,YIELD,-0.1999999999999993,54.8,45.03999999999999,7.0249999999999915,0.7259785443446954,0,4.960000000000008
73,2,YIELD,-0.21000000000001373,54.8,45.73999999999999,6.999999999999991,0.6285713387755281,0,4.260000000000012
74,2,YIELD,-0.22000000000000686,54.8,46.437499999999986,6.974999999999991,0.5308242966560203,0,3.562500000000014
