step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,40.30860947661688,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,21.09751300971414,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,18.748463285418904,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,18.57222644968583,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,18.067203299001136,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,15.866379277838748,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,16.14627457881613,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,15.05941268162506,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,14.312185997644471,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,13.739956370332617,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,12.809823982855843,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.056776077584146,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.075756783170977,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.168039743892129,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.86042985704404,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.057502441955362,0,40.84
22,0,STOP,1.5999999999999763,54.8,9.575,4.150000000000001,10.665660108796377,0,40.425
23,3,GO,1.680000000000007,54.8,10.01,4.350000000000001,10.081490912500236,0,39.99
24,3,GO,1.8100000000000378,54.8,10.465,4.550000000000002,9.77537498363985,0,39.535
25,3,GO,1.8899999999999832,54.8,10.94,4.750000000000002,9.453033129356394,0,39.06
26,3,GO,1.970000000000014,54.8,11.435,4.950000000000002,8.049493323334692,0,38.565
27,3,GO,2.050000000000002,54.8,11.950000000000001,5.150000000000002,5.524205041435448,0,38.05
28,2,YIELD,1.9900000000000089,54.8,12.462500000000002,5.125000000000002,5.381184770322265,0,37.537499999999994
29,3,GO,2.0699999999999967,54.8,12.995000000000003,5.325000000000002,5.220141387517599,0,37.004999999999995
30,3,GO,2.2000000000000277,54.8,13.547500000000003,5.525000000000002,4.964654184934881,0,36.4525
31,3,GO,2.2799999999999727,54.8,14.120000000000005,5.725000000000002,4.36481637988584,0,35.879999999999995
32,3,GO,2.360000000000004,54.8,14.712500000000002,5.9250000000000025,4.315081411797693,0,35.287499999999994
33,4,ABORT,1.6499999999999848,54.8,15.265000000000002,5.525000000000002,4.339464640491558,0,34.735
34,3,GO,2.2300000000000155,54.8,15.837500000000002,5.725000000000002,4.49617066255886,0,34.162499999999994
35,0,STOP,2.129999999999956,54.8,16.385,5.475000000000002,4.250975640883011,0,33.614999999999995
36,1,CREEP,2.110000000000055,54.8,16.927500000000002,5.4250000000000025,4.336284333969787,0,33.0725
37,3,GO,2.1900000000000004,54.8,17.490000000000002,5.625000000000003,4.254107353525993,0,32.51
38,2,YIELD,2.1800000000000073,54.8,18.05,5.600000000000003,4.135003608956273,0,31.950000000000003
39,2,YIELD,2.2199999999999713,54.8,18.6075,5.575000000000003,4.3970056152105625,0,31.3925
40,3,GO,2.250000000000002,54.8,19.185000000000002,5.775000000000003,4.368651443273217,0,30.814999999999998
41,3,GO,2.37999999999999,54.8,19.782500000000002,5.975000000000003,3.9857596339998107,0,30.2175
42,3,GO,2.460000000000021,54.8,20.400000000000002,6.175000000000003,3.9274785814492716,0,29.599999999999994
43,3,GO,2.5399999999999663,54.8,21.0375,6.3750000000000036,3.87886997646143,0,28.9625
44,2,YIELD,2.4800000000000586,54.8,21.672500000000003,6.350000000000003,4.402766461639813,0,28.3275
45,4,ABORT,1.819999999999997,54.8,22.267500000000002,5.950000000000003,4.649315228169126,0,27.7325
46,3,GO,2.3999999999999853,54.8,22.882500000000004,6.150000000000003,4.4321131004694125,0,27.117499999999993
47,2,YIELD,2.389999999999992,54.8,23.495000000000005,6.1250000000000036,4.350203371395366,0,26.504999999999995
48,2,YIELD,2.429999999999999,54.8,24.105000000000004,6.100000000000003,4.268032087207852,0,25.894999999999996
49,3,GO,2.4600000000000293,54.8,24.735000000000003,6.300000000000003,4.032539042454118,0,25.265
50,2,YIELD,2.449999999999994,54.8,25.362500000000004,6.275000000000004,3.948604948429488,0,24.637499999999996
51,2,YIELD,2.49,54.8,25.9875,6.2500000000000036,3.864399381696097,0,24.012499999999996
52,0,STOP,2.3399999999999834,54.8,26.587500000000006,6.0000000000000036,3.9254160124306625,0,23.412499999999994
53,3,GO,2.420000000000014,54.8,27.207500000000007,6.200000000000004,3.6987897260016545,0,22.79249999999999
54,0,STOP,2.319999999999997,54.8,27.802500000000006,5.950000000000004,3.754201049714107,0,22.19749999999999
55,2,YIELD,2.310000000000004,54.8,28.395000000000007,5.925000000000004,3.670041574676525,0,21.604999999999993
56,2,YIELD,2.3499999999999894,54.8,28.985000000000007,5.900000000000004,3.5855926126114195,0,21.014999999999993
57,4,ABORT,1.6400000000000132,54.8,29.535000000000007,5.5000000000000036,3.746362955206733,0,20.464999999999993
58,0,STOP,2.0399999999999965,54.8,30.06000000000001,5.2500000000000036,3.824761176235964,0,19.93999999999999
59,2,YIELD,2.030000000000003,54.8,30.58250000000001,5.225000000000003,3.7430614845815318,0,19.41749999999999
60,4,ABORT,1.3700000000000054,54.8,31.065000000000012,4.825000000000003,3.9533670562969805,0,18.934999999999988
61,1,CREEP,1.8499999999999976,54.8,31.54250000000001,4.775000000000003,3.894763582248462,0,18.45749999999999
62,1,CREEP,1.8800000000000114,54.8,32.015000000000015,4.725000000000003,3.8359780241316317,0,17.984999999999985
63,1,CREEP,1.8600000000000039,54.8,32.482500000000016,4.675000000000003,3.7770045396781695,0,17.517499999999984
64,2,YIELD,1.8000000000000107,54.8,32.94750000000002,4.650000000000004,3.697311032836332,0,17.05249999999998
65,2,YIELD,1.839999999999996,54.8,33.41000000000002,4.6250000000000036,3.6172965151791274,0,16.589999999999982
66,2,YIELD,1.830000000000003,54.8,33.87000000000002,4.600000000000003,3.5369557528357025,0,16.12999999999998
67,1,CREEP,1.7599999999999951,54.8,34.32500000000002,4.550000000000003,3.4758234119069393,0,15.674999999999983
68,0,STOP,1.6599999999999995,54.8,34.75500000000002,4.300000000000003,3.577906144672987,0,15.244999999999983
69,2,YIELD,1.6500000000000064,54.8,35.18250000000002,4.275000000000004,3.4988295909170515,0,14.817499999999981
70,2,YIELD,1.689999999999992,54.8,35.607500000000016,4.2500000000000036,3.4194109601385954,0,14.392499999999984
71,2,YIELD,1.6799999999999986,54.8,36.030000000000015,4.225000000000003,3.3396441799658727,0,13.969999999999985
72,2,YIELD,1.6700000000000055,54.8,36.45000000000002,4.200000000000003,3.259523033446895,0,13.549999999999983
73,2,YIELD,1.6599999999999908,54.8,36.867500000000014,4.1750000000000025,3.179041154720681,0,13.132499999999986
74,1,CREEP,1.5900000000000045,54.8,37.280000000000015,4.125000000000003,3.117575001799999,0,12.719999999999985
