# scenario=1b, ego_maneuver=stem_right, seed=3535, episode_idx=79, terminal_step=459, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.469999999999971,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,40.127013363476024,1,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6299999999999898,31.03835500321356,1,none,0
8,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7100000000000204,27.251465032650206,1,none,0
9,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7899999999999658,24.88363436324126,1,none,0
10,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,22.739234620571025,1,none,0
11,54.8,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9500000000000273,20.359665050327248,1,none,0
12,54.8,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0299999999999727,19.02802950401315,1,none,0
13,54.8,6.1999999999999975,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,17.466990639818018,1,none,0
14,54.8,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1900000000000341,16.168744483880186,1,none,0
15,54.8,6.8199999999999985,0.0,3.2000000000000006,2.0000000000000018,3,1.2699999999999796,15.05431557352619,1,none,0
16,54.8,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3500000000000103,13.947570641217835,1,none,0
17,54.8,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.4299999999999984,12.982644315170756,1,none,0
18,54.8,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.510000000000029,12.325020346195709,1,none,0
19,54.8,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5899999999999745,11.458176342931326,1,none,0
20,54.8,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6700000000000053,10.829495935308168,1,none,0
21,54.8,9.1,0.0,3.800000000000001,-3.999999999999999,4,0.9599999999999864,11.858408360924521,1,none,0
22,54.8,9.5,0.0,4.000000000000001,1.9999999999999973,3,1.5400000000000171,11.208488238860188,1,none,0
23,54.8,9.92,0.0,4.200000000000001,2.0000000000000018,3,1.6700000000000053,10.493406907766737,2,none,0
24,54.8,10.36,0.0,4.400000000000001,2.0000000000000018,3,1.7499999999999933,9.96841910426879,2,none,0
25,54.8,10.82,0.0,4.600000000000001,2.0000000000000018,3,1.8299999999999814,9.382455577143077,2,none,0
26,54.8,11.3,0.0,4.800000000000002,2.0000000000000018,3,1.9100000000000548,8.803070546141125,2,none,0
27,54.8,11.755,0.0,4.550000000000002,-2.5,0,1.7599999999999525,9.18138545509152,2,none,0
28,54.8,12.185,0.0,4.300000000000002,-2.5,0,1.7100000000000206,9.801226602102055,2,none,0
29,54.8,12.635,0.0,4.500000000000002,2.0000000000000018,3,1.739999999999966,9.245410518625265,2,none,0
30,54.8,13.105000000000002,0.0,4.700000000000002,2.0000000000000018,3,1.8700000000000394,8.670037321257164,2,none,0
31,54.8,13.595000000000002,0.0,4.900000000000002,2.0000000000000018,3,1.9499999999999849,8.10233149879292,2,none,0
32,54.8,14.080000000000004,0.0,4.850000000000002,-0.4999999999999982,1,1.8800000000000412,8.139686922319537,2,none,0
33,54.8,14.585,0.0,5.0500000000000025,2.0000000000000018,3,1.9599999999999864,7.65736741348022,2,none,0
34,54.8,15.110000000000003,0.0,5.250000000000003,2.0000000000000018,3,2.090000000000017,7.214383017160026,2,none,0
35,54.8,15.655000000000003,0.0,5.450000000000003,2.0000000000000018,3,2.1699999999999626,6.818864674518691,2,none,0
36,54.8,16.220000000000002,0.0,5.650000000000003,2.0000000000000018,3,2.2499999999999933,6.425000417465999,2,none,0
37,54.8,16.782500000000002,0.0,5.6250000000000036,-0.24999999999999467,2,2.1900000000000004,6.42687283430948,2,none,0
38,54.8,17.320000000000004,0.0,5.3750000000000036,-2.5,0,2.090000000000026,6.687144498674413,2,none,0
39,54.8,17.877500000000005,0.0,5.575000000000004,2.0000000000000018,3,2.1699999999999715,6.3346205105718445,2,none,0
40,54.8,18.455000000000005,0.0,5.775000000000004,2.0000000000000018,3,2.3000000000000447,5.933709471770413,2,none,0
41,54.8,19.052500000000006,0.0,5.975000000000004,2.0000000000000018,3,2.37999999999999,5.569910865623569,2,none,0
42,54.8,19.625000000000007,0.0,5.725000000000004,-2.5,0,2.2299999999999733,5.7745630533160215,2,none,0
43,54.8,20.21750000000001,0.0,5.925000000000004,2.0000000000000018,3,2.310000000000004,5.43995875232455,2,none,0
44,54.8,20.83000000000001,0.0,6.125000000000004,2.0000000000000018,3,2.4400000000000346,5.138262769127876,2,none,0
45,54.8,21.44000000000001,0.0,6.100000000000005,-0.24999999999999467,2,2.379999999999999,5.126229203179455,2,none,0
46,54.8,22.070000000000007,0.0,6.300000000000005,2.0000000000000018,3,2.459999999999987,4.767567189359805,2,none,0
47,54.8,22.72000000000001,0.0,6.500000000000005,2.0000000000000018,3,2.5900000000000176,4.499017176101956,2,none,0
48,54.8,23.39000000000001,0.0,6.7000000000000055,2.0000000000000018,3,2.6700000000000057,4.216121064086852,2,none,0
49,54.8,24.05750000000001,0.0,6.675000000000006,-0.24999999999999467,2,2.60999999999997,4.151145865663569,2,none,0
50,54.8,24.720000000000013,0.0,6.625000000000006,-0.4999999999999982,1,2.5900000000000265,4.085353309187183,2,none,0
51,54.8,25.38000000000001,0.0,6.600000000000007,-0.24999999999999467,2,2.5800000000000334,4.063222382763192,2,none,0
52,54.8,26.03500000000001,0.0,6.550000000000007,-0.4999999999999982,1,2.560000000000004,3.978170543201079,2,none,0
53,54.8,26.71000000000001,0.0,6.750000000000007,2.0000000000000018,3,2.63999999999995,3.75627896342747,2,none,0
54,54.8,27.360000000000017,0.0,6.500000000000007,-2.5,0,2.540000000000018,3.8552884777569476,2,none,0
55,54.8,28.00500000000002,0.0,6.450000000000007,-0.4999999999999982,1,2.5200000000000102,3.7964257874871774,2,none,0
56,54.8,28.625000000000018,0.0,6.200000000000007,-2.5,0,2.4200000000000146,3.923347710952551,2,none,0
57,54.8,29.242500000000017,0.0,6.175000000000008,-0.24999999999999467,2,2.41,3.838024119315963,2,none,0
58,54.8,29.880000000000017,0.0,6.375000000000008,2.0000000000000018,3,2.4899999999999882,3.5534818068681107,2,none,0
59,54.8,30.492500000000017,0.0,6.125000000000008,-2.5,0,2.390000000000014,3.6789899826657377,2,none,0
60,54.8,31.102500000000013,0.0,6.1000000000000085,-0.24999999999999467,2,2.3799999999999994,3.651969946398784,2,none,0
61,54.8,31.687500000000018,0.0,5.8500000000000085,-2.5,0,2.280000000000004,3.782246703427577,2,none,0
62,54.8,32.29250000000002,0.0,6.050000000000009,2.0000000000000018,3,2.3599999999999914,3.5299688381922736,2,none,0
63,54.8,32.89500000000002,0.0,6.025000000000009,-0.24999999999999467,2,2.3499999999999988,3.4776765348066494,2,none,0
64,54.8,33.47250000000002,0.0,5.775000000000009,-2.5,0,2.2500000000000027,3.628578496122698,2,none,0
65,54.8,34.04750000000002,0.0,5.750000000000009,-0.25000000000000355,2,2.2400000000000095,3.5259923634484505,2,none,0
66,54.8,34.597500000000025,0.0,5.500000000000009,-2.5,0,2.140000000000014,3.713585597781758,2,none,0
67,54.8,35.122500000000024,0.0,5.250000000000009,-2.5,0,2.0899999999999967,3.885591321981518,2,none,0
68,54.8,35.645000000000024,0.0,5.2250000000000085,-0.25000000000000355,2,2.030000000000004,3.8602251821535956,2,none,0
69,54.8,36.14250000000003,0.0,4.9750000000000085,-2.5,0,1.9300000000000077,4.0760531455891105,2,none,0
70,54.8,36.635000000000026,0.0,4.925000000000009,-0.4999999999999982,1,1.91,4.063206731492645,2,none,0
71,54.8,37.12500000000003,0.0,4.900000000000009,-0.24999999999999467,2,1.9000000000000068,4.034067510580853,2,none,0
72,54.8,37.57500000000003,0.0,4.500000000000009,-4.0000000000000036,4,1.2400000000000093,4.481016850561292,2,none,0
