iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1328.941855430603,1322.558807849884,857.3232040405273,35.88795232772827,0.0,0.5439935103058815,0.012451030313968658,0.5315424799919128,1.480924129486084,0.0,0.0,0.0,-360.2889404296875,500.0,8,0,0,8,0,0.32958984375,0.145751953125,0.229736328125,0.14892578125,0.14599609375
2,8192,4207.0826716423035,1336.522469997406,884.3807029724121,35.563143253326416,0.0,1.404523592442274,-0.023304957896471024,1.4278285503387451,1.4727553129196167,0.0,0.0,0.0,104.86538696289062,500.0,8,0,0,8,0,0.255615234375,0.22802734375,0.20458984375,0.21337890625,0.098388671875
3,12288,5635.9835324287415,1428.900680065155,967.3320002555847,39.99196529388428,0.0,3.077593006193638,0.10288325697183609,2.9747097492218018,1.4223780632019043,0.0,0.0,0.0,1340.157958984375,500.0,8,0,0,8,0,0.22802734375,0.19921875,0.200927734375,0.292724609375,0.0791015625
4,16384,6992.081221580505,1356.0975408554077,894.1181201934814,41.457345962524414,0.0,64.11728900671005,-0.07112652063369751,64.18841552734375,1.4189698696136475,0.0,0.0,0.0,3239.5986328125,372.0,11,7,1,3,0,0.161865234375,0.211181640625,0.251220703125,0.3427734375,0.032958984375
5,20480,8418.05905866623,1425.9633100032806,950.4492809772491,39.33154845237732,0.0,91.33069093897939,-0.004430215805768967,91.33512115478516,1.4050086736679077,0.0,0.0,0.0,2981.068359375,326.4166666666667,12,10,0,2,0,0.14599609375,0.2294921875,0.25,0.326416015625,0.048095703125
6,24576,9791.663278102875,1373.5784001350403,919.680652141571,36.17510652542114,0.0,229.00990264117718,0.09582488238811493,228.91407775878906,1.3972513675689697,0.0,0.0,0.0,4073.02587890625,285.15384615384613,13,10,2,1,0,0.11279296875,0.26318359375,0.23486328125,0.338134765625,0.051025390625
7,28672,11112.58687877655,1320.9105005264282,877.2313423156738,38.9023551940918,0.0,462.1788885295391,-0.17560365796089172,462.3544921875,1.411453127861023,0.0,0.0,0.0,3083.7431640625,285.7692307692308,13,11,2,0,0,0.125732421875,0.240234375,0.212890625,0.34814453125,0.072998046875
8,32768,12487.273921489716,1374.6711468696594,924.369948387146,37.912182092666626,0.0,77.55322890728712,0.02391677349805832,77.52931213378906,1.4518561363220215,0.0,0.0,0.0,1041.8170166015625,284.0,14,13,0,1,0,0.1279296875,0.255615234375,0.218994140625,0.315673828125,0.081787109375
9,36864,13850.093664884567,1362.7950117588043,904.9503962993622,38.80176496505737,0.0,121.65943487733603,-0.11836663633584976,121.77780151367188,1.3796865940093994,0.0,0.0,0.0,3715.419921875,273.7857142857143,14,12,1,1,0,0.1337890625,0.22900390625,0.261474609375,0.312255859375,0.0634765625
10,40960,15206.301389217377,1356.1907992362976,911.0235543251038,38.91816568374634,0.0,154.43175433576107,0.0028602927923202515,154.42889404296875,1.4189603328704834,0.0,0.0,0.0,3758.131103515625,333.0,11,8,1,2,0,0.171630859375,0.250732421875,0.2255859375,0.2841796875,0.06787109375
11,45056,16602.647718429565,1396.3325090408325,940.467077255249,39.12178301811218,0.0,122.44974064826965,-0.17202448844909668,122.62176513671875,1.3810827732086182,0.0,0.0,0.0,3710.029052734375,310.46153846153845,13,11,1,1,0,0.14990234375,0.254150390625,0.2626953125,0.283447265625,0.0498046875
12,49152,18984.673037290573,1315.936467885971,892.3003058433533,38.81617474555969,0.0,116.4279358163476,0.11925051361322403,116.30868530273438,1.4026477336883545,0.0,0.0,0.0,2375.275390625,389.5,10,6,1,3,0,0.18994140625,0.271240234375,0.20068359375,0.2685546875,0.069580078125
13,53248,20308.850868463516,1324.166463136673,887.1978311538696,38.72060990333557,0.0,218.5219490788877,0.028357770293951035,218.49359130859375,1.4239039421081543,0.0,0.0,0.0,2922.46533203125,291.92857142857144,14,12,2,0,0,0.2060546875,0.19677734375,0.198974609375,0.32568359375,0.072509765625
14,57344,21624.9579706192,1316.0768864154816,879.6916830539703,39.493937492370605,0.0,186.04487001895905,0.07789003849029541,185.96697998046875,1.4273934364318848,0.0,0.0,0.0,5002.98095703125,361.54545454545456,11,6,3,2,0,0.189208984375,0.2490234375,0.203125,0.299072265625,0.0595703125
15,61440,22951.836819648743,1326.8602652549744,893.9040720462799,36.554508686065674,0.0,37.302649419754744,0.043959539383649826,37.258689880371094,1.4357824325561523,0.0,0.0,0.0,6636.7734375,473.0,8,2,0,6,0,0.18115234375,0.2666015625,0.185546875,0.276611328125,0.090087890625
16,65536,24297.644787549973,1345.8002378940582,915.4639027118683,34.233781576156616,0.0,82.46680644899607,-0.004232369363307953,82.47103881835938,1.3589470386505127,0.0,0.0,0.0,5882.970703125,386.5,10,5,1,4,0,0.18310546875,0.318115234375,0.1572265625,0.278076171875,0.0634765625
17,69632,25519.821558237076,1222.1624159812927,794.3301303386688,37.620482206344604,0.0,38.15133707388304,0.0032200084533542395,38.14811706542969,1.3572382926940918,0.0,0.0,0.0,6255.99169921875,367.8181818181818,11,6,1,4,0,0.15283203125,0.3330078125,0.1552734375,0.302490234375,0.056396484375
18,73728,26853.721806287766,1333.8856608867645,900.5728552341461,36.01968288421631,0.0,144.84424194693565,-0.1342584192752838,144.97850036621094,1.3940749168395996,0.0,0.0,0.0,4963.96533203125,419.6666666666667,9,2,3,4,0,0.165771484375,0.3408203125,0.155517578125,0.270263671875,0.067626953125
19,77824,28111.26170706749,1257.5356049537659,824.7385964393616,38.64535570144653,0.0,153.35704869031906,-0.04581385850906372,153.40286254882812,1.2672743797302246,0.0,0.0,0.0,10566.015625,396.7,10,3,5,2,0,0.144287109375,0.330322265625,0.12890625,0.33349609375,0.06298828125
20,81920,29415.668033838272,1304.3979423046112,878.8415868282318,37.58228302001953,0.0,138.9560326486826,0.0519951730966568,138.90403747558594,1.3965439796447754,0.0,0.0,0.0,5024.54150390625,404.8,10,5,2,3,0,0.169921875,0.364501953125,0.11669921875,0.27099609375,0.077880859375
21,86016,30760.30765247345,1344.6300973892212,914.1373908519745,32.45903491973877,0.0,138.20241407305002,-0.08866258710622787,138.29107666015625,1.3748154640197754,0.0,0.0,0.0,3179.132568359375,356.27272727272725,11,4,1,6,0,0.199951171875,0.32080078125,0.135498046875,0.271728515625,0.072021484375
22,90112,32634.266941308975,1311.372742652893,885.7913601398468,35.002731800079346,0.0,164.3802803605795,-0.09840311110019684,164.4786834716797,1.293548822402954,0.0,0.0,0.0,8003.2021484375,423.55555555555554,9,2,2,5,0,0.177978515625,0.36181640625,0.125732421875,0.2333984375,0.10107421875
23,94208,33970.85199594498,1336.5816943645477,909.5127787590027,37.99932909011841,0.0,21.927884079515934,-0.11809828132390976,22.045982360839844,1.3746228218078613,0.0,0.0,0.0,3013.568115234375,352.09090909090907,11,8,0,3,0,0.1669921875,0.364501953125,0.133544921875,0.226806640625,0.108154296875
24,98304,35305.4040286541,1334.5343227386475,909.2600929737091,37.34588599205017,0.0,42.70488754659891,0.12481705099344254,42.58007049560547,1.3943933248519897,0.0,0.0,0.0,3335.56005859375,390.0,10,7,0,3,0,0.167236328125,0.334716796875,0.138916015625,0.248291015625,0.11083984375
25,102400,36602.53685235977,1297.1185870170593,857.2963852882385,39.41624665260315,0.0,128.42740267515182,-0.10648709535598755,128.5338897705078,1.3681788444519043,0.0,0.0,0.0,4193.86962890625,336.0833333333333,12,9,2,1,0,0.18310546875,0.32080078125,0.1240234375,0.271484375,0.1005859375
26,106496,37888.099616765976,1285.5378341674805,868.288054227829,34.912182092666626,0.0,112.7101508397609,0.0019141454249620438,112.70823669433594,1.340980887413025,0.0,0.0,0.0,7311.36376953125,337.3636363636364,11,7,2,2,0,0.15673828125,0.310302734375,0.157470703125,0.25244140625,0.123046875
27,110592,39235.38557600975,1347.2669758796692,916.6246628761292,36.9827344417572,0.0,81.23416522145271,0.023517638444900513,81.21064758300781,1.4551398754119873,0.0,0.0,0.0,5620.42138671875,421.55555555555554,9,5,1,3,0,0.213623046875,0.287353515625,0.14697265625,0.2626953125,0.08935546875
28,114688,40561.15055179596,1325.73814535141,903.9631903171539,35.984758615493774,0.0,31.173627972602844,0.10048115253448486,31.07314682006836,1.4335319995880127,0.0,0.0,0.0,7590.5234375,425.3333333333333,9,2,1,6,0,0.198486328125,0.2705078125,0.136962890625,0.28271484375,0.111328125
29,118784,41882.61851811409,1321.4546642303467,901.8943185806274,36.37434267997742,0.0,45.26061514019966,-0.06001397967338562,45.32062911987305,1.3725675344467163,0.0,0.0,0.0,8455.6982421875,482.25,8,0,2,6,0,0.227783203125,0.244873046875,0.16015625,0.27099609375,0.09619140625
30,122880,43214.262348890305,1331.6436882019043,910.083972454071,34.51869583129883,0.0,19.90378473699093,0.07625292241573334,19.827531814575195,1.379281759262085,0.0,0.0,0.0,4214.82568359375,382.8,10,3,0,7,0,0.241943359375,0.257080078125,0.147705078125,0.260009765625,0.09326171875
