step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,32.08643272576269,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,24.704575213202418,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,22.108007566173438,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,20.70987705342898,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,19.32264483095101,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,17.50366189854987,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.6815162569436,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.51199605384222,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.542962386329073,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.703913789887597,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.834702548830021,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.074432976715343,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,11.567991103148925,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,10.86787383613877,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,10.35663778293287,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,9.75717915631578,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,9.328418652749832,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,8.85838395539686,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,8.464707140342735,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,8.089386825113793,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,7.70928091471099,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,7.361743073418841,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,6.313332281111292,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,4.55749601935801,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,4.430706624414226,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,4.230396970113838,0,34.68
33,0,STOP,2.4800000000000586,54.8,15.955000000000002,6.350000000000003,3.897525502244258,0,34.045
34,0,STOP,2.429999999999956,54.8,16.565,6.100000000000003,4.01525228530457,0,33.435
35,0,STOP,2.330000000000024,54.8,17.150000000000002,5.850000000000003,3.9694356683239835,0,32.849999999999994
36,0,STOP,2.230000000000007,54.8,17.71,5.600000000000003,4.309910725662267,0,32.29
37,0,STOP,2.12999999999999,54.8,18.245,5.350000000000003,4.062649854421458,0,31.754999999999995
38,0,STOP,2.029999999999973,54.8,18.755000000000003,5.100000000000003,4.241430607441526,0,31.244999999999997
39,0,STOP,1.9300000000000412,54.8,19.240000000000002,4.850000000000003,4.396908172830713,0,30.759999999999998
40,3,GO,1.9599999999999864,54.8,19.745,5.050000000000003,4.160934337492689,0,30.254999999999995
41,3,GO,2.0900000000000176,54.8,20.270000000000003,5.2500000000000036,3.9655933366998886,0,29.729999999999997
42,3,GO,2.1699999999999626,54.8,20.815000000000005,5.450000000000004,3.9207190192377537,0,29.184999999999995
43,3,GO,2.2500000000000364,54.8,21.380000000000006,5.650000000000004,3.868415045463749,0,28.61999999999999
44,0,STOP,2.100000000000019,54.8,21.920000000000005,5.400000000000004,4.013175266107386,0,28.08
45,0,STOP,2.0499999999999594,54.8,22.435000000000006,5.150000000000004,4.219799330526364,0,27.564999999999998
46,0,STOP,1.9500000000000277,54.8,22.925000000000008,4.900000000000004,4.134377392010104,0,27.07499999999999
47,0,STOP,1.8500000000000107,54.8,23.390000000000008,4.650000000000004,5.298696477639295,0,26.609999999999992
48,3,GO,1.8799999999999562,54.8,23.875000000000007,4.850000000000004,5.4154628009355,0,26.124999999999993
49,3,GO,2.0100000000000295,54.8,24.380000000000006,5.050000000000004,5.100989088913048,0,25.61999999999999
50,3,GO,2.089999999999975,54.8,24.90500000000001,5.250000000000004,4.806665751111281,0,25.09499999999999
51,3,GO,2.1700000000000483,54.8,25.45000000000001,5.450000000000005,4.530274398114785,0,24.54999999999999
52,3,GO,2.249999999999994,54.8,26.01500000000001,5.650000000000005,4.269910748688359,0,23.984999999999985
53,3,GO,2.3300000000000245,54.8,26.600000000000016,5.850000000000005,4.023930936080177,0,23.39999999999999
54,3,GO,2.40999999999997,54.8,27.205000000000013,6.050000000000005,3.7909084643126465,0,22.794999999999987
55,3,GO,2.4900000000000007,54.8,27.830000000000016,6.250000000000005,3.569599428864087,0,22.169999999999987
56,3,GO,2.57000000000001,54.8,28.475000000000012,6.4500000000000055,3.358914207920274,0,21.524999999999988
57,3,GO,2.649999999999998,54.8,29.14000000000001,6.650000000000006,3.1578942619707844,0,20.85999999999999
58,3,GO,-0.26999999999999247,54.8,29.825000000000014,6.850000000000006,2.965692997709048,0,20.174999999999986
59,3,GO,-0.1900000000000044,54.8,30.530000000000015,7.050000000000006,2.781559889140438,0,19.469999999999985
60,3,GO,-0.10999999999999499,54.8,31.25500000000002,7.250000000000006,2.604827226920378,0,18.744999999999983
61,3,GO,-0.03000000000000691,54.8,32.000000000000014,7.450000000000006,2.434899002026976,0,17.999999999999986
62,3,GO,0.05000000000000249,54.8,32.765000000000015,7.650000000000007,2.271241533171038,0,17.234999999999985
63,3,GO,0.13000000000001188,54.8,33.55000000000002,7.850000000000007,2.113375526958528,0,16.44999999999998
64,3,GO,0.20999999999999996,54.8,34.35500000000002,8.050000000000006,1.960869321631137,0,15.644999999999982
65,3,GO,0.2900000000000089,54.8,35.18000000000002,8.250000000000005,1.8133331135353772,0,14.819999999999979
66,3,GO,0.369999999999997,54.8,36.02500000000002,8.450000000000005,1.6704140035012986,0,13.97499999999998
67,3,GO,0.4500000000000064,54.8,36.89000000000002,8.650000000000004,1.5317917304286992,0,13.109999999999978
68,3,GO,0.5299999999999945,54.8,37.77500000000002,8.850000000000003,1.3971749833700564,0,12.22499999999998
69,3,GO,0.6100000000000039,54.8,38.68000000000002,9.050000000000002,1.266298202618981,0,11.319999999999979
70,3,GO,0.6899999999999915,54.8,39.60500000000002,9.250000000000002,1.138918795792561,0,10.394999999999982
71,3,GO,0.7700000000000009,54.8,40.55000000000002,9.450000000000001,1.0148147074270137,0,9.449999999999982
72,3,GO,0.8500000000000103,54.8,41.51500000000002,9.65,0.893782290799761,0,8.484999999999978
73,3,GO,0.9299999999999984,54.8,42.50000000000002,9.85,0.7756344390218829,0,7.499999999999979
74,3,GO,1.0100000000000078,54.8,43.505000000000024,10.049999999999999,0.660198939283686,0,6.494999999999976
75,3,GO,1.0899999999999956,54.8,44.53000000000002,10.249999999999998,0.5473170197739479,0,5.4699999999999775
76,3,GO,1.1700000000000048,54.8,45.575000000000024,10.449999999999998,0.4368420634600882,0,4.424999999999976
