step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,37.135322377109055,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,27.286858278029815,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,24.208337875569534,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,22.647312013884818,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,21.075991245786398,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,18.955607472757343,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,18.063939070680416,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,16.736787149275695,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,15.650708409831791,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,14.717998002073118,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,13.747168476787376,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,12.904964070989017,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,12.359852735497945,0,42.1
19,0,STOP,1.3599999999999695,54.8,8.254999999999999,3.550000000000001,12.93802561288694,0,41.745000000000005
20,3,GO,1.4400000000000002,54.8,8.629999999999999,3.7500000000000013,12.285744018388606,0,41.370000000000005
21,3,GO,1.570000000000031,54.8,9.024999999999999,3.9500000000000015,11.490117425269357,0,40.975
22,3,GO,1.6499999999999764,54.8,9.44,4.150000000000001,10.728180373359965,0,40.56
23,3,GO,1.730000000000007,54.8,9.875,4.350000000000001,9.513325165034644,0,40.125
24,3,GO,1.8099999999999952,54.8,10.33,4.550000000000002,8.991095821498208,0,39.67
25,3,GO,1.8900000000000259,54.8,10.805,4.750000000000002,8.422795931142042,0,39.195
26,0,STOP,1.739999999999966,54.8,11.254999999999999,4.500000000000002,8.810081332260559,0,38.745000000000005
27,3,GO,1.8199999999999967,54.8,11.725,4.700000000000002,8.313921262582369,0,38.275
28,1,CREEP,1.8000000000000105,54.8,12.19,4.650000000000002,8.29265455963779,0,37.81
29,3,GO,1.8799999999999986,54.8,12.674999999999999,4.850000000000002,7.803689445225915,0,37.325
30,3,GO,2.010000000000029,54.8,13.18,5.0500000000000025,7.404381739549648,0,36.82
31,3,GO,2.0899999999999745,54.8,13.705000000000002,5.250000000000003,6.970939326257842,0,36.295
32,3,GO,2.1700000000000053,54.8,14.25,5.450000000000003,6.681756399236267,0,35.75
33,0,STOP,2.020000000000031,54.8,14.770000000000001,5.200000000000003,6.8553843502081255,0,35.230000000000004
34,3,GO,2.0999999999999766,54.8,15.31,5.400000000000003,6.5136155599965955,0,34.69
35,1,CREEP,2.0799999999999903,54.8,15.845,5.350000000000003,6.509560222613046,0,34.155
36,3,GO,2.160000000000021,54.8,16.400000000000002,5.550000000000003,6.133722022011514,0,33.599999999999994
37,3,GO,2.2899999999999663,54.8,16.975,5.7500000000000036,5.78876227333388,0,33.025
38,0,STOP,2.1400000000000348,54.8,17.525000000000002,5.5000000000000036,6.022843857935982,0,32.474999999999994
39,3,GO,2.21999999999998,54.8,18.095000000000002,5.700000000000004,5.62301072267959,0,31.905
40,4,ABORT,1.5600000000000038,54.8,18.625000000000004,5.300000000000004,6.037893816096101,0,31.375
41,3,GO,2.1400000000000348,54.8,19.175000000000004,5.500000000000004,5.72910136417912,0,30.824999999999996
42,3,GO,2.26999999999998,54.8,19.745000000000005,5.700000000000005,5.370770309247708,0,30.254999999999995
43,3,GO,2.3500000000000107,54.8,20.335000000000004,5.900000000000005,5.005706064313911,0,29.664999999999992
44,3,GO,2.429999999999999,54.8,20.945000000000004,6.100000000000005,4.766458619018012,0,29.054999999999993
45,1,CREEP,2.3600000000000128,54.8,21.550000000000004,6.050000000000005,4.668918173542281,0,28.449999999999996
46,0,STOP,2.2599999999999953,54.8,22.130000000000006,5.800000000000005,4.8922545712521766,0,27.86999999999999
47,2,YIELD,2.2500000000000027,54.8,22.707500000000007,5.775000000000006,4.7564723059116725,0,27.29249999999999
48,4,ABORT,1.5899999999999834,54.8,23.245000000000008,5.375000000000005,5.100125521202281,0,26.754999999999995
49,0,STOP,1.9900000000000089,54.8,23.757500000000007,5.125000000000005,5.254826469735188,0,26.242499999999993
50,0,STOP,1.939999999999992,54.8,24.245000000000008,4.875000000000005,5.466117752439964,0,25.754999999999995
51,1,CREEP,1.8700000000000483,54.8,24.72750000000001,4.8250000000000055,5.468895252684457,0,25.272499999999994
52,4,ABORT,1.2099999999999869,54.8,25.17000000000001,4.425000000000006,5.946808579057827,0,24.82999999999999
53,0,STOP,1.60999999999997,54.8,25.587500000000006,4.175000000000006,6.305529173583606,0,24.412499999999994
54,3,GO,1.6900000000000006,54.8,26.02500000000001,4.375000000000006,5.864012013822649,0,23.974999999999994
55,1,CREEP,1.6700000000000144,54.8,26.457500000000014,4.325000000000006,5.908090655903068,0,23.54249999999999
56,3,GO,1.7500000000000024,54.8,26.91000000000001,4.525000000000007,5.447964006367596,0,23.08999999999999
57,0,STOP,1.6499999999999853,54.8,27.33750000000001,4.275000000000007,5.816130242879074,0,22.662499999999987
58,0,STOP,1.600000000000011,54.8,27.74000000000001,4.025000000000007,6.064875516351633,0,22.25999999999999
59,0,STOP,1.500000000000015,54.8,28.11750000000001,3.7750000000000066,6.547495400897576,0,21.882499999999986
60,0,STOP,1.3999999999999981,54.8,28.470000000000013,3.5250000000000066,7.022751403236306,0,21.529999999999987
61,3,GO,1.4300000000000075,54.8,28.842500000000015,3.7250000000000068,6.4002581590034975,0,21.157499999999985
62,3,GO,1.560000000000017,54.8,29.23500000000002,3.925000000000007,5.917447638523159,0,20.764999999999983
63,1,CREEP,1.489999999999988,54.8,29.622500000000016,3.875000000000007,5.9355245390600615,0,20.377499999999984
64,0,STOP,1.3900000000000134,54.8,29.985000000000017,3.625000000000007,6.30192997518538,0,20.014999999999983
65,2,YIELD,1.379999999999999,54.8,30.345000000000017,3.600000000000007,6.270475221940573,0,19.654999999999983
66,0,STOP,1.2800000000000031,54.8,30.680000000000017,3.350000000000007,6.705801632647128,0,19.319999999999983
67,1,CREEP,1.2599999999999956,54.8,31.010000000000023,3.300000000000007,6.841054314042935,0,18.98999999999998
68,4,ABORT,0.5999999999999981,54.8,31.30000000000002,2.900000000000007,7.803076381984385,0,18.69999999999998
69,3,GO,1.1800000000000075,54.8,31.61000000000002,3.100000000000007,7.088215174850196,0,18.38999999999998
70,4,ABORT,0.52000000000001,54.8,31.88000000000002,2.7000000000000073,8.247034953465697,0,18.11999999999998
71,0,STOP,0.919999999999993,54.8,32.12500000000002,2.4500000000000073,9.188673309097165,0,17.87499999999998
72,3,GO,1.0000000000000024,54.8,32.39000000000002,2.6500000000000075,8.224362266391772,0,17.609999999999978
73,3,GO,1.1300000000000119,54.8,32.675000000000026,2.8500000000000076,7.6122210503966,0,17.324999999999974
74,2,YIELD,1.0699999999999974,54.8,32.957500000000024,2.8250000000000077,7.64192676709032,0,17.042499999999976
75,0,STOP,0.9700000000000015,54.8,33.215000000000025,2.5750000000000077,8.452840712828849,0,16.784999999999975
