iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,409.0522689819336,409.04730677604675,17.318514108657837,36.21845364570618,0.0,1.8107489868998528,-0.015514202415943146,1.826263189315796,1.5036040544509888,0.0,0.0,0.0,-837.0603637695312,500.0,8,0,0,8,0,0.146484375,0.229248046875,0.129150390625,0.1923828125,0.302734375
2,8192,941.6200678348541,406.9668176174164,17.71069049835205,31.715465545654297,0.0,40.0288570523262,-0.1462375521659851,40.17509460449219,1.4650757312774658,0.0,0.0,0.0,-1249.6334228515625,459.0,8,3,0,5,0,0.11962890625,0.20947265625,0.13818359375,0.295654296875,0.237060546875
3,12288,1348.0034906864166,406.3731896877289,17.596641063690186,35.35383939743042,0.0,60.821164324879646,0.0385715514421463,60.7825927734375,1.4121522903442383,0.0,0.0,0.0,-250.21017456054688,430.55555555555554,9,4,0,5,0,0.114990234375,0.202880859375,0.166259765625,0.333740234375,0.18212890625
4,16384,1763.719413280487,415.7081837654114,17.67044234275818,36.23542070388794,0.0,264.79528883099556,-0.07235643267631531,264.8676452636719,1.3870763778686523,0.0,0.0,0.0,933.92041015625,395.2,10,7,2,1,0,0.068115234375,0.188720703125,0.166748046875,0.392578125,0.183837890625
5,20480,2183.0850677490234,419.3515622615814,17.988171339035034,37.14122200012207,0.0,114.22842325270176,-0.11303792893886566,114.34146118164062,1.379393219947815,0.0,0.0,0.0,861.8489990234375,309.9230769230769,13,12,0,1,0,0.08203125,0.1748046875,0.206787109375,0.3857421875,0.150634765625
6,24576,2611.037948846817,427.92183470726013,17.822158098220825,34.452338457107544,0.0,153.72655257955194,-0.006098177284002304,153.73265075683594,1.3895537853240967,0.0,0.0,0.0,1608.5999755859375,213.1578947368421,19,17,2,0,0,0.05908203125,0.19970703125,0.2333984375,0.396728515625,0.111083984375
7,28672,3013.7154307365417,402.65876841545105,17.850489377975464,31.125680446624756,0.0,93.27131150849164,0.018160568550229073,93.2531509399414,1.422048568725586,0.0,0.0,0.0,535.8665161132812,245.6875,16,14,1,1,0,0.06787109375,0.20361328125,0.2265625,0.388916015625,0.113037109375
8,32768,3432.8226342201233,419.089478969574,17.851755619049072,33.50712513923645,0.0,92.97407829016447,-0.03905952721834183,93.01313781738281,1.3828721046447754,0.0,0.0,0.0,919.6478271484375,213.05263157894737,19,19,0,0,0,0.07275390625,0.21337890625,0.207763671875,0.40771484375,0.098388671875
9,36864,3852.83869600296,419.979309797287,18.141690492630005,34.28358793258667,0.0,110.36096861958504,-0.16385743021965027,110.52482604980469,1.4099273681640625,0.0,0.0,0.0,-308.6796875,269.4,15,13,0,2,0,0.07421875,0.191162109375,0.182861328125,0.38916015625,0.16259765625
10,40960,4273.835294961929,420.9690611362457,18.032958269119263,34.34501004219055,0.0,56.83431635051966,0.016254521906375885,56.81806182861328,1.3885586261749268,0.0,0.0,0.0,791.4057006835938,274.7142857142857,14,13,0,1,0,0.062744140625,0.226318359375,0.154541015625,0.37353515625,0.182861328125
11,45056,4684.883516550064,411.01791071891785,17.70369577407837,34.998342752456665,0.0,68.34068251401186,-0.028099529445171356,68.36878204345703,1.3632866144180298,0.0,0.0,0.0,-65.13146209716797,272.1333333333333,15,14,0,1,0,0.080078125,0.194091796875,0.14306640625,0.371337890625,0.21142578125
12,49152,5378.69300866127,413.71148014068604,18.36003303527832,30.585028171539307,0.0,42.079933136701584,-0.06670764088630676,42.14664077758789,1.4070597887039185,0.0,0.0,0.0,100.10166931152344,309.61538461538464,13,12,0,1,0,0.086669921875,0.183349609375,0.140625,0.37060546875,0.21875
13,53248,5788.323835134506,409.59851145744324,18.394543886184692,34.10893392562866,0.0,44.790878251194954,0.12410731613636017,44.666770935058594,1.409640908241272,0.0,0.0,0.0,128.5128631591797,337.9166666666667,12,11,1,0,0,0.08984375,0.199462890625,0.151611328125,0.32568359375,0.2333984375
14,57344,6200.307155370712,411.96167397499084,18.418408632278442,34.51237940788269,0.0,118.48137162998319,0.030100572854280472,118.4512710571289,1.4684932231903076,0.0,0.0,0.0,327.1350402832031,405.44444444444446,9,6,1,2,0,0.108154296875,0.231201171875,0.17138671875,0.302734375,0.1865234375
15,61440,6591.587522745132,391.2594082355499,18.46931290626526,28.503812313079834,0.0,57.942896984517574,0.07802500575780869,57.864871978759766,1.4214421510696411,0.0,0.0,0.0,3027.280517578125,317.75,12,10,0,2,0,0.103759765625,0.279052734375,0.16357421875,0.316162109375,0.137451171875
16,65536,6990.6828825473785,399.06966638565063,18.055280685424805,34.29688501358032,0.0,17.228189423680305,0.12784381210803986,17.100345611572266,1.458594799041748,0.0,0.0,0.0,2448.425537109375,386.5,10,6,0,4,0,0.124267578125,0.215576171875,0.191162109375,0.3037109375,0.165283203125
