# scenario=1b, ego_maneuver=stem_right, seed=3126, episode_idx=84, terminal_step=97, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.469999999999971,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6299999999999898,10.0,0,none,0
8,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7100000000000204,28.620809932410957,1,none,0
9,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7899999999999658,22.839404839765017,1,none,0
10,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,20.59871129453454,1,none,0
11,54.8,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9500000000000273,19.32899347171427,1,none,0
12,54.8,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0299999999999727,18.081578957772248,1,none,0
13,54.8,6.1999999999999975,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,16.483940957364062,1,none,0
14,54.8,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1900000000000341,15.716414600561947,1,none,0
15,54.8,6.8199999999999985,0.0,3.2000000000000006,2.0000000000000018,3,1.2699999999999796,14.663839639774695,1,none,0
16,54.8,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3500000000000103,13.782026410640972,1,none,0
17,54.8,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.4299999999999984,13.012869968751057,1,none,0
18,54.8,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.510000000000029,12.219100364877368,1,none,0
19,54.8,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5899999999999745,11.519728060818037,1,none,0
20,54.8,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6700000000000053,11.042373334284648,1,none,0
21,54.8,9.159999999999998,0.0,4.400000000000001,2.0000000000000018,3,1.7499999999999933,10.397172513251672,1,none,0
22,54.8,9.62,0.0,4.600000000000001,2.0000000000000018,3,1.830000000000024,9.91809557165475,1,none,0
23,54.8,10.1,0.0,4.800000000000002,2.0000000000000018,3,1.9099999999999695,9.361636624051183,1,none,0
24,54.8,10.6,0.0,5.000000000000002,2.0000000000000018,3,1.9900000000000002,8.956794740927124,1,none,0
25,54.8,11.12,0.0,5.200000000000002,2.0000000000000018,3,2.070000000000031,8.51581202269601,1,none,0
26,54.8,11.66,0.0,5.400000000000002,2.0000000000000018,3,2.1499999999999764,8.143444537309634,1,none,0
27,54.8,12.22,0.0,5.600000000000002,2.0000000000000018,3,2.230000000000007,6.974998754464516,2,none,0
28,54.8,12.800000000000002,0.0,5.8000000000000025,2.0000000000000018,3,2.310000000000038,5.220190652238499,2,none,0
29,54.8,13.377500000000001,0.0,5.775000000000002,-0.25000000000000355,2,2.2499999999999596,5.003849297591202,2,none,0
30,54.8,13.930000000000001,0.0,5.525000000000002,-2.5,0,2.150000000000028,4.8273177742511715,2,none,0
31,54.8,14.502500000000001,0.0,5.725000000000002,2.0000000000000018,3,2.229999999999973,4.997925439485457,2,none,0
32,54.8,15.049999999999999,0.0,5.475000000000002,-2.5,0,2.130000000000041,4.746208310433042,2,none,0
33,54.8,15.572500000000002,0.0,5.225000000000002,-2.5,0,2.079999999999939,4.682476048102295,2,none,0
34,54.8,16.115000000000002,0.0,5.4250000000000025,2.0000000000000018,3,2.110000000000055,4.275611928188038,2,none,0
35,54.8,16.655,0.0,5.400000000000002,-0.25000000000000355,2,2.0999999999999766,4.326747546347791,2,none,0
36,54.8,17.215,0.0,5.600000000000002,2.0000000000000018,3,2.1800000000000073,4.106149162573786,2,none,0
37,54.8,17.75,0.0,5.350000000000002,-2.5,0,2.0799999999999903,4.103669133234686,2,none,0
38,54.8,18.26,0.0,5.100000000000002,-2.5,0,2.0300000000000153,4.170163494827404,2,none,0
39,54.8,18.790000000000003,0.0,5.3000000000000025,2.0000000000000018,3,2.060000000000004,3.954657747579087,2,none,0
40,54.8,19.295,0.0,5.0500000000000025,-2.5,0,1.9599999999999864,4.239803938554399,2,none,0
41,54.8,19.795,0.0,5.000000000000003,-0.4999999999999982,1,1.9400000000000002,4.544424052523219,2,none,0
42,54.8,20.315,0.0,5.200000000000003,2.0000000000000018,3,2.0199999999999885,4.511920708225598,2,none,0
43,54.8,20.830000000000002,0.0,5.150000000000003,-0.4999999999999982,1,2.000000000000045,4.261844934750016,2,none,0
44,54.8,21.320000000000004,0.0,4.900000000000003,-2.5,0,1.899999999999985,4.154916251231886,2,none,0
45,54.8,21.770000000000003,0.0,4.5000000000000036,-3.9999999999999947,4,1.2400000000000089,5.946339961782462,2,none,0
46,54.8,22.195000000000004,0.0,4.2500000000000036,-2.5,0,1.639999999999992,6.573470541961644,2,none,0
47,54.8,22.640000000000004,0.0,4.450000000000004,2.0000000000000018,3,1.7200000000000226,6.179773892185638,2,none,0
48,54.8,23.060000000000006,0.0,4.200000000000004,-2.5,0,1.6199999999999628,6.447617512472016,2,none,0
49,54.8,23.500000000000007,0.0,4.400000000000004,2.0000000000000018,3,1.6999999999999935,6.054544078512705,2,none,0
50,54.8,23.937500000000007,0.0,4.3750000000000036,-0.25000000000000355,2,1.6900000000000004,5.9891414881962275,2,none,0
51,54.8,24.395000000000007,0.0,4.575000000000004,2.0000000000000018,3,1.770000000000031,5.623853775815294,2,none,0
52,54.8,24.872500000000006,0.0,4.775000000000004,2.0000000000000018,3,1.8999999999999766,5.291621928456136,2,none,0
53,54.8,25.370000000000005,0.0,4.975000000000004,2.0000000000000018,3,1.9800000000000073,4.977253892780022,2,none,0
54,54.8,25.8625,0.0,4.925000000000004,-0.4999999999999982,1,1.9100000000000208,4.92944062346383,2,none,0
55,54.8,26.375,0.0,5.125000000000004,2.0000000000000018,3,1.9899999999999662,4.637072265937117,2,none,0
56,54.8,26.862500000000008,0.0,4.875000000000004,-2.5,0,1.8900000000000345,4.77487081541111,2,none,0
57,54.8,27.34500000000001,0.0,4.825000000000005,-0.4999999999999982,1,1.869999999999963,4.724351352466036,2,none,0
58,54.8,27.847500000000004,0.0,5.025000000000005,2.0000000000000018,3,1.9500000000000364,4.436317525110937,2,none,0
59,54.8,28.370000000000008,0.0,5.225000000000005,2.0000000000000018,3,2.080000000000003,4.166506379616,2,none,0
60,54.8,28.91250000000001,0.0,5.425000000000005,2.0000000000000018,3,2.1599999999999913,3.9129025045340966,2,none,0
61,54.8,29.47500000000001,0.0,5.625000000000005,2.0000000000000018,3,2.2400000000000007,3.6730546576637777,2,none,0
62,54.8,30.05750000000001,0.0,5.8250000000000055,2.0000000000000018,3,2.32000000000001,3.447638893109199,2,none,0
63,54.8,30.61500000000001,0.0,5.5750000000000055,-2.5,0,2.169999999999993,3.5022415242616063,2,none,0
64,54.8,31.192500000000006,0.0,5.775000000000006,2.0000000000000018,3,2.2500000000000027,3.280951812822194,2,none,0
65,54.8,31.74500000000001,0.0,5.525000000000006,-2.5,0,2.1500000000000066,3.329411162097523,2,none,0
66,54.8,32.31750000000001,0.0,5.725000000000006,2.0000000000000018,3,2.2299999999999947,3.1130998929083122,2,none,0
67,54.8,32.86500000000001,0.0,5.475000000000006,-2.5,0,2.129999999999999,3.1552505652510345,2,none,0
68,54.8,33.43250000000001,0.0,5.675000000000006,2.0000000000000018,3,-0.7899999999999918,2.944052344660376,2,none,0
69,54.8,33.975000000000016,0.0,5.425000000000006,-2.5,0,-0.8899999999999875,2.979722953046456,2,none,0
70,54.8,34.537500000000016,0.0,5.625000000000006,2.0000000000000018,3,-0.8099999999999994,2.7737772846618123,2,none,0
71,54.8,35.12000000000002,0.0,5.825000000000006,2.0000000000000018,3,-0.67999999999999,2.578540329864316,2,none,0
72,54.8,35.677500000000016,0.0,5.575000000000006,-2.5,0,-0.830000000000007,2.594169938265478,2,none,0
