iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,1536.570344209671,1531.3451628684998,893.2681760787964,226.03577494621277,226.00557661056519,4.001135677099228,0.07044363021850586,0.7729217410087585,1.5458037853240967,0.0,3.0949597358703613,0.06281057000160217,-671.37939453125,500.0,8,0,0,8,0,0.15966796875,0.26611328125,0.21435546875,0.146240234375,0.213623046875
2,8192,4518.770559549332,1580.0805468559265,939.076988697052,226.6002414226532,226.56722974777222,3.3979608304798603,0.004994537681341171,0.6378259658813477,1.5219581127166748,0.0,2.6838574409484863,0.07128288596868515,-824.5120849609375,500.0,8,0,0,8,0,0.1962890625,0.25,0.21337890625,0.185791015625,0.154541015625
3,12288,6011.960336923599,1493.1896042823792,839.1322293281555,240.74659657478333,240.71634101867676,6.161073353141546,-0.005375515669584274,3.710991144180298,1.4758394956588745,0.0,2.3336305618286133,0.12182716280221939,-223.34393310546875,500.0,8,0,0,8,0,0.193115234375,0.2978515625,0.20556640625,0.195556640625,0.10791015625
4,16384,7539.442443847656,1527.4819087982178,872.8740835189819,240.58963751792908,240.5600461959839,7.717155454680324,-0.0069001223891973495,5.271463394165039,1.467727541923523,0.0,2.393376588821411,0.059215594083070755,1276.7518310546875,500.0,8,0,0,8,0,0.19873046875,0.23095703125,0.210693359375,0.279541015625,0.080078125
5,20480,9122.32197713852,1582.8703112602234,942.4396393299103,235.5458755493164,235.51523518562317,5.382083289325237,-0.02852819114923477,2.807593822479248,1.4475358724594116,0.0,2.539777994155884,0.06323966383934021,1647.184814453125,500.0,8,0,0,8,0,0.1923828125,0.21875,0.238525390625,0.26953125,0.080810546875
6,24576,10635.921252012253,1513.598969221115,858.734733581543,245.20083332061768,245.1696593761444,35.498925387859344,-0.013605967164039612,32.8072395324707,1.51896071434021,0.0,2.6398463249206543,0.06544549763202667,1958.71337890625,474.25,8,2,0,6,0,0.189208984375,0.204833984375,0.23193359375,0.28759765625,0.08642578125
7,28672,12094.515723705292,1458.5873517990112,799.8891568183899,253.74106764793396,253.70942497253418,6.634010545909405,0.1307319551706314,3.7221546173095703,1.4858107566833496,0.0,2.6734893321990967,0.10763464123010635,2904.95849609375,500.0,8,0,0,8,0,0.17529296875,0.2236328125,0.22998046875,0.281494140625,0.089599609375
8,32768,13672.646539211273,1578.1305134296417,928.8341445922852,247.95534086227417,247.92563700675964,57.68688849546015,0.012232447043061256,55.53265380859375,1.4829256534576416,0.0,2.0693657398223877,0.07263650000095367,2633.7255859375,453.1111111111111,9,4,0,5,0,0.1357421875,0.2412109375,0.167236328125,0.331298828125,0.12451171875
9,36864,15231.079635381699,1558.4192423820496,905.9605236053467,245.8463270664215,245.81610870361328,29.68017017096281,0.11732557415962219,27.16107940673828,1.4952993392944336,0.0,2.318535804748535,0.08322938531637192,3958.426025390625,460.125,8,3,0,5,0,0.15380859375,0.259765625,0.185791015625,0.301513671875,0.09912109375
10,40960,16826.145480632782,1595.0551574230194,937.2599189281464,247.9450626373291,247.9110083580017,65.14888616651297,0.13281208276748657,62.88898468017578,1.4693331718444824,0.0,2.0513882637023926,0.07570113986730576,3090.515625,396.4,10,8,0,2,0,0.146240234375,0.242431640625,0.135986328125,0.35107421875,0.124267578125
11,45056,18439.66027879715,1613.488928079605,950.3806200027466,253.23805570602417,253.20605969429016,40.10723887383938,0.07291243970394135,37.64888000488281,1.4731985330581665,0.0,2.3045690059661865,0.08087742328643799,2385.99755859375,411.22222222222223,9,8,0,1,0,0.17333984375,0.241455078125,0.124755859375,0.327880859375,0.132568359375
12,49152,20919.99236893654,1504.8943963050842,848.3633699417114,246.01580905914307,245.98327350616455,73.5441308543086,0.1251509189605713,70.89970397949219,1.4652317762374878,0.0,2.4250407218933105,0.09423523396253586,3322.612548828125,421.77777777777777,9,4,0,5,0,0.165283203125,0.21728515625,0.16259765625,0.33251953125,0.122314453125
13,53248,22517.040277004242,1597.0363125801086,939.5314977169037,243.104407787323,243.07390522956848,49.271035738289356,0.13443872332572937,46.64265441894531,1.456972360610962,0.0,2.4103164672851562,0.08362612873315811,2229.7041015625,453.6666666666667,9,5,0,4,0,0.18603515625,0.217529296875,0.111328125,0.33251953125,0.152587890625
14,57344,24109.743030786514,1592.6844322681427,952.0140204429626,240.30503749847412,240.27449536323547,10.622049331665039,0.06556178629398346,8.349405288696289,1.4422521591186523,0.0,2.139298915863037,0.06778334081172943,2836.606689453125,440.77777777777777,9,4,0,5,0,0.244140625,0.19921875,0.1025390625,0.306640625,0.1474609375
15,61440,25596.342048883438,1486.5854141712189,870.1659348011017,236.3923819065094,236.36410474777222,30.361923411488533,-0.18521924316883087,27.817007064819336,1.427842140197754,0.0,2.6308207511901855,0.09931483864784241,2951.466796875,475.375,8,2,0,6,0,0.256591796875,0.192626953125,0.109130859375,0.310546875,0.131103515625
16,65536,27018.73313498497,1422.3833694458008,801.2332189083099,230.10894751548767,230.07665467262268,28.558611497282982,-0.15168160200119019,26.643692016601562,1.4155596494674683,0.0,1.9959025382995605,0.07069854438304901,1537.9193115234375,370.0,10,6,0,4,0,0.23291015625,0.169677734375,0.10009765625,0.344970703125,0.15234375
17,69632,28600.915659189224,1582.1669597625732,922.0538840293884,246.51881289482117,246.4894995689392,27.919536409899592,0.02675367332994938,25.70423126220703,1.469059944152832,0.0,2.1309187412261963,0.05763273313641548,1140.747802734375,434.22222222222223,9,5,0,4,0,0.24755859375,0.1748046875,0.10888671875,0.302734375,0.166015625
18,73728,30142.472217559814,1541.5455944538116,874.6073741912842,250.11221861839294,250.07754564285278,61.17057533189654,-0.12150860577821732,59.45439147949219,1.4420289993286133,0.0,1.7773035764694214,0.06038888171315193,2718.401123046875,423.1111111111111,9,3,0,6,0,0.243896484375,0.143310546875,0.136474609375,0.341552734375,0.134765625
19,77824,31714.257239580154,1571.7769646644592,906.9176383018494,245.79203820228577,245.76067900657654,13.9738267660141,0.11356225609779358,12.111230850219727,1.4650402069091797,0.0,1.6880993843078613,0.06093427538871765,2225.97705078125,404.8,10,6,0,4,0,0.2119140625,0.140869140625,0.134765625,0.35302734375,0.159423828125
20,81920,33279.424691438675,1565.1483616828918,913.4000887870789,246.35763716697693,246.33194255828857,36.04162356629968,0.04674474895000458,34.31270217895508,1.4270744323730469,0.0,1.627062439918518,0.055114198476076126,2678.816650390625,300.46153846153845,13,11,0,2,0,0.202392578125,0.161865234375,0.126708984375,0.376953125,0.132080078125
21,86016,34755.96666550636,1476.5186867713928,832.6700119972229,237.82999467849731,237.79594779014587,68.99684883281589,0.15409886837005615,67.31097412109375,1.3994460105895996,0.0,1.4762681722640991,0.05550767108798027,2779.491455078125,249.875,16,13,1,2,0,0.191650390625,0.1640625,0.1396484375,0.386962890625,0.11767578125
22,90112,37491.53332519531,1524.6009619235992,879.9560723304749,246.36916542053223,246.33920669555664,9.149721466004848,0.0713595524430275,6.66162109375,1.4607470035552979,0.0,2.3481433391571045,0.06859748065471649,4171.0810546875,455.375,8,2,0,6,0,0.239501953125,0.154052734375,0.1474609375,0.304443359375,0.154541015625
23,94208,39008.92981338501,1517.3903849124908,869.8800959587097,247.48875522613525,247.4570276737213,7.3072420582175255,0.018279939889907837,5.117407321929932,1.4700536727905273,0.0,2.1075258255004883,0.06402897089719772,4832.486328125,486.5,8,1,0,7,0,0.23095703125,0.179443359375,0.152099609375,0.3056640625,0.1318359375
24,98304,40545.912516355515,1536.9785804748535,895.8116438388824,247.77044248580933,247.74361276626587,12.909322176128626,-0.016249287873506546,10.659428596496582,1.4604920148849487,0.0,2.196763753890991,0.06937911361455917,4044.7080078125,452.125,8,1,0,7,0,0.236328125,0.1376953125,0.15576171875,0.34326171875,0.126953125
25,102400,42092.4471385479,1546.5329666137695,921.6312990188599,234.2439239025116,234.21576142311096,37.64056024700403,-0.06483322381973267,35.88847732543945,1.453831434249878,0.0,1.7526285648345947,0.06428758054971695,3949.8203125,447.44444444444446,9,3,0,6,0,0.226318359375,0.16064453125,0.139404296875,0.33544921875,0.13818359375
