step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,65.89450917822442,10,-0.019796663895249367,0.510944664478302,2,0.2,33.58126919406718,0.0,1.5014734268188477,11.61596393585205,0.0,0.0,0.0,0.0,0.05543186888098717,3.1822121143341064,0.0,0.0,0,0.0,0.9844226837158203,0.9844226837158203,0.0,1.0,67.4653091430664,0,0,0,1523.031905412674
45056,70.65625458911208,10,0.24797752499580383,154.7340087890625,10,1.0,5.309028204207786,0.0,1.4304978847503662,6.149206161499023,4120.41162109375,1643.88916015625,1423.06689453125,789.4388427734375,0.06999047845602036,2.027221202850342,58.623146057128906,74.28639221191406,256,0.0,1.5833044052124023,1.34266996383667,801.6776727754623,625.0,16746.162109375,8,1000,347,1387.0471584796906
86016,70.94813238273149,10,-0.06505613029003143,38.28663635253906,9,0.9,6.522200366896025,0.0,1.4371671676635742,7.070032119750977,3705.4501953125,1364.83056640625,1377.69384765625,731.4666137695312,0.0698845162987709,2.124757766723633,50.887447357177734,68.59465026855469,256,0.0,1.6477153301239014,1.37239670753479,187633.1419600183,10000.0,1576499.125,8,1000,347,1383.2080113887787
126976,54.83289238204128,10,-0.011561097577214241,15.516974449157715,9,0.9,7.3763602465589235,0.0,1.4531807899475098,7.916656494140625,3944.380126953125,1429.083740234375,1737.149169921875,912.8615112304688,0.0463053397834301,2.263427734375,40.0123176574707,52.313419342041016,256,0.0,1.6613547801971436,1.379486322402954,523869.66785974894,10000.0,4460663.0,8,1000,347,1414.234684228897
167936,46.367383764003705,10,0.010726448148488998,40.359867095947266,2,0.2,10.028829803607728,0.0,1.4061264991760254,4.927939414978027,4618.3642578125,1618.4166259765625,1898.265380859375,974.3385620117188,0.058293264359235764,1.5649842023849487,43.17586898803711,48.07437515258789,256,0.0,1.6892873048782349,1.3958107233047485,867371.9942066828,10000.0,4395779.5,8,1000,347,1433.5720155239105
208896,46.82294764830433,10,0.03065754845738411,59.196876525878906,6,0.6,59.61861726040658,0.0,1.4526183605194092,5.503820896148682,4975.900390625,1603.9578857421875,2149.844970703125,1041.3135986328125,0.03473227843642235,1.7069321870803833,41.781646728515625,43.2259521484375,256,0.0,1.7613601684570312,1.436875343322754,1197596.1455944935,10000.0,6742814.5,8,1000,347,1433.8095297813416
249856,52.40616130438341,10,0.16596515476703644,42.46074676513672,2,0.2,8.032684151701442,0.0,1.4221923351287842,5.474823951721191,4995.09326171875,1209.7137451171875,2251.3330078125,886.944580078125,0.0449121817946434,1.6991209983825684,40.17183303833008,41.980712890625,256,0.0,2.0321459770202637,1.593275547027588,1410291.0732533792,10000.0,7870964.0,8,1000,347,1455.367294549942
290816,60.357232373628136,10,0.0518496111035347,71.32858276367188,4,0.4,11.442002612571867,0.0,1.429139494895935,3.276155948638916,4963.384765625,718.9429931640625,2079.025634765625,539.3077392578125,0.04386308416724205,1.0480058193206787,43.6868782043457,44.74412536621094,256,0.0,2.627917528152466,1.9636704921722412,1695500.6015449772,10000.0,5608390.5,8,1000,347,1521.2803151607513
331776,60.946445391048,10,-0.030563846230506897,18.709339141845703,9,0.9,7.5894738948574485,0.0,1.487703800201416,4.968423366546631,5224.236328125,365.7785949707031,1993.2130126953125,283.8111877441406,0.03851587325334549,1.5491454601287842,47.73080062866211,45.78329086303711,256,0.0,3.7796831130981445,2.6503729820251465,1950509.4832144687,10000.0,9814383.0,24,1000,1000,1543.2956001758575
372736,63.94719521628665,10,0.01647929474711418,42.591712951660156,8,0.8,8.657118120615225,0.0,1.4167454242706299,8.039983749389648,5157.26904296875,137.59112548828125,1643.85107421875,105.1421127319336,0.04084870219230652,2.2468607425689697,54.132904052734375,52.83906173706055,256,0.0,6.123819828033447,3.9548754692077637,2191382.3532275865,10000.0,17941884.0,24,1000,1000,1511.483568429947
