step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,2,YIELD,0.08999999999998294,54.8,4.197499999999999,0.375,10.0,0,45.8025
3,3,GO,0.17000000000001364,54.8,4.254999999999999,0.575,10.0,0,45.745000000000005
4,3,GO,0.3000000000000017,54.8,4.332499999999999,0.7749999999999999,10.0,0,45.667500000000004
5,3,GO,0.3800000000000324,54.8,4.429999999999999,0.9749999999999999,10.0,0,45.57
6,1,CREEP,0.33499999999998636,54.8,4.528749999999999,0.9874999999999999,10.0,0,45.47125
7,3,GO,0.4150000000000171,54.8,4.647499999999999,1.1875,10.0,0,45.3525
8,3,GO,0.5449999999999625,54.8,4.786249999999999,1.3875,10.0,0,45.213750000000005
9,3,GO,0.6249999999999931,54.8,4.944999999999999,1.5875,34.15273396986156,0,45.055
10,2,YIELD,0.565,54.8,5.101249999999999,1.5625,27.564549303097802,0,44.89875
11,3,GO,0.6450000000000307,54.8,5.2775,1.7625,24.11510320384788,0,44.7225
12,3,GO,0.7749999999999762,54.8,5.47375,1.9625,22.493858448031325,0,44.52625
13,3,GO,0.8550000000000069,54.8,5.6899999999999995,2.1625,20.842714539949405,0,44.31
14,1,CREEP,0.7850000000000203,54.8,5.901249999999999,2.1125,20.266452121151897,0,44.09875
15,3,GO,0.8649999999999658,54.8,6.132499999999999,2.3125,19.359694813156356,0,43.8675
16,3,GO,0.9949999999999966,54.8,6.38375,2.5125,17.66754612539497,0,43.61625
17,3,GO,1.0750000000000273,54.8,6.654999999999999,2.7125000000000004,16.340652422645547,0,43.345
18,3,GO,1.1549999999999727,54.8,6.94625,2.9125000000000005,15.238444104021669,0,43.05375
19,3,GO,1.2350000000000034,54.8,7.2574999999999985,3.1125000000000007,14.017034662408943,0,42.7425
20,3,GO,1.3150000000000341,54.8,7.58875,3.312500000000001,12.985025836079595,0,42.41125
21,3,GO,1.3949999999999796,54.8,7.9399999999999995,3.512500000000001,12.487650541893379,0,42.06
22,3,GO,1.4750000000000103,54.8,8.31125,3.7125000000000012,11.489511098546672,0,41.68875
23,3,GO,1.5549999999999984,54.8,8.702499999999999,3.9125000000000014,10.904302879584897,0,41.2975
24,3,GO,1.635000000000029,54.8,9.11375,4.112500000000002,10.053199899370924,0,40.886250000000004
25,3,GO,1.7149999999999745,54.8,9.545,4.312500000000002,9.594922885331524,0,40.455
26,3,GO,1.7950000000000053,54.8,9.99625,4.512500000000002,8.98889376918858,0,40.00375
27,3,GO,1.8749999999999933,54.8,10.4675,4.712500000000002,8.55582351018951,0,39.5325
28,3,GO,1.955000000000024,54.8,10.95875,4.912500000000002,8.142429521047754,0,39.04125
29,1,CREEP,1.8849999999999525,54.8,11.445,4.8625000000000025,8.125949491878899,0,38.555
30,3,GO,1.9650000000000258,54.8,11.95125,5.062500000000003,7.604675264821324,0,38.04875
31,3,GO,2.0949999999999713,54.8,12.477500000000001,5.262500000000003,7.088007398230856,0,37.5225
32,2,YIELD,2.035000000000021,54.8,13.001249999999999,5.2375000000000025,7.1672337674390185,0,36.99875
33,3,GO,2.115000000000009,54.8,13.545000000000002,5.437500000000003,6.807795959412323,0,36.455
34,3,GO,2.244999999999997,54.8,14.10875,5.637500000000003,6.392245259585442,0,35.89125
35,3,GO,2.324999999999985,54.8,14.6925,5.837500000000003,5.957105222999551,0,35.3075
36,3,GO,2.405000000000016,54.8,15.296250000000002,6.037500000000003,5.6776134997709695,0,34.70375
37,1,CREEP,2.3350000000000293,54.8,15.895000000000003,5.987500000000003,5.610712853129328,0,34.105
38,2,YIELD,2.324999999999994,54.8,16.491250000000004,5.962500000000004,5.524290645826235,0,33.50874999999999
39,1,CREEP,2.3050000000000073,54.8,17.082500000000003,5.912500000000004,5.490837524197944,0,32.9175
40,3,GO,2.3849999999999953,54.8,17.693750000000005,6.112500000000004,5.162657004072529,0,32.30624999999999
41,0,STOP,2.2849999999999784,54.8,18.280000000000005,5.862500000000004,5.416715366593347,0,31.72
42,4,ABORT,1.6250000000000446,54.8,18.826250000000005,5.462500000000004,5.780058565784009,0,31.17375
43,1,CREEP,2.1049999999999733,54.8,19.367500000000007,5.412500000000004,5.789782765637629,0,30.632499999999993
44,3,GO,2.185000000000004,54.8,19.928750000000008,5.612500000000004,5.376516102248123,0,30.071249999999992
45,3,GO,2.3150000000000346,54.8,20.51000000000001,5.812500000000004,5.011383279205568,0,29.489999999999995
46,2,YIELD,2.2549999999999564,54.8,21.088750000000008,5.787500000000005,4.941335822818821,0,28.911249999999995
47,3,GO,2.334999999999987,54.8,21.687500000000007,5.987500000000005,4.642195973944448,0,28.312499999999993
48,3,GO,2.4650000000000176,54.8,22.30625000000001,6.187500000000005,4.38166701360322,0,27.693749999999994
49,4,ABORT,1.7550000000000414,54.8,22.88500000000001,5.787500000000005,4.749200184603465,0,27.114999999999995
50,3,GO,2.334999999999987,54.8,23.483750000000008,5.987500000000005,4.353347919539838,0,26.516249999999992
51,1,CREEP,2.315000000000001,54.8,24.077500000000008,5.937500000000005,4.319878571665835,0,25.922499999999992
52,2,YIELD,2.3050000000000077,54.8,24.66875000000001,5.912500000000005,4.21224950080856,0,25.33124999999999
53,3,GO,2.3849999999999953,54.8,25.28000000000001,6.112500000000005,3.9601856778361846,0,24.719999999999985
54,4,ABORT,1.7250000000000194,54.8,25.851250000000014,5.712500000000006,4.189940678687963,0,24.148749999999993
55,4,ABORT,1.6150000000000007,54.8,26.38250000000001,5.312500000000005,4.601736161583033,0,23.617499999999993
56,3,GO,2.1449999999999463,54.8,26.933750000000014,5.5125000000000055,4.230404947788926,0,23.06624999999999
57,1,CREEP,2.1250000000000453,54.8,27.48000000000001,5.462500000000006,4.242746538945394,0,22.51999999999999
58,3,GO,2.2049999999999903,54.8,28.04625000000001,5.662500000000006,3.9454375848522014,0,21.95374999999999
59,4,ABORT,1.544999999999993,54.8,28.572500000000016,5.262500000000006,4.228018485360325,0,21.427499999999988
60,4,ABORT,1.435000000000017,54.8,29.058750000000014,4.862500000000006,4.601937802879765,0,20.941249999999986
61,1,CREEP,1.8649999999999878,54.8,29.540000000000013,4.812500000000006,4.531993194037151,0,20.459999999999987
62,3,GO,1.9449999999999972,54.8,30.041250000000012,5.012500000000006,4.146672284165934,0,19.958749999999988
63,3,GO,2.0750000000000064,54.8,30.562500000000018,5.212500000000007,3.853881941288998,0,19.437499999999986
64,1,CREEP,2.004999999999999,54.8,31.078750000000014,5.162500000000007,3.8905493083503417,0,18.921249999999986
65,3,GO,2.0850000000000084,54.8,31.615000000000013,5.362500000000007,3.5803153779887764,0,18.384999999999987
66,0,STOP,1.9849999999999912,54.8,32.12625000000001,5.112500000000007,3.764800214823474,0,17.873749999999987
67,3,GO,2.065000000000001,54.8,32.65750000000001,5.312500000000007,3.4986478707566646,0,17.342499999999987
68,4,ABORT,1.4050000000000031,54.8,33.148750000000014,4.912500000000007,3.829675589972663,0,16.851249999999986
69,4,ABORT,1.2950000000000057,54.8,33.600000000000016,4.512500000000006,4.124336309819414,0,16.399999999999984
70,3,GO,1.8249999999999937,54.8,34.07125000000001,4.712500000000007,3.8372230354627854,0,15.928749999999987
71,1,CREEP,1.8050000000000075,54.8,34.537500000000016,4.662500000000007,3.7686398687833775,0,15.462499999999984
72,3,GO,1.8849999999999956,54.8,35.023750000000014,4.862500000000007,3.503457224675873,0,14.976249999999986
73,0,STOP,1.785,54.8,35.485000000000014,4.612500000000007,3.685898251338348,0,14.514999999999986
74,1,CREEP,1.7649999999999921,54.8,35.94125000000001,4.562500000000007,3.657830023907788,0,14.05874999999999
75,3,GO,1.8450000000000015,54.8,36.41750000000001,4.762500000000007,3.367620499392084,0,13.582499999999989
