# scenario=1b, ego_maneuver=stem_right, seed=3826, episode_idx=37, terminal_step=331, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.499999999999998,0.0,1.0,0.0,1,0.3399999999999829,10.0,0,none,0
6,54.8,4.619999999999998,0.0,1.2,1.9999999999999996,3,0.42000000000001364,10.0,0,none,0
7,54.8,4.759999999999998,0.0,1.4,1.9999999999999996,3,0.5499999999999591,10.0,0,none,0
8,54.8,4.919999999999998,0.0,1.5999999999999999,1.9999999999999996,3,0.6299999999999898,34.432383630491515,1,none,0
9,54.8,5.099999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7100000000000204,26.32549701217278,1,none,0
10,54.8,5.277499999999998,0.0,1.775,-0.2499999999999991,2,0.6500000000000272,25.831075586609245,1,none,0
11,54.8,5.474999999999998,0.0,1.9749999999999999,1.9999999999999996,3,0.7299999999999727,23.824370098391608,1,none,0
12,54.8,5.692499999999998,0.0,2.175,1.9999999999999996,3,0.8600000000000034,21.90912030331076,1,none,0
13,54.8,5.929999999999998,0.0,2.375,2.0000000000000018,3,0.9400000000000341,19.492345951551727,1,none,0
14,54.8,6.187499999999998,0.0,2.575,2.0000000000000018,3,1.0199999999999796,18.40010787111885,1,none,0
15,54.8,6.464999999999998,0.0,2.7750000000000004,2.0000000000000018,3,1.1000000000000103,16.881948123172496,1,none,0
16,54.8,6.739999999999998,0.0,2.7500000000000004,-0.2499999999999991,2,1.0400000000000171,16.928364070975928,1,none,0
17,54.8,7.034999999999998,0.0,2.9500000000000006,2.0000000000000018,3,1.1199999999999626,15.740840128646447,1,none,0
18,54.8,7.3249999999999975,0.0,2.9000000000000004,-0.5000000000000027,1,1.099999999999976,15.769974142536018,1,none,0
19,54.8,7.634999999999997,0.0,3.1000000000000005,2.0000000000000018,3,1.1800000000000068,14.563225180798193,1,none,0
20,54.8,7.939999999999999,0.0,3.0500000000000007,-0.4999999999999982,1,1.1600000000000206,15.057823749839224,1,none,0
21,54.8,8.264999999999997,0.0,3.250000000000001,2.0000000000000018,3,1.239999999999966,13.796742396383566,1,none,0
22,54.8,8.609999999999998,0.0,3.450000000000001,2.0000000000000018,3,1.3700000000000394,12.993826719657324,1,none,0
23,54.8,8.952499999999997,0.0,3.425000000000001,-0.2499999999999991,2,1.3099999999999608,12.780390136713304,1,none,0
24,54.8,9.289999999999997,0.0,3.375000000000001,-0.5000000000000027,1,1.2900000000000171,13.04233605997402,1,none,0
25,54.8,9.624999999999998,0.0,3.350000000000001,-0.2499999999999991,2,1.280000000000024,12.975059073772831,2,none,0
26,54.8,9.979999999999999,0.0,3.550000000000001,2.0000000000000018,3,1.3599999999999695,12.308680620682255,2,none,0
27,54.8,10.354999999999999,0.0,3.7500000000000013,2.0000000000000018,3,1.4900000000000002,11.497177029460039,2,none,0
28,54.8,10.7275,0.0,3.7250000000000014,-0.2499999999999991,2,1.430000000000007,11.390260724067062,2,none,0
29,54.8,11.0975,0.0,3.7000000000000015,-0.2499999999999991,2,1.4700000000000137,11.230118217804387,2,none,0
30,54.8,11.4875,0.0,3.9000000000000017,2.0000000000000018,3,1.5000000000000444,10.707704861252424,2,none,0
31,54.8,11.8975,0.0,4.100000000000001,1.9999999999999973,3,1.62999999999999,10.086382960633912,2,none,0
32,54.8,12.3275,0.0,4.300000000000002,2.0000000000000018,3,1.709999999999978,9.418246334766991,2,none,0
33,54.8,12.7775,0.0,4.500000000000002,2.0000000000000018,3,1.7900000000000087,8.750482128173303,2,none,0
34,54.8,13.202499999999999,0.0,4.250000000000002,-2.5,0,1.6399999999999917,9.2847205633208,2,none,0
35,54.8,13.647499999999999,0.0,4.450000000000002,2.0000000000000018,3,1.7200000000000224,8.697846320286928,2,none,0
36,54.8,14.1125,0.0,4.650000000000002,2.0000000000000018,3,1.8500000000000105,8.166835539693398,2,none,0
37,54.8,14.597500000000002,0.0,4.850000000000002,2.0000000000000018,3,1.929999999999956,7.7044658056993285,2,none,0
38,54.8,15.057500000000001,0.0,4.600000000000002,-2.5,0,1.780000000000024,8.054773932685743,2,none,0
39,54.8,15.537500000000003,0.0,4.8000000000000025,2.0000000000000018,3,1.8599999999999695,7.686608633229999,2,none,0
40,54.8,16.0375,0.0,5.000000000000003,2.0000000000000018,3,1.9900000000000002,7.235530880317342,2,none,0
41,54.8,16.532500000000002,0.0,4.950000000000003,-0.4999999999999982,1,1.920000000000014,7.266120698724881,2,none,0
42,54.8,17.022500000000004,0.0,4.900000000000003,-0.4999999999999982,1,1.9500000000000277,7.182428252005484,2,none,0
43,54.8,17.532500000000006,0.0,5.100000000000003,2.0000000000000018,3,1.9799999999999731,6.711914255022884,2,none,0
44,54.8,18.017500000000005,0.0,4.850000000000003,-2.5,0,1.8800000000000412,7.021584696858607,2,none,0
45,54.8,18.522500000000004,0.0,5.050000000000003,2.0000000000000018,3,1.9599999999999864,6.598474734123082,2,none,0
46,54.8,19.022500000000004,0.0,5.0000000000000036,-0.4999999999999982,1,1.9400000000000002,6.599729959543834,2,none,0
47,54.8,19.517500000000005,0.0,4.950000000000004,-0.4999999999999982,1,1.970000000000014,6.682113853694444,2,none,0
48,54.8,20.032500000000006,0.0,5.150000000000004,2.0000000000000018,3,1.9999999999999594,6.172846970933905,2,none,0
49,54.8,20.567500000000006,0.0,5.350000000000004,2.0000000000000018,3,2.1300000000000328,5.821463283421993,2,none,0
50,54.8,21.077500000000008,0.0,5.100000000000004,-2.5,0,1.9800000000000157,6.036650592150548,2,none,0
51,54.8,21.60750000000001,0.0,5.300000000000004,2.0000000000000018,3,2.060000000000004,5.685189738267122,2,none,0
52,54.8,22.112500000000008,0.0,5.050000000000004,-2.5,0,1.9599999999999869,5.908531162440149,2,none,0
53,54.8,22.63750000000001,0.0,5.250000000000004,2.0000000000000018,3,2.040000000000018,5.634034375263739,2,none,0
54,54.8,23.18250000000001,0.0,5.450000000000005,2.0000000000000018,3,2.169999999999963,5.230981715261716,2,none,0
55,54.8,23.747500000000013,0.0,5.650000000000005,2.0000000000000018,3,2.2500000000000364,4.954481880070604,2,none,0
56,54.8,24.30750000000001,0.0,5.600000000000005,-0.4999999999999982,1,2.179999999999965,4.907571563803007,2,none,0
57,54.8,24.887500000000014,0.0,5.800000000000005,2.0000000000000018,3,2.260000000000038,4.588365227922782,2,none,0
58,54.8,25.487500000000015,0.0,6.000000000000005,2.0000000000000018,3,2.3899999999999837,4.307093423026212,2,none,0
59,54.8,26.107500000000016,0.0,6.2000000000000055,2.0000000000000018,3,2.470000000000014,4.010245797862945,2,none,0
60,54.8,26.687500000000018,0.0,5.800000000000006,-3.9999999999999947,4,1.7600000000000382,4.239776106916651,2,none,0
61,54.8,27.262500000000017,0.0,5.750000000000006,-0.4999999999999982,1,2.2399999999999665,4.203116238426543,2,none,0
62,54.8,27.85750000000002,0.0,5.950000000000006,2.0000000000000018,3,2.3199999999999976,3.979941054767704,2,none,0
63,54.8,28.45000000000002,0.0,5.925000000000006,-0.25000000000000355,2,2.310000000000004,3.894294912233321,2,none,0
64,54.8,29.00250000000002,0.0,5.525000000000006,-4.0000000000000036,4,1.6500000000000064,4.210422367822278,2,none,0
65,54.8,29.55250000000002,0.0,5.500000000000005,-0.25000000000000355,2,2.1400000000000134,4.16325296347217,2,none,0
66,54.8,30.077500000000022,0.0,5.250000000000005,-2.5,0,2.0399999999999965,4.355015824769531,2,none,0
67,54.8,30.600000000000023,0.0,5.225000000000005,-0.25000000000000355,2,2.0300000000000034,4.225518431475752,2,none,0
68,54.8,31.120000000000022,0.0,5.200000000000005,-0.25000000000000355,2,2.07000000000001,4.198262776272468,2,none,0
69,54.8,31.615000000000023,0.0,4.950000000000005,-2.5,0,1.9199999999999928,4.374632528806709,2,none,0
70,54.8,32.07000000000002,0.0,4.550000000000004,-4.0000000000000036,4,1.2599999999999953,4.86486771937064,2,none,0
71,54.8,32.48500000000002,0.0,4.150000000000004,-4.0000000000000036,4,1.149999999999998,5.406912938444118,2,none,0
