iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,1328.1129949092865,1323.7359623908997,696.2646872997284,284.47016310691833,284.4347302913666,1.0235702842473984,0.08156657218933105,0.546218991279602,1.5295490026474,1.4870554208755493,0.0,0.09837363660335541,-1495.98779296875,500.0,8,0,0,8,0,0.192138671875,0.224853515625,0.188232421875,0.099609375,0.295166015625,0.1807420551776886,0.10114753246307373
2,8192,3931.4452996253967,1409.6130595207214,780.3550782203674,279.38267612457275,279.3484318256378,1.4788246296346188,0.03113194927573204,0.8669782876968384,1.52397882938385,1.602168321609497,0.0,0.2602807283401489,-1942.826904296875,500.0,8,0,0,8,0,0.210205078125,0.27197265625,0.193115234375,0.152099609375,0.172607421875,0.4203389585018158,0.22043730318546295
3,12288,5289.811918735504,1358.3664271831512,719.5941548347473,292.8844356536865,292.84754180908203,138.37783799245955,0.007131684571504593,1.694899320602417,1.4487249851226807,681.9257202148438,0.0,0.290662944316864,-726.1526489257812,500.0,8,0,0,8,0,0.166015625,0.3369140625,0.1865234375,0.189208984375,0.121337890625,0.5035592317581177,0.33200010657310486
4,16384,6661.113778591156,1371.301652431488,740.5766887664795,294.8306543827057,294.7973425388336,723.0826817154884,0.04220689833164215,11.014970779418945,1.427639126777649,3546.24560546875,0.22662769258022308,2.7310574054718018,-729.8701171875,500.0,8,0,0,8,0,0.110595703125,0.391845703125,0.128662109375,0.196044921875,0.1728515625,2.3538401126861572,7.079098701477051
5,20480,7985.401761054993,1324.2877724170685,754.6968066692352,243.7694833278656,243.73605966567993,22.268036444485187,0.025622032582759857,18.999778747558594,1.375877857208252,2.9853525161743164,0.05309407413005829,2.634946346282959,1329.0361328125,467.75,8,1,0,7,0,0.08447265625,0.443359375,0.100830078125,0.237548828125,0.1337890625,2.5690689086914062,4.534897804260254
6,24576,9314.906889915466,1329.502723455429,734.7113168239594,265.9738392829895,265.93875789642334,29.945839377492668,-0.06047855317592621,23.02574348449707,1.3924612998962402,2.720388889312744,0.03416505083441734,6.42966365814209,1646.639892578125,431.44444444444446,9,4,0,5,0,0.142333984375,0.413818359375,0.10888671875,0.23779296875,0.09716796875,10.113656997680664,11.181632995605469
7,28672,10633.71768116951,1318.798266172409,725.6964001655579,261.7141942977905,261.68153953552246,84.53588015437126,0.13950493931770325,60.42671203613281,1.4275635480880737,50.124359130859375,0.246074378490448,13.895576477050781,2543.15087890625,417.6666666666667,9,4,0,5,0,0.123291015625,0.391845703125,0.138427734375,0.2509765625,0.095458984375,42.51318359375,22.203311920166016
8,32768,12069.324985980988,1435.595519542694,800.2839982509613,298.0319299697876,298.00116991996765,85.68065242767334,0.08501172065734863,61.71698760986328,1.443230390548706,2.547745943069458,0.981910228729248,23.17272186279297,2174.109130859375,368.8181818181818,11,8,0,3,0,0.14697265625,0.330322265625,0.158447265625,0.288330078125,0.075927734375,40.50768280029297,22.10287094116211
9,36864,13501.605463027954,1432.2576730251312,803.8346588611603,276.18775486946106,276.15780091285706,184.0142145447433,-2.7436763048171997e-05,144.67356872558594,1.4486802816390991,2.1996583938598633,1.1237525939941406,38.67599105834961,1167.5172119140625,263.0,14,14,0,0,0,0.13818359375,0.284912109375,0.18701171875,0.30224609375,0.087646484375,44.008399963378906,47.195465087890625
10,40960,14989.066486120224,1487.4276099205017,832.4236347675323,306.63175535202026,306.5948715209961,562.9135635823011,-0.12197060883045197,56.64964294433594,1.4936953783035278,2401.240478515625,0.9714560508728027,25.943504333496094,1784.6881103515625,406.6,10,7,0,3,0,0.16455078125,0.25048828125,0.172607421875,0.296142578125,0.1162109375,29.5950870513916,32.258216857910156
11,45056,16421.095967054367,1432.0064663887024,799.7529170513153,282.9615378379822,282.9283788204193,201.77138102948666,0.158237025141716,133.5981903076172,1.4836992025375366,2.273350477218628,0.42505234479904175,67.47527313232422,3299.075439453125,394.4,10,5,0,5,0,0.17919921875,0.238525390625,0.16357421875,0.31005859375,0.108642578125,72.18387603759766,67.3148422241211
12,49152,18548.87800717354,1405.5454483032227,786.0416145324707,276.5757713317871,276.5433192253113,119.67516291737556,0.17805376648902893,84.94654846191406,1.5024226903915405,3.669168472290039,0.6821838617324829,33.68029022216797,4006.640625,379.8,10,8,0,2,0,0.165771484375,0.244873046875,0.160888671875,0.312744140625,0.11572265625,43.91349792480469,34.64884567260742
13,53248,19969.312881469727,1420.410594701767,789.4924638271332,280.90359330177307,280.8689513206482,125.47796519994736,0.08483582735061646,50.205291748046875,1.487036943435669,173.17892456054688,0.7984029054641724,40.392372131347656,2198.55029296875,403.5,10,7,0,3,0,0.181640625,0.21142578125,0.16455078125,0.298828125,0.1435546875,55.078948974609375,37.6581916809082
14,57344,21407.546962976456,1438.210172176361,804.9111745357513,291.0996265411377,291.06169986724854,127.7835027039051,0.0009694397449493408,86.85665893554688,1.4845000505447388,2.1276793479919434,0.327944278717041,40.434749603271484,3210.76611328125,369.6,10,7,0,3,0,0.15478515625,0.2958984375,0.179931640625,0.257568359375,0.11181640625,58.26435089111328,44.12922668457031
15,61440,22830.599663496017,1423.0329270362854,808.6935069561005,269.5172665119171,269.4890103340149,99.22237097062171,0.018505537882447243,65.61988067626953,1.4721741676330566,7.723433494567871,0.3021383285522461,31.978870391845703,5127.5546875,342.09090909090907,11,8,0,3,0,0.16650390625,0.258544921875,0.21142578125,0.28125,0.082275390625,38.69316101074219,31.761032104492188
