step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,2,YIELD,0.08999999999998294,54.8,4.197499999999999,0.375,10.0,0,45.8025
3,0,STOP,0.015000000000034111,54.8,4.216249999999999,0.1875,10.0,0,45.78375
4,3,GO,0.09499999999997953,54.8,4.254999999999999,0.3875,10.0,0,45.745000000000005
5,1,CREEP,0.10500000000001534,54.8,4.296249999999999,0.4125,10.0,0,45.70375
6,1,CREEP,0.16500000000000853,54.8,4.339999999999999,0.4375,120.28509340038528,0,45.660000000000004
7,1,CREEP,0.17499999999995908,54.8,4.386249999999999,0.4625,46.84459154379468,0,45.61375
8,1,CREEP,0.18500000000003752,54.8,4.434999999999999,0.48750000000000004,42.27072447280916,0,45.565
9,1,CREEP,0.19499999999998807,54.8,4.486249999999998,0.5125000000000001,44.14117856371982,0,45.51375
10,3,GO,0.2250000000000188,54.8,4.557499999999998,0.7125000000000001,41.93946597864673,0,45.4425
11,4,ABORT,-0.4175000000000119,54.8,4.593124999999998,0.35625000000000007,41.69189781589223,0,45.406875
12,3,GO,0.1625000000000188,54.8,4.648749999999998,0.5562500000000001,44.165587641657105,0,45.35125
13,3,GO,0.29249999999996423,54.8,4.7243749999999975,0.7562500000000001,39.17421324729511,0,45.275625000000005
14,2,YIELD,0.23250000000001364,54.8,4.797499999999998,0.7312500000000001,39.42153165704357,0,45.2025
15,3,GO,0.3125000000000017,54.8,4.890624999999997,0.9312500000000001,36.532326991698554,0,45.109375
16,3,GO,0.4424999999999898,54.8,5.0037499999999975,1.13125,32.11832174303293,0,44.99625
17,3,GO,0.5225000000000205,54.8,5.136874999999997,1.33125,28.794188928536784,0,44.863125000000004
18,2,YIELD,0.46249999999998465,54.8,5.267499999999997,1.30625,31.219312029158406,0,44.7325
19,3,GO,0.5425000000000153,54.8,5.418124999999997,1.5062499999999999,27.136534490707174,0,44.581875000000004
20,3,GO,0.6725000000000034,54.8,5.588749999999997,1.7062499999999998,25.43968761161977,0,44.41125
21,3,GO,0.7524999999999489,54.8,5.779374999999997,1.9062499999999998,22.50307687834499,0,44.220625000000005
22,3,GO,0.8325000000000221,54.8,5.9899999999999975,2.1062499999999997,21.271549437779058,0,44.010000000000005
23,3,GO,0.9125000000000102,54.8,6.220624999999998,2.30625,19.505895429617123,0,43.779375
24,3,GO,0.9924999999999984,54.8,6.471249999999998,2.50625,18.330023389763998,0,43.52875
25,3,GO,1.0724999999999865,54.8,6.741874999999998,2.7062500000000003,17.024864479358786,0,43.258125
26,0,STOP,0.9225000000000119,54.8,6.987499999999999,2.4562500000000003,16.302777982479856,0,43.0125
27,3,GO,1.0025,54.8,7.253124999999999,2.6562500000000004,14.831091186803999,0,42.746875
28,4,ABORT,0.3424999999999813,54.8,7.478749999999998,2.2562500000000005,16.53823849018766,0,42.52125
29,1,CREEP,0.8225000000000375,54.8,7.699374999999999,2.2062500000000007,17.500055931085893,0,42.300625000000004
30,2,YIELD,0.8124999999999591,54.8,7.917499999999997,2.181250000000001,17.771722880446212,0,42.0825
31,1,CREEP,0.7925000000000579,54.8,8.130624999999998,2.1312500000000005,17.74672599622769,0,41.869375000000005
32,3,GO,0.8724999999999608,54.8,8.363749999999998,2.3312500000000007,15.811854648281608,0,41.636250000000004
33,3,GO,1.0024999999999915,54.8,8.616874999999999,2.531250000000001,14.848626654527052,0,41.383125
34,1,CREEP,0.9325000000000478,54.8,8.864999999999998,2.481250000000001,14.897478320883298,0,41.135000000000005
35,4,ABORT,0.2724999999999865,54.8,9.073125,2.081250000000001,17.084745408293642,0,40.926875
36,2,YIELD,0.7624999999999933,54.8,9.278749999999999,2.0562500000000012,17.238719978947472,0,40.72125
37,1,CREEP,0.7425000000000069,54.8,9.479375,2.0062500000000014,17.303022956053276,0,40.520625
38,2,YIELD,0.7325000000000137,54.8,9.6775,1.9812500000000015,18.140998454571662,0,40.3225
39,3,GO,0.8124999999999591,54.8,9.895625,2.1812500000000017,16.596213092792745,0,40.104375
40,3,GO,0.9424999999999899,54.8,10.133750000000001,2.381250000000002,15.48896811644274,0,39.86625
41,3,GO,1.0225000000000206,54.8,10.391875,2.581250000000002,13.956693249700512,0,39.608125
42,0,STOP,0.8725000000000036,54.8,10.625,2.331250000000002,14.895212500895873,0,39.375
43,4,ABORT,0.2125000000000275,54.8,10.818125,1.9312500000000021,17.293390580684843,0,39.181875
44,3,GO,0.7924999999999729,54.8,11.03125,2.1312500000000023,15.849793549419282,0,38.96875
45,3,GO,0.9225000000000037,54.8,11.264375000000001,2.3312500000000025,14.718070984560702,0,38.735625
46,3,GO,1.0025000000000344,54.8,11.517500000000002,2.5312500000000027,14.068019232645405,0,38.4825
47,3,GO,1.0824999999999798,54.8,11.790625000000002,2.731250000000003,12.543110019724574,0,38.209374999999994
48,1,CREEP,1.0124999999999935,54.8,12.058750000000002,2.681250000000003,12.742261755133217,0,37.94125
49,2,YIELD,1.0025000000000002,54.8,12.324375000000003,2.656250000000003,12.60096807573095,0,37.675625
50,3,GO,1.0824999999999882,54.8,12.610000000000001,2.8562500000000033,11.775284890303617,0,37.39
51,3,GO,1.212500000000019,54.8,12.915625,3.0562500000000035,10.882482817356472,0,37.084374999999994
52,0,STOP,1.0624999999999594,54.8,13.196250000000004,2.8062500000000035,12.058077938273447,0,36.803749999999994
53,3,GO,1.1425000000000327,54.8,13.496875000000001,3.0062500000000036,10.983482178628519,0,36.503125
54,3,GO,1.2724999999999782,54.8,13.817500000000003,3.206250000000004,10.413086592127195,0,36.1825
55,0,STOP,1.1225000000000038,54.8,14.113125000000004,2.956250000000004,11.118719725977227,0,35.886874999999996
56,1,CREEP,1.1025000000000174,54.8,14.403750000000004,2.9062500000000036,11.145546409101586,0,35.59625
57,1,CREEP,1.1325000000000311,54.8,14.689375000000004,2.8562500000000037,11.267518742117922,0,35.310624999999995
58,3,GO,1.1624999999999766,54.8,14.995000000000006,3.056250000000004,10.367809868016518,0,35.004999999999995
59,2,YIELD,1.1524999999999832,54.8,15.298125000000006,3.031250000000004,10.182209977162673,0,34.701874999999994
60,3,GO,1.232500000000014,54.8,15.621250000000005,3.231250000000004,9.531453007776307,0,34.37875
61,0,STOP,1.132499999999997,54.8,15.919375000000006,2.981250000000004,10.432624614033474,0,34.080625
62,3,GO,1.2125000000000277,54.8,16.237500000000008,3.1812500000000044,9.650891586232714,0,33.76249999999999
63,3,GO,1.3424999999999732,54.8,16.57562500000001,3.3812500000000045,9.088428695001964,0,33.42437499999999
64,2,YIELD,1.2825000000000226,54.8,16.91125000000001,3.3562500000000046,9.117204404988062,0,33.08874999999999
65,3,GO,1.3625000000000107,54.8,17.26687500000001,3.556250000000005,8.549802573703836,0,32.73312499999999
66,2,YIELD,1.352499999999975,54.8,17.62000000000001,3.531250000000005,8.314639488104229,0,32.37999999999999
67,0,STOP,1.2525000000000004,54.8,17.94812500000001,3.281250000000005,8.93794667489703,0,32.05187499999999
68,3,GO,1.332500000000031,54.8,18.29625000000001,3.481250000000005,8.257434315948071,0,31.703749999999985
69,3,GO,1.4624999999999766,54.8,18.66437500000001,3.6812500000000052,7.824783813568227,0,31.335624999999993
70,3,GO,1.5425000000000073,54.8,19.052500000000013,3.8812500000000054,7.309928194125334,0,30.94749999999999
71,0,STOP,1.3924999999999903,54.8,19.415625000000013,3.6312500000000054,7.703570620962207,0,30.584374999999987
72,3,GO,1.472500000000021,54.8,19.798750000000013,3.8312500000000056,7.260186170100434,0,30.201249999999987
73,2,YIELD,1.4625000000000279,54.8,20.179375000000014,3.8062500000000057,7.088965962589156,0,29.820624999999986
74,1,CREEP,1.4424999999999562,54.8,20.555000000000014,3.756250000000006,7.054757622354544,0,29.444999999999986
