step,action,action_name,reward,ego_x,ego_y,ego_v,ttc_min,collision,d_cz
0,3,GO,0.0700000000000307,54.8,4.119999999999999,0.2,10.0,0,45.88
1,3,GO,0.14999999999997612,54.8,4.159999999999999,0.4,10.0,0,45.84
2,3,GO,0.23000000000000684,54.8,4.219999999999999,0.6000000000000001,10.0,0,45.78
3,3,GO,0.3099999999999949,54.8,4.299999999999999,0.8,10.0,0,45.7
4,3,GO,0.39000000000002555,54.8,4.399999999999999,1.0,10.0,0,45.6
5,3,GO,0.469999999999971,54.8,4.519999999999999,1.2,10.0,0,45.480000000000004
6,3,GO,0.5500000000000017,54.8,4.659999999999998,1.4,10.0,0,45.34
7,3,GO,0.6299999999999898,54.8,4.8199999999999985,1.5999999999999999,10.0,0,45.18
8,3,GO,0.7100000000000204,54.8,4.999999999999998,1.7999999999999998,27.942707260628612,0,45.0
9,3,GO,0.7899999999999658,54.8,5.199999999999998,1.9999999999999998,15.044691825522015,0,44.800000000000004
10,3,GO,0.8699999999999966,54.8,5.419999999999998,2.1999999999999997,13.190527997862128,0,44.58
11,3,GO,0.9500000000000273,54.8,5.659999999999998,2.4,13.001630340799538,0,44.34
12,3,GO,1.0299999999999727,54.8,5.919999999999998,2.6,12.589240937192645,0,44.08
13,3,GO,1.1100000000000034,54.8,6.1999999999999975,2.8000000000000003,10.844987284485246,0,43.800000000000004
14,3,GO,1.1900000000000341,54.8,6.499999999999998,3.0000000000000004,11.096474549980632,0,43.5
15,3,GO,1.2699999999999796,54.8,6.8199999999999985,3.2000000000000006,10.242203504229268,0,43.18
16,3,GO,1.3500000000000103,54.8,7.159999999999998,3.400000000000001,9.66921914248578,0,42.84
17,3,GO,1.4299999999999984,54.8,7.519999999999999,3.600000000000001,9.2509062581145,0,42.480000000000004
18,3,GO,1.510000000000029,54.8,7.899999999999999,3.800000000000001,8.501731187084234,0,42.1
19,3,GO,1.5899999999999745,54.8,8.299999999999999,4.000000000000001,7.901213143755844,0,41.7
20,3,GO,1.6700000000000053,54.8,8.719999999999999,4.200000000000001,8.057615059896133,0,41.28
21,3,GO,1.7499999999999933,54.8,9.159999999999998,4.400000000000001,7.277136812632216,0,40.84
22,3,GO,1.830000000000024,54.8,9.62,4.600000000000001,7.114916217987221,0,40.38
23,3,GO,1.9099999999999695,54.8,10.1,4.800000000000002,6.399448781210663,0,39.9
24,3,GO,1.9900000000000002,54.8,10.6,5.000000000000002,6.208868131380774,0,39.4
25,3,GO,2.070000000000031,54.8,11.12,5.200000000000002,6.193060428331313,0,38.88
26,3,GO,2.1499999999999764,54.8,11.66,5.400000000000002,5.855915798396716,0,38.34
27,3,GO,2.230000000000007,54.8,12.22,5.600000000000002,5.418937158846199,0,37.78
28,3,GO,2.310000000000038,54.8,12.800000000000002,5.8000000000000025,4.948293002692058,0,37.2
29,3,GO,2.3899999999999832,54.8,13.4,6.000000000000003,4.9726822096210785,0,36.6
30,3,GO,2.470000000000014,54.8,14.020000000000001,6.200000000000003,4.79237320593298,0,35.98
31,3,GO,2.5499999999999594,54.8,14.660000000000002,6.400000000000003,4.466752431033358,0,35.339999999999996
32,3,GO,2.62999999999999,54.8,15.32,6.600000000000003,4.0732960486928205,0,34.68
33,3,GO,2.710000000000021,54.8,16.000000000000004,6.800000000000003,3.957525617139225,0,34.0
34,3,GO,2.790000000000009,54.8,16.700000000000003,7.0000000000000036,3.722477268347952,0,33.3
35,3,GO,2.869999999999997,54.8,17.42,7.200000000000004,3.5153116566949256,0,32.58
36,3,GO,2.949999999999985,54.8,18.160000000000004,7.400000000000004,3.3638659446761445,0,31.839999999999996
37,3,GO,3.0300000000000584,54.8,18.920000000000005,7.600000000000004,3.1643331262517043,0,31.08
38,3,GO,3.110000000000004,54.8,19.700000000000006,7.800000000000004,3.159734321843482,0,30.299999999999997
39,3,GO,3.1899999999999493,54.8,20.500000000000007,8.000000000000004,3.0043448704595392,0,29.499999999999993
40,3,GO,0.27000000000002267,54.8,21.320000000000007,8.200000000000003,2.9201672469163937,0,28.679999999999993
41,3,GO,0.3500000000000103,54.8,22.160000000000007,8.400000000000002,2.6882491036754406,0,27.83999999999999
42,3,GO,0.4299999999999984,54.8,23.020000000000007,8.600000000000001,2.498263578698921,0,26.97999999999999
43,3,GO,0.5099999999999865,54.8,23.900000000000006,8.8,2.378560377408129,0,26.099999999999994
44,3,GO,0.5900000000000172,54.8,24.8,9.0,2.252445130660589,0,25.199999999999996
45,3,GO,0.6699999999999626,54.8,25.720000000000006,9.2,2.1529058887472154,0,24.279999999999994
46,3,GO,0.7500000000000355,54.8,26.66000000000001,9.399999999999999,2.125467922300455,0,23.33999999999999
47,3,GO,0.829999999999981,54.8,27.620000000000008,9.599999999999998,1.9028294993343315,0,22.379999999999995
48,3,GO,0.9100000000000117,54.8,28.60000000000001,9.799999999999997,1.8050267622598737,0,21.39999999999999
49,3,GO,0.9899999999999998,54.8,29.60000000000001,9.999999999999996,1.664443352879419,0,20.39999999999999
50,3,GO,1.070000000000009,54.8,30.620000000000008,10.199999999999996,1.5668849014954331,0,19.379999999999992
51,3,GO,1.149999999999997,54.8,31.660000000000007,10.399999999999995,1.440535169534653,0,18.339999999999993
52,3,GO,1.2299999999999849,54.8,32.720000000000006,10.599999999999994,1.3959344889522027,0,17.279999999999994
53,3,GO,1.3099999999999943,54.8,33.800000000000004,10.799999999999994,1.2474288972480507,0,16.199999999999996
54,3,GO,1.3900000000000037,54.8,34.900000000000006,10.999999999999993,1.172347452975965,0,15.099999999999994
55,0,STOP,1.2400000000000078,54.8,35.97500000000001,10.749999999999993,1.093777834791524,0,14.024999999999991
56,4,ABORT,0.5799999999999892,54.8,37.010000000000005,10.349999999999993,1.0211803298886726,0,12.989999999999995
57,4,ABORT,0.46999999999999176,54.8,38.005,9.949999999999992,0.9620502756620012,0,11.994999999999997
58,4,ABORT,0.3099999999999943,54.8,38.96,9.549999999999992,0.8738776142488193,0,11.04
59,4,ABORT,0.1499999999999968,54.8,39.875,9.149999999999991,0.7695512488795625,0,10.125
60,4,ABORT,-0.010000000000000675,54.8,40.75,8.749999999999991,0.7041125076160833,0,9.25
61,4,ABORT,-0.16999999999999815,54.8,41.585,8.34999999999999,0.6854951319597475,0,8.415
62,4,ABORT,-0.32999999999999563,54.8,42.38,7.94999999999999,0.5921475339953818,0,7.619999999999997
63,4,ABORT,-0.4899999999999931,54.8,43.135000000000005,7.54999999999999,0.5372925758506213,0,6.864999999999995
64,4,ABORT,-0.6500000000000119,54.8,43.85,7.14999999999999,0.4735489632870408,0,6.149999999999999
65,4,ABORT,-0.8100000000000094,54.8,44.525,6.749999999999989,0.3974231905104167,0,5.475000000000001
66,4,ABORT,-0.9700000000000069,54.8,45.16,6.349999999999989,0.21451379123407283,0,4.840000000000003
67,4,ABORT,-1.1300000000000043,54.8,45.754999999999995,5.949999999999989,0.15192193657304173,0,4.2450000000000045
68,4,ABORT,-1.2900000000000018,54.8,46.309999999999995,5.549999999999988,0.0,0,3.690000000000005
69,4,ABORT,-1.4499999999999993,54.8,46.824999999999996,5.149999999999988,0.0,0,3.1750000000000043
70,4,ABORT,-1.6099999999999968,54.8,47.3,4.749999999999988,0.0,0,2.700000000000003
71,4,ABORT,-1.7699999999999942,54.8,47.735,4.349999999999987,0.0,0,2.2650000000000006
72,4,ABORT,-1.930000000000013,54.8,48.129999999999995,3.9499999999999873,0.0,0,1.8700000000000045
73,4,ABORT,-2.0900000000000105,54.8,48.48499999999999,3.5499999999999874,0.0,0,1.5150000000000077
74,4,ABORT,-2.250000000000008,54.8,48.79999999999999,3.1499999999999875,0.16202039937006055,0,1.20000000000001
75,4,ABORT,-2.4100000000000055,54.8,49.07499999999999,2.7499999999999876,0.2368234888825921,0,0.9250000000000114
76,3,GO,8.320000000000041,54.83803995536047,49.36728073898017,2.9499999999999877,0.37692564689074,0,0.0
