# scenario=1b, ego_maneuver=stem_right, seed=3884, episode_idx=95, terminal_step=175, collision_agent_id=unknown
step,ego_x,ego_y,ego_psi,ego_v,ego_a,action,reward,min_ttc,n_agents,collision_agent_id,terminal_flag
0,54.8,4.119999999999999,0.0,0.2,2.0,3,0.0700000000000307,10.0,0,none,0
1,54.8,4.159999999999999,0.0,0.4,2.0,3,0.14999999999997612,10.0,0,none,0
2,54.8,4.219999999999999,0.0,0.6000000000000001,2.0000000000000004,3,0.23000000000000684,10.0,0,none,0
3,54.8,4.299999999999999,0.0,0.8,1.9999999999999996,3,0.3099999999999949,10.0,0,none,0
4,54.8,4.399999999999999,0.0,1.0,1.9999999999999996,3,0.39000000000002555,10.0,0,none,0
5,54.8,4.519999999999999,0.0,1.2,1.9999999999999996,3,0.469999999999971,10.0,0,none,0
6,54.8,4.659999999999998,0.0,1.4,1.9999999999999996,3,0.5500000000000017,10.0,0,none,0
7,54.8,4.8199999999999985,0.0,1.5999999999999999,1.9999999999999996,3,0.6299999999999898,10.0,0,none,0
8,54.8,4.999999999999998,0.0,1.7999999999999998,1.9999999999999996,3,0.7100000000000204,28.85698135624921,1,none,0
9,54.8,5.199999999999998,0.0,1.9999999999999998,1.9999999999999996,3,0.7899999999999658,23.02877183846817,1,none,0
10,54.8,5.419999999999998,0.0,2.1999999999999997,1.9999999999999996,3,0.8699999999999966,20.770399014538363,1,none,0
11,54.8,5.659999999999998,0.0,2.4,2.0000000000000018,3,0.9500000000000273,19.49107917682442,1,none,0
12,54.8,5.919999999999998,0.0,2.6,2.0000000000000018,3,1.0299999999999727,18.23424802529573,1,none,0
13,54.8,6.1999999999999975,0.0,2.8000000000000003,2.0000000000000018,3,1.1100000000000034,16.6241343169916,1,none,0
14,54.8,6.499999999999998,0.0,3.0000000000000004,2.0000000000000018,3,1.1900000000000341,15.85119010089984,1,none,0
15,54.8,6.8199999999999985,0.0,3.2000000000000006,2.0000000000000018,3,1.2699999999999796,14.790715167714415,1,none,0
16,54.8,7.159999999999998,0.0,3.400000000000001,2.0000000000000018,3,1.3500000000000103,13.902429861648981,1,none,0
17,54.8,7.519999999999999,0.0,3.600000000000001,2.0000000000000018,3,1.4299999999999984,13.127750704507829,1,none,0
18,54.8,7.899999999999999,0.0,3.800000000000001,2.0000000000000018,3,1.510000000000029,12.328179891312312,1,none,0
19,54.8,8.299999999999999,0.0,4.000000000000001,1.9999999999999973,3,1.5899999999999745,11.6237878171756,1,none,0
20,54.8,8.719999999999999,0.0,4.200000000000001,2.0000000000000018,3,1.6700000000000053,11.143424252860143,1,none,0
21,54.8,9.159999999999998,0.0,4.400000000000001,2.0000000000000018,3,1.7499999999999933,10.49361908319942,1,none,0
22,54.8,9.62,0.0,4.600000000000001,2.0000000000000018,3,1.830000000000024,10.011447760229954,1,none,0
23,54.8,10.1,0.0,4.800000000000002,2.0000000000000018,3,1.9099999999999695,9.451097196724204,1,none,0
24,54.8,10.6,0.0,5.000000000000002,2.0000000000000018,3,1.9900000000000002,9.043787252231084,1,none,0
25,54.8,11.12,0.0,5.200000000000002,2.0000000000000018,3,2.070000000000031,8.599943615378056,1,none,0
26,54.8,11.66,0.0,5.400000000000002,2.0000000000000018,3,2.1499999999999764,7.359527221529355,2,none,0
27,54.8,12.22,0.0,5.600000000000002,2.0000000000000018,3,2.230000000000007,6.3516518235651045,2,none,0
28,54.8,12.800000000000002,0.0,5.8000000000000025,2.0000000000000018,3,2.310000000000038,5.963073869231968,2,none,0
29,54.8,13.4,0.0,6.000000000000003,2.0000000000000018,3,2.3899999999999832,5.642782159491484,2,none,0
30,54.8,14.020000000000001,0.0,6.200000000000003,2.0000000000000018,3,2.470000000000014,5.376154176512647,2,none,0
31,54.8,14.660000000000002,0.0,6.400000000000003,2.0000000000000018,3,2.5499999999999594,5.094321647964659,2,none,0
32,54.8,15.32,0.0,6.600000000000003,2.0000000000000018,3,2.62999999999999,4.8306448186547515,2,none,0
33,54.8,16.000000000000004,0.0,6.800000000000003,2.0000000000000018,3,2.710000000000021,4.638399355186237,2,none,0
34,54.8,16.700000000000003,0.0,7.0000000000000036,2.0000000000000018,3,2.790000000000009,4.39140172308639,2,none,0
35,54.8,17.42,0.0,7.200000000000004,2.0000000000000018,3,2.869999999999997,4.282420964574383,2,none,0
36,54.8,18.160000000000004,0.0,7.400000000000004,2.0000000000000018,3,2.949999999999985,3.9960719719606463,2,none,0
37,54.8,18.920000000000005,0.0,7.600000000000004,2.0000000000000018,3,3.0300000000000584,3.8459334849966273,2,none,0
38,54.8,19.640000000000004,0.0,7.200000000000005,-3.9999999999999947,4,2.319999999999997,3.9654563120623116,2,none,0
39,54.8,20.320000000000004,0.0,6.800000000000004,-4.0000000000000036,4,2.209999999999978,4.061750430717516,2,none,0
40,54.8,20.960000000000004,0.0,6.400000000000004,-4.0000000000000036,4,2.050000000000002,4.190192108847,2,none,0
41,54.8,21.575000000000006,0.0,6.150000000000004,-2.5,0,2.400000000000028,4.301763363228495,2,none,0
42,54.8,22.210000000000008,0.0,6.350000000000004,2.0000000000000018,3,2.4799999999999733,3.9893111510527333,2,none,0
43,54.8,22.86500000000001,0.0,6.550000000000004,2.0000000000000018,3,2.610000000000004,3.815118847175108,2,none,0
44,54.8,23.54000000000001,0.0,6.750000000000004,2.0000000000000018,3,2.6900000000000346,3.6622360532257145,2,none,0
45,54.8,24.17500000000001,0.0,6.350000000000005,-3.9999999999999947,4,1.9799999999999731,3.7329422789494155,2,none,0
46,54.8,24.77000000000001,0.0,5.950000000000005,-4.0000000000000036,4,1.869999999999997,3.7798791960295546,2,none,0
47,54.8,25.34000000000001,0.0,5.700000000000005,-2.5,0,2.21999999999998,3.9200482238507868,2,none,0
48,54.8,25.885000000000012,0.0,5.450000000000005,-2.5,0,2.1700000000000483,3.9181176524378434,2,none,0
49,54.8,26.40500000000001,0.0,5.200000000000005,-2.5,0,2.0699999999999887,4.164783186899958,2,none,0
50,54.8,26.900000000000013,0.0,4.950000000000005,-2.5,0,1.9699999999999716,4.158749865089291,2,none,0
51,54.8,27.415000000000013,0.0,5.150000000000005,2.0000000000000018,3,2.000000000000045,3.9375198341654998,2,none,0
52,54.8,27.95000000000001,0.0,5.350000000000005,2.0000000000000018,3,2.12999999999999,3.629419899914736,2,none,0
53,54.8,28.460000000000015,0.0,5.100000000000005,-2.5,0,1.9799999999999944,3.688346686879304,2,none,0
54,54.8,28.94500000000001,0.0,4.850000000000005,-2.5,0,1.9299999999999988,3.8306190994235902,2,none,0
55,54.8,29.405000000000015,0.0,4.600000000000005,-2.5,0,1.8300000000000032,3.9166377721536705,2,none,0
56,54.8,29.840000000000018,0.0,4.350000000000005,-2.5,0,1.7300000000000073,4.095582984602432,2,none,0
57,54.8,30.29500000000002,0.0,4.550000000000005,2.0000000000000018,3,1.7600000000000167,3.802335399818514,2,none,0
58,54.8,30.770000000000024,0.0,4.750000000000005,2.0000000000000018,3,1.8900000000000048,3.6200431294662865,2,none,0
59,54.8,31.265000000000022,0.0,4.9500000000000055,2.0000000000000018,3,1.9699999999999929,3.3010374545303236,2,none,0
60,54.8,31.78000000000002,0.0,5.150000000000006,2.0000000000000018,3,2.0500000000000025,3.169020218569853,2,none,0
61,54.8,32.270000000000024,0.0,4.900000000000006,-2.5,0,1.9000000000000066,3.1124926695988906,2,none,0
62,54.8,32.73500000000003,0.0,4.650000000000006,-2.5,0,1.8500000000000107,3.2900375630097747,2,none,0
63,54.8,33.175000000000026,0.0,4.400000000000006,-2.5,0,1.7499999999999938,3.396309888988147,2,none,0
64,54.8,33.590000000000025,0.0,4.150000000000006,-2.5,0,1.6499999999999981,3.409546576897567,2,none,0
65,54.8,33.980000000000025,0.0,3.9000000000000057,-2.5,0,1.5500000000000023,3.5551784391443895,2,none,0
66,54.8,34.34500000000003,0.0,3.6500000000000057,-2.5,0,1.4500000000000066,3.754794601953678,2,none,0
67,54.8,34.68500000000003,0.0,3.4000000000000057,-2.5,0,1.3500000000000107,3.888287154038473,2,none,0
68,54.8,35.00000000000003,0.0,3.1500000000000057,-2.5,0,1.2499999999999938,4.148531302734138,2,none,0
69,54.8,35.29000000000003,0.0,2.9000000000000057,-2.5,0,1.1499999999999981,4.366008226073154,2,none,0
70,54.8,35.55500000000003,0.0,2.6500000000000057,-2.5,0,1.0500000000000023,4.93367638869218,2,none,0
71,54.8,35.79500000000003,0.0,2.4000000000000057,-2.5,0,0.9500000000000065,5.223987678852831,2,none,0
72,54.8,36.01000000000003,0.0,2.1500000000000057,-2.5,0,0.8500000000000107,5.670000620807007,2,none,0
