iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort,distill_loss_optimality_component,distill_loss_safety_component
1,4096,650.6288163661957,650.6234817504883,18.127763509750366,312.9359176158905,312.9012699127197,1.0425271060317756,-0.024701224640011787,0.619828999042511,1.5073652267456055,1.846198320388794,0.0,0.07815966755151749,-187.988525390625,500.0,8,0,0,8,0,0.28857421875,0.181396484375,0.22412109375,0.1796875,0.126220703125,0.1943873167037964,0.06967172026634216
2,8192,1658.158882856369,633.4033908843994,16.766262531280518,302.71222448349,302.6795756816864,22.917011810839178,0.013665646314620972,18.29070472717285,1.435227632522583,19.61709213256836,0.0777767077088356,0.6736676692962646,1652.6153564453125,466.25,8,1,0,7,0,0.15625,0.317626953125,0.224365234375,0.2490234375,0.052734375,3.0930607318878174,2.03543758392334
3,12288,2278.7955253124237,620.6350483894348,18.684134006500244,245.39676451683044,245.3675892353058,156.60932491347194,-0.009409446269273758,24.45208740234375,1.4389126300811768,659.3179321289062,0.0,0.30306053161621094,3102.03759765625,487.375,8,2,0,6,0,0.1591796875,0.2724609375,0.174560546875,0.3115234375,0.082275390625,0.7357712984085083,0.789232611656189
4,16384,2955.4042723178864,676.6007649898529,17.997653484344482,306.1845624446869,306.1524701118469,88.7944937646389,-0.04619899392127991,83.09566497802734,1.4483835697174072,1.9998610019683838,0.0,5.34505558013916,2859.1123046875,379.7,10,6,0,4,0,0.141357421875,0.280029296875,0.156494140625,0.328857421875,0.09326171875,5.851633548736572,6.0495405197143555
5,20480,3604.034989833832,648.6208069324493,18.2858624458313,274.0962586402893,274.0644748210907,124.04972180947661,-0.03813586011528969,96.99939727783203,1.401078462600708,2.010688304901123,0.49978992342948914,26.58636474609375,2232.72705078125,259.3333333333333,15,14,0,1,0,0.127197265625,0.2568359375,0.14453125,0.358642578125,0.11279296875,25.45335578918457,38.76323699951172
6,24576,4236.439908742905,632.3862867355347,18.155396223068237,323.8479793071747,323.8162009716034,126.92319353371859,0.07454545050859451,85.81415557861328,1.4816964864730835,2.8945798873901367,0.6541758179664612,40.32474136352539,1559.0772705078125,329.09090909090907,11,7,0,4,0,0.135009765625,0.249267578125,0.15478515625,0.296630859375,0.164306640625,55.53514862060547,51.34729766845703
7,28672,4867.310307502747,630.8607745170593,17.75723958015442,253.82022643089294,253.78282141685486,284.5472852766514,0.13692644238471985,66.89127349853516,1.4784374237060547,953.6943359375,0.6037617921829224,26.659465789794922,3906.19580078125,400.6,10,6,0,4,0,0.1787109375,0.220947265625,0.18505859375,0.309326171875,0.10595703125,33.5037841796875,27.516162872314453
8,32768,5507.765442848206,640.43710064888,18.498435020446777,318.94827103614807,318.92171716690063,71.60260252058507,0.21827678382396698,50.96742630004883,1.5305734872817993,14.482544898986816,0.34001800417900085,17.4523868560791,3998.885498046875,426.77777777777777,9,4,0,5,0,0.16259765625,0.251220703125,0.20068359375,0.273681640625,0.11181640625,34.288841247558594,15.081759452819824
9,36864,6183.5259046554565,675.7524611949921,18.88774800300598,305.2266013622284,305.1916592121124,167.2822778955102,-0.10065021365880966,108.07223510742188,1.48390793800354,2.2340049743652344,0.5267354249954224,58.758544921875,3997.815185546875,377.2,10,6,0,4,0,0.116455078125,0.279541015625,0.226806640625,0.271240234375,0.10595703125,85.88810729980469,52.75695037841797
10,40960,6792.121348142624,608.5796785354614,17.872857570648193,295.99843311309814,295.9641480445862,123.48242552280426,0.06731104850769043,79.87444305419922,1.4772919416427612,2.686366558074951,1.179233431816101,42.76755142211914,2745.105712890625,325.75,12,9,0,3,0,0.124755859375,0.22802734375,0.224853515625,0.305908203125,0.116455078125,80.39201354980469,49.17766571044922
11,45056,7466.750461339951,674.6069965362549,17.798937797546387,305.01163244247437,304.97468304634094,109.9876343138516,-0.008789073675870895,49.44141387939453,1.5022130012512207,2.051159381866455,1.700488805770874,59.80467987060547,1739.726318359375,421.6666666666667,9,4,0,5,0,0.147705078125,0.2041015625,0.208251953125,0.271240234375,0.168701171875,72.9048843383789,64.26704406738281
12,49152,8265.313706874847,631.7459745407104,18.500142335891724,281.07230377197266,281.0356855392456,16.534180860221387,-0.03320176154375076,9.119100570678711,1.5120956897735596,2.104504108428955,0.5869879722595215,6.9099836349487305,2462.63720703125,374.6,10,9,0,1,0,0.173828125,0.229248046875,0.1884765625,0.274658203125,0.1337890625,18.080678939819336,5.284440994262695
13,53248,8919.863232374191,654.5193910598755,19.189844369888306,296.45524191856384,296.42174649238586,83.50564829111099,0.009111717343330383,43.15537643432617,1.4729912281036377,1.8648879528045654,0.1284455507993698,39.9424934387207,4506.6533203125,430.22222222222223,9,5,0,4,0,0.20068359375,0.188720703125,0.2138671875,0.28125,0.115478515625,45.96344757080078,40.65691375732422
14,57344,9594.872298955917,674.9920420646667,18.29658794403076,309.96610474586487,309.9288341999054,124.29203665927052,0.04659842327237129,93.6805648803711,1.5014785528182983,4.208681106567383,0.4823314845561981,29.626670837402344,2035.1754150390625,315.6666666666667,12,10,0,2,0,0.161865234375,0.2216796875,0.19091796875,0.31787109375,0.107666015625,54.8292121887207,31.606834411621094
15,61440,10223.371720314026,628.4834141731262,18.26309323310852,306.99894618988037,306.96396136283875,90.69902291893959,0.16557607054710388,59.153324127197266,1.5123250484466553,2.3152732849121094,0.4282835125923157,30.831411361694336,2551.6787109375,417.55555555555554,9,6,0,3,0,0.20947265625,0.208251953125,0.20556640625,0.27392578125,0.102783203125,47.769691467285156,26.248003005981445
16,65536,10880.070856809616,656.6781229972839,18.6316921710968,294.46275901794434,294.4293055534363,44.39534737989307,0.04796026274561882,15.300321578979492,1.5063304901123047,92.12065124511719,0.3735208213329315,10.54823112487793,1920.8658447265625,413.3333333333333,9,7,0,2,0,0.220458984375,0.193603515625,0.190185546875,0.278076171875,0.11767578125,30.771686553955078,8.734678268432617
17,69632,11536.798299789429,656.7115607261658,17.60909390449524,300.76832032203674,300.734815120697,172.0989272788167,0.11641640216112137,100.48680114746094,1.4762777090072632,2.497843027114868,0.0745471715927124,70.98123168945312,4302.05224609375,386.4,10,6,0,4,0,0.171630859375,0.184814453125,0.224609375,0.304443359375,0.114501953125,79.77261352539062,71.96139526367188
18,73728,12183.419991016388,646.6047129631042,18.24734091758728,306.5396535396576,306.50494480133057,95.94018717706203,0.14498518407344818,66.49996185302734,1.4971978664398193,7.487982273101807,0.8489419221878052,27.62785530090332,1670.005126953125,292.42857142857144,14,13,0,1,0,0.197509765625,0.17138671875,0.18994140625,0.3291015625,0.112060546875,58.506832122802734,26.195337295532227
19,77824,12818.489341497421,635.0361115932465,17.960495471954346,281.49380254745483,281.45627999305725,51.99919932931662,0.0362110361456871,25.06012535095215,1.447396993637085,2.3601489067077637,0.8500733971595764,26.260818481445312,2097.478271484375,359.54545454545456,11,8,0,3,0,0.209228515625,0.1826171875,0.189697265625,0.322265625,0.09619140625,43.45138931274414,25.84103775024414
20,81920,13495.825926542282,677.3221576213837,18.397027015686035,312.14320969581604,312.10524725914,22.78802110850811,-0.002415791153907776,12.64144229888916,1.460509181022644,2.383349895477295,0.21135073900222778,9.630054473876953,2393.094482421875,383.8,10,7,0,3,0,0.182373046875,0.182861328125,0.214111328125,0.30126953125,0.119384765625,15.811904907226562,9.561847686767578
21,86016,14105.971683740616,610.1241188049316,19.01394248008728,291.07047843933105,291.03435349464417,45.05702321827412,0.0022877007722854614,24.41252899169922,1.4651657342910767,8.120819091796875,0.5417306423187256,18.909696578979492,2270.968994140625,404.55555555555554,9,6,0,3,0,0.228515625,0.177734375,0.205078125,0.291015625,0.09765625,28.173263549804688,19.369892120361328
22,90112,15161.925362348557,648.0080077648163,17.796167612075806,280.83269119262695,280.79918456077576,109.33308315053583,-0.030074503272771835,56.307369232177734,1.459956169128418,92.66474914550781,0.0,34.5228385925293,4463.42333984375,464.125,8,2,0,6,0,0.2275390625,0.18017578125,0.196533203125,0.297607421875,0.09814453125,44.69621658325195,33.28718566894531
23,94208,15851.442101955414,689.5099680423737,18.04885172843933,342.658399105072,342.62121653556824,177.3184435032308,0.04601138457655907,67.53826141357422,1.5036901235580444,409.8093566894531,0.3162793219089508,27.709043502807617,2615.126220703125,370.54545454545456,11,8,0,3,0,0.2021484375,0.198974609375,0.16796875,0.330078125,0.100830078125,42.41592788696289,25.855274200439453
24,98304,16519.26022028923,667.7952210903168,17.35045599937439,308.8255739212036,308.7872908115387,77.64688493087888,-0.055249761790037155,61.35204315185547,1.4444756507873535,2.151334285736084,0.16138118505477905,15.887548446655273,2820.6865234375,367.90909090909093,11,8,0,3,0,0.212646484375,0.19140625,0.189208984375,0.309814453125,0.096923828125,20.78823471069336,15.748229026794434
25,102400,17182.18007993698,662.8968906402588,17.147138357162476,323.5776605606079,323.5418748855591,216.60309914946558,0.12752684950828552,17.564634323120117,1.4557609558105469,930.4987182617188,0.10087919235229492,12.79101848602295,3478.56201171875,398.0,10,5,0,5,0,0.2392578125,0.18115234375,0.19287109375,0.29052734375,0.09619140625,27.226999282836914,14.539772033691406
26,106496,17873.366331338882,691.1772406101227,17.968162775039673,314.9150171279907,314.88440561294556,68.15112478286028,-0.006904415786266327,44.15485382080078,1.4822920560836792,2.06015682220459,1.131093144416809,23.364925384521484,829.8609619140625,344.54545454545456,11,9,0,2,0,0.24658203125,0.177734375,0.1904296875,0.29638671875,0.0888671875,45.01445388793945,18.0775146484375
27,110592,18541.631353616714,668.2489354610443,19.1358003616333,323.95745635032654,323.9206371307373,56.04082295894623,0.08265101909637451,29.898082733154297,1.4643337726593018,2.01942777633667,0.9308786392211914,25.470027923583984,3371.9794921875,347.6363636363636,11,7,0,4,0,0.216064453125,0.198974609375,0.169921875,0.312744140625,0.102294921875,40.79008483886719,26.627304077148438
28,114688,19226.876559972763,685.2344076633453,18.421615839004517,303.4923610687256,303.4606454372406,101.20875803530217,0.09642280638217926,44.40714645385742,1.4721012115478516,128.896240234375,0.4182206392288208,30.842296600341797,3086.87353515625,427.77777777777777,9,4,0,5,0,0.2783203125,0.1787109375,0.164794921875,0.281494140625,0.0966796875,43.46601104736328,28.247005462646484
29,118784,19872.067493915558,645.1826803684235,18.59510636329651,302.53175234794617,302.5037281513214,96.88933203220367,0.05130505561828613,66.92076873779297,1.4779210090637207,3.4429543018341064,0.8164364099502563,29.065380096435547,2925.148193359375,352.8181818181818,11,9,0,2,0,0.19970703125,0.187744140625,0.179931640625,0.339111328125,0.093505859375,61.00285339355469,24.812332153320312
30,122880,20594.377070903778,722.2934281826019,18.543200492858887,327.1212582588196,327.08537220954895,111.22349597215653,-0.01294136792421341,65.21595764160156,1.4463396072387695,39.59552764892578,0.10337124019861221,38.0806999206543,3374.806884765625,354.90909090909093,11,6,0,5,0,0.210693359375,0.1884765625,0.153564453125,0.330810546875,0.116455078125,42.6701545715332,37.90509033203125
31,126976,21244.693595647812,650.3035833835602,18.771160125732422,320.8268783092499,320.7937202453613,99.31652935743332,0.06910735368728638,67.03121185302734,1.452744722366333,10.739424705505371,0.13200843334197998,30.04192352294922,3819.3916015625,366.3636363636364,11,6,0,5,0,0.201416015625,0.194580078125,0.150390625,0.3505859375,0.10302734375,33.746795654296875,30.66952896118164
32,131072,22090.364753246307,668.365870475769,18.1637225151062,292.6962740421295,292.6666057109833,68.25495804250241,0.10782943665981293,44.640377044677734,1.4528976678848267,10.154619216918945,0.05903971195220947,21.464019775390625,2767.533935546875,372.09090909090907,11,8,0,3,0,0.226806640625,0.178466796875,0.159912109375,0.323486328125,0.111328125,28.813796997070312,21.714033126831055
33,135168,22741.996670484543,651.6172420978546,18.470850944519043,300.8836102485657,300.84764313697815,154.4672671288252,0.10068409144878387,73.17687225341797,1.4534337520599365,1.9474540948867798,0.28653836250305176,80.74291229248047,4154.99609375,323.0833333333333,12,10,0,2,0,0.241455078125,0.219482421875,0.145751953125,0.304443359375,0.0888671875,88.32209777832031,79.14571380615234
34,139264,23439.866501569748,697.8430659770966,18.08371090888977,328.12969422340393,328.0959367752075,122.42087723910808,0.06731943786144257,69.19010925292969,1.4457002878189087,8.93641471862793,0.5957900285720825,51.25700759887695,1883.1939697265625,405.6666666666667,9,4,0,5,0,0.245361328125,0.2138671875,0.15478515625,0.255859375,0.130126953125,59.607177734375,51.52914810180664
