iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,482.87246656417847,482.8641560077667,24.40931463241577,41.913708448410034,0.0,9.091961823403835,0.020921669900417328,9.071040153503418,1.5333685874938965,0.0,0.0,0.0,-1591.533447265625,500.0,8,0,0,8,0,0.128173828125,0.199462890625,0.177001953125,0.20751953125,0.287841796875
2,8192,1517.3196222782135,490.7180664539337,24.828961610794067,41.06662702560425,0.0,5.687944367527962,-0.10974888503551483,5.797693252563477,1.516120195388794,0.0,0.0,0.0,-2512.8193359375,500.0,8,0,0,8,0,0.12255859375,0.207275390625,0.16357421875,0.239501953125,0.26708984375
3,12288,1997.3551099300385,480.03532814979553,24.944294452667236,39.126248598098755,0.0,5.924130707979202,-0.062056273221969604,5.986186981201172,1.5116511583328247,0.0,0.0,0.0,-2922.049560546875,500.0,8,0,0,8,0,0.15625,0.205078125,0.187744140625,0.208740234375,0.2421875
4,16384,2469.0089271068573,471.65367579460144,24.45882773399353,38.8636519908905,0.0,5.5688120275735855,-0.11505161225795746,5.683863639831543,1.5201551914215088,0.0,0.0,0.0,-3576.47021484375,500.0,8,0,0,8,0,0.123291015625,0.2080078125,0.211669921875,0.22265625,0.234375
5,20480,2921.6832704544067,452.6742150783539,24.83754849433899,37.81291937828064,0.0,23.00812492892146,0.0007091574370861053,23.007415771484375,1.5271837711334229,0.0,0.0,0.0,-3755.841552734375,500.0,8,0,0,8,0,0.1337890625,0.21484375,0.211181640625,0.219482421875,0.220703125
6,24576,3384.5096068382263,462.8261749744415,25.148317098617554,40.066855907440186,0.0,22.51119914278388,-0.036576125770807266,22.547775268554688,1.5171154737472534,0.0,0.0,0.0,-3599.330078125,500.0,8,0,0,8,0,0.1298828125,0.22412109375,0.208251953125,0.227783203125,0.2099609375
7,28672,3850.112541913986,465.60276079177856,24.640238285064697,38.22743105888367,0.0,21.821382232010365,0.03859872370958328,21.78278350830078,1.4832032918930054,0.0,0.0,0.0,-2724.24853515625,500.0,8,0,0,8,0,0.12890625,0.23974609375,0.2197265625,0.238525390625,0.173095703125
8,32768,4287.516144752502,437.40342593193054,25.406733751296997,38.86053228378296,0.0,56.665864028036594,0.08049110323190689,56.58537292480469,1.4803475141525269,0.0,0.0,0.0,-2783.6796875,500.0,8,0,0,8,0,0.12451171875,0.2275390625,0.23828125,0.262451171875,0.147216796875
9,36864,4747.088541269302,459.57222604751587,25.163746118545532,38.58566451072693,0.0,125.62322025001049,-0.18966121971607208,125.81288146972656,1.4742305278778076,0.0,0.0,0.0,-697.9332885742188,500.0,8,0,0,8,0,0.15478515625,0.229248046875,0.218994140625,0.256591796875,0.140380859375
10,40960,5217.608496904373,470.5198142528534,25.872184991836548,38.46711707115173,0.0,27.443230986595154,0.1455472707748413,27.297683715820312,1.4674201011657715,0.0,0.0,0.0,-2843.85595703125,500.0,8,0,0,8,0,0.131591796875,0.22998046875,0.2607421875,0.235595703125,0.14208984375
