step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,122.52111101374526,10,-0.022402796894311905,4.565784454345703,0,0.0,13.632698699819167,0.0,1.5023038387298584,6.603100776672363,0.0,0.0,0.0,0.0,0.07968095690011978,2.1781980991363525,0.0,0.0,0,0.0,0.9836906790733337,0.9836906790733337,0.0,1.0,21.80047035217285,0,0,0,2026.9493923187256
45056,87.9452246479851,10,0.01795254275202751,7.9376630783081055,0,0.0,15.223791818389838,0.0,1.5041518211364746,6.089932918548584,0.0,0.0,0.0,0.0,0.10034074634313583,1.931148886680603,0.0,0.0,0,0.0,0.9687438607215881,0.9687438607215881,857.0398614904843,625.0,16809.091796875,0,0,0,1952.5498867034912
86016,78.01181805646762,10,0.09023376554250717,29.23189926147461,0,0.0,12.185048637378658,0.0,1.5253044366836548,5.520799160003662,0.0,0.0,0.0,0.0,0.08395548909902573,1.8423755168914795,0.0,0.0,0,0.0,0.9686821103096008,0.9686821103096008,236860.2103330125,10000.0,1460053.75,0,0,0,2052.1570377349854
126976,59.82819038941415,10,0.12932920455932617,13.834047317504883,0,0.0,7.859277666952095,0.0,1.469440221786499,4.239299297332764,0.0,0.0,0.0,0.0,0.10460257530212402,1.5769987106323242,0.0,0.0,0,0.0,0.9686565399169922,0.9686565399169922,523314.14453312056,10000.0,2308343.5,0,0,0,2109.5089190006256
167936,54.70990774759961,10,0.0464702732861042,6.120617866516113,0,0.0,10.793062416101646,0.0,1.400019884109497,6.7731218338012695,0.0,0.0,0.0,0.0,0.10678159445524216,2.0962090492248535,0.0,0.0,0,0.0,0.9686019420623779,0.9686019420623779,804226.7781086196,10000.0,5676502.0,0,0,0,2139.1873767375946
208896,46.59009210107954,10,0.0008099116384983063,4.936845779418945,0,0.0,8.792590847974623,0.0,1.4689912796020508,6.931954383850098,0.0,0.0,0.0,0.0,0.10655062645673752,2.240987539291382,0.0,0.0,0,0.0,0.9684625864028931,0.9684625864028931,1110933.623040088,10000.0,7941201.0,0,0,0,2060.407183408737
249856,41.289027968441495,10,0.0371071994304657,15.969779014587402,0,0.0,13.532543894051917,0.0,1.4790878295898438,9.401241302490234,0.0,0.0,0.0,0.0,0.06834497302770615,2.627100706100464,0.0,0.0,0,0.0,0.9682166576385498,0.9682166576385498,1548417.248852544,10000.0,14998961.0,0,0,0,2080.785844564438
290816,37.45485280531384,10,-0.010441027581691742,4.749839782714844,0,0.0,7.773942543742867,0.0,1.4735608100891113,5.983436107635498,0.0,0.0,0.0,0.0,0.0929795503616333,2.022693395614624,0.0,0.0,0,0.0,0.9673808217048645,0.9673808217048645,1950283.45973789,10000.0,11848405.0,0,0,0,2223.4373536109924
331776,42.32349991779956,10,0.13727712631225586,4.393331527709961,0,0.0,8.367067633152145,0.0,1.3902959823608398,6.123429298400879,0.0,0.0,0.0,0.0,0.07161544263362885,2.0159478187561035,0.0,0.0,0,0.0,0.9643804430961609,0.9643804430961609,2261861.187849187,10000.0,14037829.0,0,0,0,1857.1480174064636
372736,45.514605290215734,10,0.07120673358440399,12.320202827453613,0,0.0,7.585706163625096,0.0,1.4021434783935547,5.979269504547119,11.342514991760254,8.393022537231445,3026.272705078125,482.2491760253906,0.08533551543951035,1.9367809295654297,-3.3678650856018066,0.0,128,0.0,1.1625643968582153,2.506450891494751,2535326.742004596,10000.0,15338160.0,8,0,431,1743.0711014270782
