iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,2211.3434777259827,2205.82417011261,1637.5835962295532,198.6968059539795,198.66728043556213,4.1188375279307365,0.11253935098648071,1.4200479984283447,1.4644807577133179,0.0,2.5031018257141113,0.08314835280179977,-594.8316650390625,500.0,8,0,0,8,0,0.406982421875,0.142822265625,0.101318359375,0.190185546875,0.15869140625
2,8192,6458.306468009949,2069.6330828666687,1510.6733894348145,195.84410619735718,195.81626152992249,8.818298928439617,0.00023856759071350098,6.376269817352295,1.4408715963363647,0.0,2.3556504249572754,0.08614011853933334,-1180.753173828125,500.0,8,0,0,8,0,0.38720703125,0.1416015625,0.1416015625,0.226806640625,0.102783203125
3,12288,8561.319825649261,2103.0131664276123,1535.0994811058044,206.88446402549744,206.85261869430542,3.4556763395667076,-0.03492393344640732,1.009546160697937,1.3787407875061035,0.0,2.343931198120117,0.13712291419506073,-1373.887939453125,500.0,8,0,0,8,0,0.399658203125,0.133544921875,0.133544921875,0.244140625,0.089111328125
4,16384,10699.955290317535,2138.6352417469025,1572.5831212997437,192.43910574913025,192.4127058982849,12.327851876616478,0.0691894143819809,9.677145004272461,1.3959568738937378,0.0,2.450777530670166,0.13073992729187012,-1540.9774169921875,500.0,8,0,0,8,0,0.4013671875,0.149169921875,0.130859375,0.243896484375,0.07470703125
5,20480,12729.137460708618,2029.1820256710052,1465.312019109726,199.73012018203735,199.70723390579224,5.5994378589093685,-0.025338944047689438,3.2534799575805664,1.4389084577560425,0.0,2.2536683082580566,0.1176285371184349,-1817.371826171875,500.0,8,0,0,8,0,0.338623046875,0.1689453125,0.15087890625,0.271484375,0.070068359375
6,24576,14745.991547107697,2016.853814125061,1456.9778227806091,187.33512115478516,187.30952215194702,7.04323935508728,0.09277617931365967,4.73883056640625,1.4560449123382568,0.0,2.0990548133850098,0.11257779598236084,-1223.047119140625,500.0,8,0,0,8,0,0.32763671875,0.154052734375,0.150390625,0.26953125,0.098388671875
7,28672,16778.356603860855,2032.3648710250854,1482.2420206069946,185.8660979270935,185.8398196697235,3.9457577355206013,0.026278983801603317,1.4952387809753418,1.440016269683838,0.0,2.3168838024139404,0.10735616832971573,-1413.7747802734375,500.0,8,0,0,8,0,0.3369140625,0.164306640625,0.156005859375,0.248046875,0.0947265625
8,32768,18907.74458384514,2129.387673854828,1577.4888761043549,186.36715173721313,186.33724546432495,5.125130020081997,0.07180538773536682,2.6021852493286133,1.4669039249420166,0.0,2.339961051940918,0.11117833107709885,-882.9332275390625,500.0,8,0,0,8,0,0.304443359375,0.173828125,0.177001953125,0.234619140625,0.110107421875
9,36864,20984.245904922485,2076.5011343955994,1487.0871336460114,210.0774064064026,210.04721927642822,16.50796138495207,-0.016254708170890808,13.945831298828125,1.4082976579666138,0.0,2.4958577156066895,0.08252707868814468,-817.30078125,500.0,8,0,0,8,0,0.31201171875,0.161376953125,0.190185546875,0.251220703125,0.085205078125
10,40960,23090.750247478485,2106.5040423870087,1524.1539330482483,209.04371333122253,209.01251673698425,14.940495371818542,0.18530899286270142,12.200984954833984,1.4570590257644653,0.0,2.4699063301086426,0.08429509401321411,-1026.37939453125,500.0,8,0,0,8,0,0.3154296875,0.143310546875,0.2158203125,0.223388671875,0.10205078125
11,45056,25155.132017612457,2064.3816068172455,1490.0330410003662,200.17059993743896,200.13962578773499,22.79842658340931,0.07952666282653809,20.26530647277832,1.4575918912887573,0.0,2.366939067840576,0.08665437996387482,-769.5984497070312,500.0,8,0,0,8,0,0.24853515625,0.14501953125,0.185546875,0.256103515625,0.164794921875
12,49152,29312.683555841446,2148.660339832306,1561.9469635486603,209.42140221595764,209.3896245956421,27.812901951372623,0.020165808498859406,25.14894676208496,1.4652979373931885,0.0,2.518531560897827,0.12525781989097595,101.67448425292969,500.0,8,0,0,8,0,0.269287109375,0.14990234375,0.204345703125,0.24365234375,0.1328125
13,53248,31388.32783484459,2075.6440966129303,1496.887851715088,204.11925077438354,204.08777022361755,17.123166643083096,0.11340701580047607,14.38644027709961,1.511102557182312,0.0,2.5021815299987793,0.1211378201842308,-1466.4715576171875,500.0,8,0,0,8,0,0.2431640625,0.174072265625,0.192138671875,0.2548828125,0.1357421875
14,57344,33476.490236759186,2088.1620812416077,1498.923905134201,216.02195048332214,215.99369978904724,10.624662809073925,-0.037564538419246674,8.587904930114746,1.4741071462631226,0.0,1.952472448348999,0.12184996902942657,-774.6427612304688,500.0,8,0,0,8,0,0.217529296875,0.161376953125,0.16259765625,0.314208984375,0.144287109375
15,61440,35519.670619010925,2043.1802277565002,1450.6159315109253,217.38551902770996,217.35558414459229,21.589979462325573,0.1145639419555664,19.216398239135742,1.4842569828033447,0.0,2.142057418823242,0.11695986241102219,-238.79791259765625,500.0,8,0,0,8,0,0.236328125,0.201416015625,0.16162109375,0.277587890625,0.123046875
16,65536,37591.12986826897,2071.4589715003967,1479.4598014354706,212.26290607452393,212.23516607284546,39.71770944446325,-0.12408551573753357,37.58769989013672,1.4779303073883057,0.0,2.1550638675689697,0.09903120249509811,-576.85107421875,500.0,8,0,0,8,0,0.204833984375,0.20556640625,0.15478515625,0.286865234375,0.14794921875
17,69632,39741.670855760574,2150.54083275795,1565.287528514862,205.46453094482422,205.43429946899414,7.343352489173412,-0.04579374939203262,5.645077705383301,1.4545402526855469,0.0,1.6567435264587402,0.08732500672340393,-579.5601196289062,500.0,8,0,0,8,0,0.24853515625,0.186767578125,0.16259765625,0.294189453125,0.10791015625
18,73728,41832.28459906578,2090.613456249237,1473.302733182907,232.35506176948547,232.3227186203003,20.389668457210064,-0.026497937738895416,18.41112518310547,1.4571669101715088,0.0,1.9070897102355957,0.0979515016078949,-226.71774291992188,500.0,8,0,0,8,0,0.23779296875,0.193115234375,0.17236328125,0.274169921875,0.12255859375
19,77824,43848.66456699371,2016.3797726631165,1401.4244306087494,219.05585551261902,219.0242657661438,6.658062374219298,0.02853880636394024,4.667935371398926,1.4724305868148804,0.0,1.8638479709625244,0.09774022549390793,664.8634033203125,500.0,8,0,0,8,0,0.2177734375,0.204833984375,0.190673828125,0.275390625,0.111328125
20,81920,46123.78753066063,2275.1226527690887,1678.3547554016113,208.47871780395508,208.44971179962158,10.98946463316679,0.0932355523109436,8.772298812866211,1.4766209125518799,0.0,2.0466248989105225,0.077305369079113,-350.81103515625,500.0,8,0,0,8,0,0.24267578125,0.192626953125,0.195556640625,0.27783203125,0.09130859375
21,86016,48197.954798936844,2074.167076587677,1460.2715170383453,220.5869495868683,220.5549030303955,19.564693808555603,0.13463032245635986,17.515090942382812,1.4904811382293701,0.0,1.810309886932373,0.10466265678405762,91.6031494140625,500.0,8,0,0,8,0,0.207763671875,0.2060546875,0.190185546875,0.291259765625,0.104736328125
