step,episode_return,episode_len,actor_loss,vf_loss,collision_count,collision_rate,mean_ttc,min_ttc,entropy,L_eik,L_bc_raw,L_bc_normalized,L_ground_raw,L_ground_normalized,L_distill,mean_rho,mean_T_succ,mean_T_coll,n_grounding_points,sigma_eik,sigma_bc,sigma_ground,alm_lambda,alm_mu,L_eik_alm_contribution,n_success_buffer,n_collision_buffer,n_intermediate_buffer,train_time_per_iter
4096,100.89681002685165,10,-0.03575371950864792,34.79351043701172,0,0.0,8.05379330167211,0.0,1.5065826177597046,4.260451316833496,0.0,0.0,0.0,0.0,0.06978894770145416,1.5964124202728271,0.0,0.0,0,0.0,0.9792854189872742,0.9792854189872742,0.0,1.0,9.075722694396973,0,0,0,613.4564616680145
45056,76.36683448899367,10,0.03679725527763367,15.568948745727539,0,0.0,7.283463787757257,0.0,1.4964282512664795,5.827810287475586,0.0,0.0,0.0,0.0,0.10705750435590744,1.9042500257492065,0.0,0.0,0,0.0,0.9562970399856567,0.9562970399856567,714.076230365783,625.0,14775.0546875,0,0,0,651.077196598053
86016,53.723231155334,10,0.056875888258218765,8.106123924255371,0,0.0,8.903576655362556,0.0,1.4852452278137207,3.8829402923583984,0.0,0.0,0.0,0.0,0.09021616727113724,1.5465402603149414,0.0,0.0,0,0.0,0.9562134146690369,0.9562134146690369,170384.05326079158,10000.0,736977.1875,0,0,0,589.5403056144714
126976,62.353998713087435,10,0.17335444688796997,23.45465660095215,0,0.0,7.484001764167067,0.0,1.490212321281433,6.302087306976318,0.0,0.0,0.0,0.0,0.0803319588303566,2.057661771774292,0.0,0.0,0,0.0,0.9561803340911865,0.9561803340911865,418480.7058691564,10000.0,2835883.5,0,0,0,626.2199337482452
167936,64.89392371001244,10,0.052566856145858765,34.41398620605469,0,0.0,13.631389796355915,0.0,1.502329707145691,8.286011695861816,1.5163507461547852,1.6513047218322754,1857.7041015625,1546.4208984375,0.07263384014368057,2.442107677459717,1.2314019203186035,0.0,128,0.0,0.9582663774490356,1.0960965156555176,713224.2192362952,10000.0,6253074.5,8,0,417,637.9415597915649
208896,56.32591690978257,10,0.1731531322002411,9.880861282348633,0,0.0,8.927638449147306,0.0,1.4558501243591309,5.882856369018555,191.18771362304688,196.7149200439453,1348.8955078125,837.606689453125,0.09204369783401489,1.8926340341567993,-9.539804458618164,0.0,128,0.0,0.9858676195144653,1.2691192626953125,1079825.5295993346,10000.0,6525498.5,24,0,1000,632.388060092926
249856,55.83176348827469,10,0.004888862371444702,9.764932632446289,0,0.0,9.78314969631104,0.0,1.442454218864441,5.168854713439941,57.95685577392578,55.60795593261719,2125.1953125,689.9620971679688,0.08451617509126663,1.7438814640045166,-7.2440032958984375,0.0,128,0.0,1.0209156274795532,1.7553595304489136,1365028.6866433504,10000.0,7189220.0,24,0,1000,635.2171494960785
290816,55.15040255602314,10,0.09406879544258118,14.566959381103516,0,0.0,10.567468683582062,0.0,1.4330642223358154,6.086870193481445,49.91453552246094,41.091129302978516,2017.510986328125,280.3262634277344,0.10158341377973557,2.0124740600585938,7.0428290367126465,0.0,128,0.0,1.1021792888641357,2.6831679344177246,1659362.2323579672,10000.0,10285573.0,24,0,1000,650.837872505188
331776,62.58094354397211,10,0.09541675448417664,7.94097900390625,0,0.0,9.463420693691432,0.0,1.4747873544692993,7.895175457000732,45.78672790527344,29.215627670288086,2077.325439453125,120.55496215820312,0.08183618634939194,2.349874973297119,6.7634172439575195,0.0,128,0.0,1.2519229650497437,4.151684761047363,1987995.3676916244,10000.0,16007241.0,32,0,1000,646.8661587238312
372736,56.58937955888158,10,-0.1303909420967102,7.730190277099609,0,0.0,7.461669433161776,0.0,1.4480016231536865,5.182068824768066,4.2940568923950195,2.156292676925659,2233.836669921875,43.09381866455078,0.0709393322467804,1.7973906993865967,1.5722911357879639,0.0,128,0.0,1.4112074375152588,7.201838493347168,2301625.9601467806,10000.0,12061453.0,64,0,1000,673.3756098747253
