scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
1a,nopinn,none,False,False,False,0.0,42,deterministic,67.77244000000124,138.28563577858162,0.0,0.0,17.03776966837886,1.2889868324328035
1a,nopinn,none,False,False,False,0.0,42,stochastic,-10.661460000000025,107.42858696216942,0.0,0.0,14.587472559965917,4.141466304389639
1a,nopinn,none,False,False,False,0.0,123,deterministic,81.36998000000077,124.03342217555563,0.08,0.0,47.991870274476504,0.9112512464382576
1a,nopinn,none,False,False,False,0.0,123,stochastic,5.2229399999999915,122.13908653472235,0.0,0.0,15.578757828234401,5.145123362444582
1a,nopinn,none,False,False,False,0.0,456,deterministic,132.28246000000007,152.893897870021,0.0,0.0,70.20634559079582,1.8421936541225838
1a,nopinn,none,False,False,False,0.0,456,stochastic,85.91614000000008,151.492452421104,0.0,0.0,14.530344465447818,3.858156631798143
1a,nopinn,none,False,False,False,0.0,789,deterministic,87.34155999999967,86.64473305358153,0.02,0.0,137.49611967618338,1.276000073499122
1a,nopinn,none,False,False,False,0.0,789,stochastic,136.88727999999944,167.23688740825546,0.0,0.0,13.807110001912498,3.686560253346102
1a,nopinn,none,False,False,False,0.0,999,deterministic,69.62412000000106,126.2440539397635,0.0,0.0,11.968908906887794,2.7294200406773577
1a,nopinn,none,False,False,False,0.0,999,stochastic,-43.17686,97.04177353140444,0.0,0.0,16.698264579760192,4.816499860551345
1a,pinn_critic,critic,False,False,False,0.001,42,deterministic,104.03302000000056,126.4628543961412,0.0,0.0,83.41539431755771,1.1674214268387546
1a,pinn_critic,critic,False,False,False,0.001,42,stochastic,-38.059920000000005,104.53621440626974,0.0,0.0,16.629220075263166,4.094074531355459
1a,pinn_critic,critic,False,False,False,0.001,123,deterministic,131.97448000000048,74.69105764580921,0.08,0.0,48.70604909625792,0.7799897600354478
1a,pinn_critic,critic,False,False,False,0.001,123,stochastic,4.169859999999964,106.03871448485407,0.0,0.0,15.67794176453078,5.326975352095321
1a,pinn_critic,critic,False,False,False,0.001,456,deterministic,88.10927999999979,90.88841217383896,0.0,0.0,9.82633931399146,0.8063604925659698
1a,pinn_critic,critic,False,False,False,0.001,456,stochastic,-25.308199999999985,92.32326606007824,0.0,0.0,17.432092660150577,5.94015833770288
1a,pinn_critic,critic,False,False,False,0.001,789,deterministic,121.03605999999976,86.66676956190508,0.04,0.0,95.65485870331513,0.7082183813826041
1a,pinn_critic,critic,False,False,False,0.001,789,stochastic,164.84379999999925,179.23617837981215,0.0,0.0,14.355077281820863,3.8207104282474997
1a,pinn_critic,critic,False,False,False,0.001,999,deterministic,111.20164000000139,185.60496312510375,0.0,0.0,12.321331414593779,2.7672281791969193
