job_id,scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_ttc,use_stop,use_fric,lambda_phys,seed,use_intent
0,1a,nopinn,none,False,False,True,True,True,0.0,42,False
1,1a,nopinn,none,False,False,True,True,True,0.0,123,False
2,1a,nopinn,none,False,False,True,True,True,0.0,456,False
3,1a,nopinn,none,False,False,True,True,True,0.0,789,False
4,1a,nopinn,none,False,False,True,True,True,0.0,999,False
5,1a,pinn_critic,critic,False,False,True,True,True,0.001,42,False
6,1a,pinn_critic,critic,False,False,True,True,True,0.001,123,False
7,1a,pinn_critic,critic,False,False,True,True,True,0.001,456,False
8,1a,pinn_critic,critic,False,False,True,True,True,0.001,789,False
9,1a,pinn_critic,critic,False,False,True,True,True,0.001,999,False
10,1a,pinn_critic,critic,False,False,True,True,True,0.01,42,False
11,1a,pinn_critic,critic,False,False,True,True,True,0.01,123,False
12,1a,pinn_critic,critic,False,False,True,True,True,0.01,456,False
13,1a,pinn_critic,critic,False,False,True,True,True,0.01,789,False
14,1a,pinn_critic,critic,False,False,True,True,True,0.01,999,False
15,1a,pinn_critic,critic,False,False,True,True,True,0.05,42,False
16,1a,pinn_critic,critic,False,False,True,True,True,0.05,123,False
17,1a,pinn_critic,critic,False,False,True,True,True,0.05,456,False
18,1a,pinn_critic,critic,False,False,True,True,True,0.05,789,False
19,1a,pinn_critic,critic,False,False,True,True,True,0.05,999,False
20,1a,pinn_critic,critic,False,False,True,True,True,0.1,42,False
21,1a,pinn_critic,critic,False,False,True,True,True,0.1,123,False
22,1a,pinn_critic,critic,False,False,True,True,True,0.1,456,False
23,1a,pinn_critic,critic,False,False,True,True,True,0.1,789,False
24,1a,pinn_critic,critic,False,False,True,True,True,0.1,999,False
25,1a,pinn_critic,critic,False,False,True,True,True,0.2,42,False
26,1a,pinn_critic,critic,False,False,True,True,True,0.2,123,False
27,1a,pinn_critic,critic,False,False,True,True,True,0.2,456,False
28,1a,pinn_critic,critic,False,False,True,True,True,0.2,789,False
29,1a,pinn_critic,critic,False,False,True,True,True,0.2,999,False
30,1a,pinn_critic,critic,False,False,True,True,True,0.5,42,False
31,1a,pinn_critic,critic,False,False,True,True,True,0.5,123,False
32,1a,pinn_critic,critic,False,False,True,True,True,0.5,456,False
33,1a,pinn_critic,critic,False,False,True,True,True,0.5,789,False
34,1a,pinn_critic,critic,False,False,True,True,True,0.5,999,False
35,1a,pinn_critic,critic,False,False,True,True,True,1.0,42,False
36,1a,pinn_critic,critic,False,False,True,True,True,1.0,123,False
37,1a,pinn_critic,critic,False,False,True,True,True,1.0,456,False
38,1a,pinn_critic,critic,False,False,True,True,True,1.0,789,False
39,1a,pinn_critic,critic,False,False,True,True,True,1.0,999,False
40,1a,pinn_actor,actor,False,False,True,True,True,0.001,42,False
