job_id,scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_ttc,use_stop,use_fric,lambda_phys,seed,use_intent
0,2,nopinn,none,False,False,True,True,True,0.0,42,False
1,2,nopinn,none,False,False,True,True,True,0.0,123,False
2,2,nopinn,none,False,False,True,True,True,0.0,456,False
3,2,nopinn,none,False,False,True,True,True,0.0,789,False
4,2,nopinn,none,False,False,True,True,True,0.0,999,False
5,2,pinn_critic,critic,False,False,True,True,True,0.001,42,False
6,2,pinn_critic,critic,False,False,True,True,True,0.001,123,False
7,2,pinn_critic,critic,False,False,True,True,True,0.001,456,False
8,2,pinn_critic,critic,False,False,True,True,True,0.001,789,False
9,2,pinn_critic,critic,False,False,True,True,True,0.001,999,False
10,2,pinn_critic,critic,False,False,True,True,True,0.01,42,False
11,2,pinn_critic,critic,False,False,True,True,True,0.01,123,False
12,2,pinn_critic,critic,False,False,True,True,True,0.01,456,False
13,2,pinn_critic,critic,False,False,True,True,True,0.01,789,False
14,2,pinn_critic,critic,False,False,True,True,True,0.01,999,False
15,2,pinn_critic,critic,False,False,True,True,True,0.05,42,False
16,2,pinn_critic,critic,False,False,True,True,True,0.05,123,False
17,2,pinn_critic,critic,False,False,True,True,True,0.05,456,False
18,2,pinn_critic,critic,False,False,True,True,True,0.05,789,False
19,2,pinn_critic,critic,False,False,True,True,True,0.05,999,False
20,2,pinn_critic,critic,False,False,True,True,True,0.1,42,False
21,2,pinn_critic,critic,False,False,True,True,True,0.1,123,False
22,2,pinn_critic,critic,False,False,True,True,True,0.1,456,False
23,2,pinn_critic,critic,False,False,True,True,True,0.1,789,False
24,2,pinn_critic,critic,False,False,True,True,True,0.1,999,False
25,2,pinn_critic,critic,False,False,True,True,True,0.2,42,False
26,2,pinn_critic,critic,False,False,True,True,True,0.2,123,False
27,2,pinn_critic,critic,False,False,True,True,True,0.2,456,False
28,2,pinn_critic,critic,False,False,True,True,True,0.2,789,False
29,2,pinn_critic,critic,False,False,True,True,True,0.2,999,False
30,2,pinn_critic,critic,False,False,True,True,True,0.5,42,False
31,2,pinn_critic,critic,False,False,True,True,True,0.5,123,False
32,2,pinn_critic,critic,False,False,True,True,True,0.5,456,False
33,2,pinn_critic,critic,False,False,True,True,True,0.5,789,False
34,2,pinn_critic,critic,False,False,True,True,True,0.5,999,False
35,2,pinn_critic,critic,False,False,True,True,True,1.0,42,False
36,2,pinn_critic,critic,False,False,True,True,True,1.0,123,False
37,2,pinn_critic,critic,False,False,True,True,True,1.0,456,False
38,2,pinn_critic,critic,False,False,True,True,True,1.0,789,False
39,2,pinn_critic,critic,False,False,True,True,True,1.0,999,False
40,2,pinn_actor,actor,False,False,True,True,True,0.001,42,False
41,2,pinn_actor,actor,False,False,True,True,True,0.001,123,False
42,2,pinn_actor,actor,False,False,True,True,True,0.001,456,False
43,2,pinn_actor,actor,False,False,True,True,True,0.001,789,False
44,2,pinn_actor,actor,False,False,True,True,True,0.001,999,False
45,2,pinn_actor,actor,False,False,True,True,True,0.01,42,False
46,2,pinn_actor,actor,False,False,True,True,True,0.01,123,False
47,2,pinn_actor,actor,False,False,True,True,True,0.01,456,False
