scenario,maneuver,intent,method,n,final_collision_rate,final_success_rate,final_mean_reward,min_ttc_eval,mean_ttc_eval
1a,right_stem,False,CBF,10,0.0525±0.0461,0.946±0.0439,3.11e+04±1.23e+04,0±0,6.62±1.17
1a,stem_left,False,CBF,1,0.0988,0.901,2.14e+04,0,6.23
1a,stem_right,False,DRPPO,5,0.0486±0.00815,0.951±0.00815,2.17e+04±170,0±0,6.11±0.0501
1a,stem_right,False,CBF,5,0.0477±0.0172,0.952±0.0172,2.34e+04±3.25e+03,0±0,6.21±0.173
1a,stem_right,True,DRPPO,5,0.0386±0.0113,0.961±0.0113,2.46e+04±6.11e+03,0.0512±0.114,8.06±4.25
1a,stem_right,True,CBF,5,0.0399±0.00488,0.96±0.00488,2.18e+04±158,0±0,6.14±0.0946
1b,stem_right,False,DRPPO,5,0.529±0.0542,0.176±0.0706,9.35e+03±2.99e+03,0±0,72.4±34.2
1b,stem_right,False,CBF,5,0.579±0.0461,0.2±0.0245,9.65e+03±999,0±0,72.6±54.6
1b,stem_right,True,DRPPO,5,0.594±0.118,0.163±0.126,8.86e+03±3.93e+03,0±0,64±35.1
1b,stem_right,True,CBF,5,0.578±0.0516,0.134±0.078,7.89e+03±2.49e+03,0±0,67.3±53.4
2_dense,right_left,False,DRPPO,5,0±0,0.318±0.399,1.75e+04±7.02e+03,0±0,9.37±2.72
2_dense,right_left,False,CBF,5,0±0,0.272±0.419,1.36e+04±5.23e+03,0±0,16.8±13.6
2_dense,right_left,True,DRPPO,5,0±0,0.0524±0.0657,9.55e+03±2.04e+03,0±0,11.8±4.77
2_dense,right_left,True,CBF,5,0±0,0.0417±0.0701,1.15e+04±2.89e+03,0±0,11.1±1.81
