run_id,method,scenario,seed,convergence_step,converged,total_steps_actual
CAL_cbf_aux_1a_s123,cbf_aux,1a,123,81920.0,True,503808
CAL_cbf_aux_1a_s42,cbf_aux,1a,42,106496.0,True,503808
CAL_cbf_aux_1a_s456,cbf_aux,1a,456,98304.0,True,503808
CAL_cbf_aux_2_dense_s123,cbf_aux,2_dense,123,,False,503808
CAL_cbf_aux_2_dense_s42,cbf_aux,2_dense,42,,False,503808
CAL_cbf_aux_2_dense_s456,cbf_aux,2_dense,456,,False,503808
CAL_drppo_1a_s123,drppo,1a,123,86016.0,True,503808
CAL_drppo_1a_s42,drppo,1a,42,90112.0,True,503808
CAL_drppo_1a_s456,drppo,1a,456,102400.0,True,503808
CAL_drppo_2_dense_s123,drppo,2_dense,123,,False,503808
CAL_drppo_2_dense_s42,drppo,2_dense,42,,False,503808
CAL_drppo_2_dense_s456,drppo,2_dense,456,,False,503808
CAL_eikonal_aux_1a_s123,eikonal_aux,1a,123,86016.0,True,503808
CAL_eikonal_aux_1a_s42,eikonal_aux,1a,42,,False,102400
CAL_eikonal_aux_1a_s456,eikonal_aux,1a,456,94208.0,True,503808
CAL_eikonal_aux_2_dense_s123,eikonal_aux,2_dense,123,,False,503808
CAL_eikonal_aux_2_dense_s42,eikonal_aux,2_dense,42,,False,102400
CAL_eikonal_aux_2_dense_s456,eikonal_aux,2_dense,456,,False,503808
CAL_fusion_aux_1a_s123,fusion_aux,1a,123,77824.0,True,503808
CAL_fusion_aux_1a_s42,fusion_aux,1a,42,77824.0,True,503808
CAL_fusion_aux_1a_s456,fusion_aux,1a,456,94208.0,True,503808
CAL_fusion_aux_2_dense_s123,fusion_aux,2_dense,123,,False,503808
CAL_fusion_aux_2_dense_s42,fusion_aux,2_dense,42,,False,503808
CAL_fusion_aux_2_dense_s456,fusion_aux,2_dense,456,,False,503808
CAL_hjb_aux_1a_s123,hjb_aux,1a,123,81920.0,True,503808
CAL_hjb_aux_1a_s42,hjb_aux,1a,42,106496.0,True,503808
CAL_hjb_aux_1a_s456,hjb_aux,1a,456,94208.0,True,503808
CAL_hjb_aux_2_dense_s123,hjb_aux,2_dense,123,,False,503808
CAL_hjb_aux_2_dense_s42,hjb_aux,2_dense,42,,False,503808
CAL_hjb_aux_2_dense_s456,hjb_aux,2_dense,456,,False,503808
CAL_soft_hjb_aux_1a_s123,soft_hjb_aux,1a,123,81920.0,True,503808
CAL_soft_hjb_aux_1a_s42,soft_hjb_aux,1a,42,90112.0,True,503808
CAL_soft_hjb_aux_1a_s456,soft_hjb_aux,1a,456,94208.0,True,503808
CAL_soft_hjb_aux_2_dense_s123,soft_hjb_aux,2_dense,123,,False,503808
CAL_soft_hjb_aux_2_dense_s42,soft_hjb_aux,2_dense,42,,False,503808
CAL_soft_hjb_aux_2_dense_s456,soft_hjb_aux,2_dense,456,,False,503808
