scenario,maneuver,metric,method,n_method,n_baseline,mean,ci_low,ci_high,cohens_d,cohens_d_ci_low,cohens_d_ci_high,raw_p_welch,corrected_p_welch,significant_welch,marker_welch,raw_p_mwu,corrected_p_mwu,significant_mwu,marker_mwu,raw_p_paired,corrected_p_paired,significant_paired,marker_paired
1a,right_stem,mean_return,hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_return,soft_hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_return,eikonal_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_return,cbf_aux,60,0,449.94748987557927,427.33312943781925,472.62496330520224,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,collision_rate,hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,collision_rate,soft_hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,collision_rate,eikonal_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,collision_rate,cbf_aux,60,0,0.06749999999999999,0.051995833333333366,0.08383333333333334,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,success_rate,hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,success_rate,soft_hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,success_rate,eikonal_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,success_rate,cbf_aux,60,0,0.928,0.9128333333333333,0.9426666666666667,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_ttc,hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_ttc,soft_hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_ttc,eikonal_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,mean_ttc,cbf_aux,60,0,6.616301741639529,6.262566838902928,7.094674172941496,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,min_ttc,hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,min_ttc,soft_hjb_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,min_ttc,eikonal_aux,0,0,nan,nan,nan,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
1a,right_stem,min_ttc,cbf_aux,60,0,0.13364066350707537,0.11087620151257303,0.15596397678206067,nan,nan,nan,nan,nan,False,n/a,nan,nan,False,n/a,nan,nan,False,n/a
