scenario,maneuver,metric,n,mean,ci_low,ci_high
1a,right_stem,success_rate,10,0.925167,0.897662,0.952008
1a,right_stem,collision_rate,10,0.074833,0.047992,0.102338
1a,right_stem,mean_return,10,399.269852,376.151705,438.112973
1a,right_stem,mean_ttc,10,5.984194,5.823661,6.222852
1a,stem_left,success_rate,10,0.912167,0.895496,0.930004
1a,stem_left,collision_rate,10,0.086333,0.065996,0.1045
1a,stem_left,mean_return,10,398.059521,380.523327,416.257304
1a,stem_left,mean_ttc,10,6.193308,5.989952,6.372437
1a,stem_right,success_rate,10,0.959,0.949833,0.967833
1a,stem_right,collision_rate,10,0.038,0.028329,0.047833
1a,stem_right,mean_return,10,401.64498,396.701015,407.758384
1a,stem_right,mean_ttc,10,6.145142,6.08528,6.207576
1b,stem_left,success_rate,10,0.860833,0.747492,0.966333
1b,stem_left,collision_rate,10,0.046667,0.007,0.088854
1b,stem_left,mean_return,10,358.682563,317.942906,397.660759
1b,stem_left,mean_ttc,10,5.391969,5.031241,5.75522
1b,stem_right,success_rate,10,0.216667,0.156167,0.266337
1b,stem_right,collision_rate,10,0.525833,0.449808,0.602842
1b,stem_right,mean_return,10,159.776336,142.847388,176.401252
1b,stem_right,mean_ttc,10,7.511374,7.021293,8.054903
2,stem_left,success_rate,10,0.761167,0.513817,0.934679
2,stem_left,collision_rate,10,0.076167,0.057496,0.101333
2,stem_left,mean_return,10,309.970061,239.236131,361.334644
2,stem_left,mean_ttc,10,5.780602,4.85188,7.050152
2,stem_right,success_rate,10,0.343167,0.315654,0.367167
2,stem_right,collision_rate,10,0.3655,0.320325,0.414354
2,stem_right,mean_return,10,161.946457,151.542252,171.902252
2,stem_right,mean_ttc,10,6.86136,6.39331,7.395506
2_dense,right_left,success_rate,10,0.1775,0.043646,0.364525
2_dense,right_left,collision_rate,10,0.000833,0.0,0.001667
2_dense,right_left,mean_return,10,76.595995,43.225702,125.694012
2_dense,right_left,mean_ttc,10,9.353617,8.327242,10.321788
3,left_right,success_rate,10,0.0095,0.002,0.021671
3,left_right,collision_rate,10,0.037,0.024329,0.049833
3,left_right,mean_return,10,110.823101,100.116947,119.496288
3,left_right,mean_ttc,10,28.588796,21.017147,36.547503
3,right_left,success_rate,10,0.6455,0.358158,0.8707
3,right_left,collision_rate,10,0.000167,0.0,0.0005
3,right_left,mean_return,10,225.510208,158.701898,279.388619
3,right_left,mean_ttc,10,7.50451,5.596484,9.933786
4,stem_left,success_rate,10,0.725333,0.539667,0.902342
4,stem_left,collision_rate,10,0.104667,0.092162,0.1165
4,stem_left,mean_return,10,312.96088,254.234139,366.053387
4,stem_left,mean_ttc,10,7.325477,6.271895,8.616168
4,stem_right,success_rate,10,0.3615,0.328329,0.392838
4,stem_right,collision_rate,10,0.2345,0.17515,0.306171
4,stem_right,mean_return,10,179.845293,168.79849,189.986128
4,stem_right,mean_ttc,10,8.184158,6.942751,9.558085
