scenario,maneuver,seed,machine,success_rate,collision_rate,mean_return,mean_ttc
1a,right_stem,42,cmu5_p2,0.958333,0.041667,395.328378,5.742794
1a,right_stem,123,cmu5_p2,0.96,0.04,387.10811,5.995998
1a,right_stem,456,cmu5_p2,0.903333,0.096667,378.396903,5.811756
1a,right_stem,789,cmu5_p2,0.88,0.12,369.75279,5.735275
1a,right_stem,999,cmu5_p2,0.968333,0.031667,391.460795,5.964315
1a,right_stem,1111,cmu5_p2,0.958333,0.041667,391.909498,5.755642
1a,right_stem,2222,cmu5_p2,0.87,0.13,370.515097,6.048213
1a,right_stem,3333,cmu5_p2,0.888333,0.111667,372.886777,6.085218
1a,right_stem,4444,cmu5_p2,0.866667,0.133333,368.761928,5.764409
1a,right_stem,5555,cmu5_p2,0.998333,0.001667,566.578242,6.938319
1a,stem_left,42,cmu5_p2,0.881667,0.118333,376.609218,6.261004
1a,stem_left,123,cmu5_p2,0.875,0.125,363.716098,5.528744
1a,stem_left,456,cmu5_p2,0.903333,0.096667,387.7184,6.384986
1a,stem_left,789,cmu5_p2,0.875,0.125,382.49481,6.231653
1a,stem_left,999,cmu5_p2,0.921667,0.078333,454.57137,6.621371
1a,stem_left,1111,cmu5_p2,0.905,0.095,388.545513,6.397848
1a,stem_left,2222,cmu5_p2,0.906667,0.093333,369.57971,6.106452
1a,stem_left,3333,cmu5_p2,0.955,0.045,408.73523,5.730011
1a,stem_left,4444,cmu5_p2,0.935,0.065,391.539145,6.275341
1a,stem_left,5555,cmu5_p2,0.963333,0.021667,457.08572,6.395669
1a,stem_right,42,cmu5_p2,0.955,0.045,397.987323,6.095925
1a,stem_right,123,cmu5_p2,0.945,0.055,398.38682,6.112578
1a,stem_right,456,cmu5_p2,0.953333,0.046667,396.616948,6.313866
1a,stem_right,789,cmu5_p2,0.991667,0.008333,424.549878,6.061688
1a,stem_right,999,cmu5_p2,0.971667,0.028333,405.321983,6.055849
1a,stem_right,1111,cmu5_p2,0.96,0.04,400.109467,6.222414
1a,stem_right,2222,cmu5_p2,0.966667,0.033333,410.142618,6.232523
1a,stem_right,3333,cmu5_p2,0.931667,0.068333,391.251892,6.14727
1a,stem_right,4444,cmu5_p2,0.953333,0.018333,395.363953,6.24136
1a,stem_right,5555,cmu5_p2,0.961667,0.036667,396.71892,5.96795
1b,stem_left,42,cmu6_p2,0.823333,0.035,312.864377,5.518252
1b,stem_left,123,cmu6_p2,0.585,0.156667,262.229673,5.991748
1b,stem_left,456,cmu6_p2,0.663333,0.095,278.723507,6.387656
1b,stem_left,789,cmu6_p2,1.0,0.0,414.27498,4.891636
1b,stem_left,999,cmu6_p2,1.0,0.0,413.36739,5.142433
1b,stem_left,1111,cmu6_p2,1.0,0.0,414.238778,4.872514
1b,stem_left,2222,cmu6_p2,1.0,0.0,413.894938,4.936043
1b,stem_left,3333,cmu6_p2,1.0,0.0,414.106483,4.881212
1b,stem_left,4444,cmu6_p2,1.0,0.0,399.600947,4.896717
1b,stem_left,5555,cmu6_p2,0.536667,0.18,263.524562,6.40148
1b,stem_right,42,cmu6_p2,0.208333,0.556667,157.008125,8.656488
1b,stem_right,123,cmu6_p2,0.206667,0.768333,123.397048,6.18702
1b,stem_right,456,cmu6_p2,0.323333,0.365,191.40739,8.18119
1b,stem_right,789,cmu6_p2,0.243333,0.486667,186.469537,7.481061
1b,stem_right,999,cmu6_p2,0.205,0.555,151.042043,6.795335
1b,stem_right,1111,cmu6_p2,0.308333,0.416667,191.064292,6.839338
1b,stem_right,2222,cmu6_p2,0.238333,0.583333,157.464842,6.842058
1b,stem_right,3333,cmu6_p2,0.31,0.32,192.110812,8.476643
1b,stem_right,4444,cmu6_p2,0.108333,0.656667,122.902367,6.983519
1b,stem_right,5555,cmu6_p2,0.015,0.55,124.896908,8.671085
2,stem_left,42,cmu6_p2,0.953333,0.046667,369.191897,4.624836
2,stem_left,123,cmu6_p2,0.016667,0.108333,108.15705,10.136822
2,stem_left,456,cmu6_p2,0.155,0.17,121.335858,8.260669
2,stem_left,789,cmu6_p2,0.918333,0.071667,365.623405,5.20127
2,stem_left,999,cmu6_p2,0.928333,0.065,350.641288,4.81025
2,stem_left,1111,cmu6_p2,0.953333,0.046667,365.623223,4.8945
2,stem_left,2222,cmu6_p2,0.955,0.045,359.474675,4.972785
2,stem_left,3333,cmu6_p2,0.95,0.05,374.641425,5.017815
2,stem_left,4444,cmu6_p2,0.888333,0.078333,326.210232,4.376771
2,stem_left,5555,cmu6_p2,0.893333,0.08,358.801555,5.510298
2,stem_right,42,cmu7_p2,0.371667,0.373333,159.87394,5.762754
2,stem_right,123,cmu7_p2,0.368333,0.45,168.27108,6.501276
2,stem_right,456,cmu7_p2,0.36,0.253333,155.763923,6.39781
2,stem_right,789,cmu7_p2,0.375,0.28,180.272168,8.231372
2,stem_right,999,cmu7_p2,0.3,0.418333,154.2844,6.914973
2,stem_right,1111,cmu7_p2,0.375,0.303333,163.438378,7.354306
2,stem_right,2222,cmu7_p2,0.395,0.33,191.175142,7.357482
2,stem_right,3333,cmu7_p2,0.348333,0.38,170.407548,6.30588
2,stem_right,4444,cmu7_p2,0.288333,0.34,150.049417,8.068444
2,stem_right,5555,cmu7_p2,0.25,0.526667,125.928578,5.7193
2_dense,right_left,42,cmu7_p2,0.013333,0.003333,39.10055,9.508801
2_dense,right_left,123,cmu7_p2,0.018333,0.0,30.233748,9.754303
2_dense,right_left,456,cmu7_p2,0.008333,0.0,57.818175,11.330195
2_dense,right_left,789,cmu7_p2,0.97,0.003333,288.757703,5.672837
2_dense,right_left,999,cmu7_p2,0.041667,0.0,69.388275,10.388251
2_dense,right_left,1111,cmu7_p2,0.233333,0.0,82.906528,8.405948
2_dense,right_left,2222,cmu7_p2,0.02,0.0,47.146978,10.970974
2_dense,right_left,3333,cmu7_p2,0.241667,0.001667,80.260973,8.10102
2_dense,right_left,4444,cmu7_p2,0.01,0.0,46.90076,11.415263
2_dense,right_left,5555,cmu7_p2,0.218333,0.0,23.446253,7.988581
3,left_right,42,cmu7_p2,0.001667,0.045,126.662043,46.001906
3,left_right,123,cmu7_p2,0.006667,0.013333,70.843582,41.487889
3,left_right,456,cmu7_p2,0.005,0.065,102.928842,26.834638
3,left_right,789,cmu7_p2,0.003333,0.076667,126.084017,14.14707
3,left_right,999,cmu7_p2,0.063333,0.03,117.628207,10.195267
3,left_right,1111,cmu7_p2,0.0,0.033333,111.839167,29.227802
3,left_right,2222,cmu7_p2,0.005,0.041667,126.882325,16.15158
3,left_right,3333,cmu7_p2,0.01,0.021667,118.787292,37.423275
3,left_right,4444,cmu7_p2,0.0,0.003333,100.200475,45.659591
3,left_right,5555,cmu7_p2,0.0,0.04,106.375058,18.758945
3,right_left,42,cmu8_p2,1.0,0.0,302.817487,3.906119
3,right_left,123,cmu8_p2,1.0,0.0,300.671597,4.020823
3,right_left,456,cmu8_p2,0.666667,0.0,219.597447,6.86104
3,right_left,789,cmu8_p2,0.645,0.0,229.147292,8.159727
3,right_left,999,cmu8_p2,0.996667,0.0,303.07983,5.430522
3,right_left,1111,cmu8_p2,1.0,0.0,322.657238,5.846096
3,right_left,2222,cmu8_p2,0.066667,0.0,109.086832,10.967136
3,right_left,3333,cmu8_p2,0.036667,0.0,83.69778,14.139973
3,right_left,4444,cmu8_p2,0.996667,0.001667,307.9296,4.281048
3,right_left,5555,cmu8_p2,0.046667,0.0,76.41698,11.432613
4,stem_left,42,cmu8_p2,0.918333,0.081667,382.880045,6.129877
4,stem_left,123,cmu8_p2,0.858333,0.101667,356.350543,7.52327
4,stem_left,456,cmu8_p2,0.023333,0.141667,122.424567,8.878272
4,stem_left,789,cmu8_p2,0.901667,0.095,339.079045,5.093567
4,stem_left,999,cmu8_p2,0.893333,0.105,355.264707,6.303116
4,stem_left,1111,cmu8_p2,0.926667,0.073333,378.784053,6.704057
4,stem_left,2222,cmu8_p2,0.91,0.09,368.310653,5.964621
4,stem_left,3333,cmu8_p2,0.898333,0.101667,362.75578,6.465759
4,stem_left,4444,cmu8_p2,0.868333,0.123333,366.374427,7.725953
4,stem_left,5555,cmu8_p2,0.055,0.133333,97.384983,12.466274
4,stem_right,42,cmu8_p2,0.446667,0.233333,198.750572,6.676404
4,stem_right,123,cmu8_p2,0.415,0.078333,209.555575,12.459225
4,stem_right,456,cmu8_p2,0.386667,0.296667,185.649843,6.464572
4,stem_right,789,cmu8_p2,0.281667,0.196667,169.956217,7.730089
4,stem_right,999,cmu8_p2,0.373333,0.166667,181.940805,8.887125
4,stem_right,1111,cmu8_p2,0.413333,0.213333,192.395405,11.248136
4,stem_right,2222,cmu8_p2,0.323333,0.295,177.211973,6.807528
4,stem_right,3333,cmu8_p2,0.32,0.485,154.153027,5.758209
4,stem_right,4444,cmu8_p2,0.356667,0.135,173.942047,8.869431
4,stem_right,5555,cmu8_p2,0.298333,0.245,154.897468,6.940864
