method,scenario,maneuver,seed,machine,intent,n_iters,window_iters,residual_early,residual_late,residual_ratio,distill_early,distill_late
cbf_aux,1a,right_stem,42,cmu1_p2,True,98,10,0.01943773,0.00687659,0.353775,150.57327985,87.6067421
cbf_aux,1a,right_stem,42,cmu1_p2,False,98,10,0.03746334,0.05277333,1.408666,11.88619013,73.84392242
cbf_aux,1a,right_stem,123,cmu1_p2,True,98,10,0.13539291,0.02087686,0.154195,3.96362493,30.43823109
cbf_aux,1a,right_stem,123,cmu1_p2,False,98,10,0.05546045,0.00276309,0.049821,112.52322603,141.94135971
cbf_aux,1a,right_stem,456,cmu1_p2,True,98,10,0.03652072,0.02035483,0.55735,26.91668016,98.75807114
cbf_aux,1a,right_stem,456,cmu1_p2,False,98,10,0.00245303,0.09640221,39.299264,23.44156503,148.83947258
cbf_aux,1a,right_stem,789,cmu1_p2,True,98,10,0.01013457,19.88628488,1962.223374,41.3719742,84.66679382
cbf_aux,1a,right_stem,789,cmu1_p2,False,98,10,0.02135065,0.07725682,3.618476,110.84365058,92.13885651
cbf_aux,1a,right_stem,999,cmu1_p2,True,98,10,0.01932129,0.06352798,3.287978,2.22212037,75.32849197
cbf_aux,1a,right_stem,999,cmu1_p2,False,98,10,0.02391388,0.17208513,7.196035,121.39813649,107.7811142
cbf_aux,1a,right_stem,1111,cmu1_p2,True,98,10,0.06327207,0.06608094,1.044394,65.89918595,83.48432159
cbf_aux,1a,right_stem,1111,cmu1_p2,False,98,10,0.01100919,0.04320894,3.924808,39.15335863,82.5920599
cbf_aux,1a,right_stem,2222,cmu1_p2,True,98,10,0.21222823,0.10253024,0.483113,5.93431686,103.28389988
cbf_aux,1a,right_stem,2222,cmu1_p2,False,98,10,0.03555743,49.52315063,1392.765061,98.61172177,82.43908615
cbf_aux,1a,right_stem,3333,cmu1_p2,True,98,10,0.01574242,0.0,0.0,0.74963769,21.48466034
cbf_aux,1a,right_stem,3333,cmu1_p2,False,98,10,0.01638117,0.00406522,0.248164,27.11151495,90.81556053
cbf_aux,1a,right_stem,4444,cmu1_p2,True,98,10,5.69187975,0.12421654,0.021823,135.95683484,85.62478294
cbf_aux,1a,right_stem,4444,cmu1_p2,False,98,10,0.17307759,0.0945463,0.546265,76.44817681,64.6321413
cbf_aux,1a,right_stem,5555,cmu1_p2,True,98,10,0.04338671,0.0,0.0,3.42564169,57.78943195
cbf_aux,1a,right_stem,5555,cmu1_p2,False,98,10,0.06487433,0.04889825,0.753738,7.09395807,114.41486397
cbf_aux,1a,stem_left,42,cmu1_p2,True,98,10,0.10039641,0.2437061,2.427439,281.24394062,94.4821125
cbf_aux,1a,stem_left,42,cmu1_p2,False,98,10,0.19676698,0.28360849,1.441342,4.52756446,215.66139832
