scenario,maneuver,metric,method_a,method_b,raw_p_paired,corrected_p_paired,significant_paired,marker_paired,cohens_d
1a,right_stem,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,1.2242142140328283
1a,stem_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,-0.10999816703080881
1a,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,1.9928953017709867
1b,stem_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,2.9544747657650228
1b,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,1.8504594341260365
2,stem_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,5.73017899362162
2,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,3.5311689215439763
2_dense,right_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,0.5915898571824251
3,left_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,1.703047841336322
3,right_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,2.571804319535604
4,stem_left,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,1.9662446086872651
4,stem_right,mean_return,hjb_aux,soft_hjb_aux,nan,nan,False,n/a,3.845843602081225
1a,right_stem,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,-4.943505027047153
1a,stem_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,-5.038461324463125
1a,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,-4.848977455993509
1b,stem_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,3.78902457448894
1b,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,2.7656131867122773
2,stem_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,4.069376549108885
2,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,1.0874728428124176
2_dense,right_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,0.935608292592909
3,left_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,0.06637931112410357
3,right_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,2.5673830512376057
4,stem_left,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,1.346972750350633
4,stem_right,mean_return,hjb_aux,eikonal_aux,nan,nan,False,n/a,1.0835028360126238
1a,right_stem,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,-1.6855526990612253
1a,stem_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,-1.0451769319727175
1a,stem_right,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,-0.17238180592384328
1b,stem_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,2.9658368454099238
1b,stem_right,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,2.358274410743086
2,stem_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,4.043153511721802
2,stem_right,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,1.484392596487073
2_dense,right_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,0.9952690395823371
3,left_right,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,0.17848112764286048
3,right_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,2.034772584186928
4,stem_left,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,1.460200138294193
4,stem_right,mean_return,hjb_aux,fusion_aux,nan,nan,False,n/a,1.7491502617945407
1a,right_stem,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.925691818821024
1a,stem_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-1.0346993739047732
1a,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.9371572120015804
1b,stem_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.41067260440040954
1b,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,0.36714317432027777
2,stem_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.08445208577474095
2,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.22474315221794916
2_dense,right_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.20876465184413706
3,left_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.884977925567671
3,right_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,0.2229182433457466
4,stem_left,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,-0.8146261082772164
4,stem_right,mean_return,hjb_aux,cbf_aux,nan,nan,False,n/a,0.08472662663866087
1a,right_stem,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,-16.109563125445494
1a,stem_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,-20.524990150990433
1a,stem_right,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,-18.314194241658623
1b,stem_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,0.46673704048613596
1b,stem_right,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,1.5315336101488135
2,stem_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,0.577509885277507
2,stem_right,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,1.5409870559800192
2_dense,right_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,-3.6095855264970007
3,left_right,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,0.4197276897828902
3,right_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,-2.177739079667833
4,stem_left,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,0.23047975135108256
4,stem_right,mean_return,hjb_aux,rule_based,nan,nan,False,n/a,2.3430760825813497
1a,right_stem,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-1.2242142140328283
1a,stem_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,0.10999816703080881
1a,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-1.9928953017709867
1b,stem_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-2.9544747657650228
1b,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-1.8504594341260365
2,stem_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-5.73017899362162
2,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-3.5311689215439763
2_dense,right_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-0.5915898571824251
3,left_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-1.703047841336322
3,right_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-2.571804319535604
4,stem_left,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-1.9662446086872651
4,stem_right,mean_return,soft_hjb_aux,hjb_aux,nan,nan,False,n/a,-3.845843602081225
1a,right_stem,mean_return,soft_hjb_aux,eikonal_aux,nan,nan,False,n/a,-5.4476355239654755
