scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
1a,right_stem,cbf_aux,success_rate,10,10,0.942333,0.922,0.964504,0.910833,0.8885,0.937667,0.0315,0.7918,0.09380304919962554,1.0,False,ns
1a,right_stem,cbf_aux,collision_rate,10,10,0.056333,0.033479,0.077008,0.088333,0.062,0.109838,-0.032,-0.7924,0.09339089698871642,1.0,False,ns
1a,right_stem,cbf_aux,mean_return,10,10,417.091583,386.33122,460.855071,386.297941,374.602665,405.944997,30.793641,0.6241,0.18676712707972762,1.0,False,ns
1a,right_stem,drppo,success_rate,10,10,0.933167,0.909663,0.956017,0.925167,0.897662,0.952008,0.008,0.1799,0.6924344293157383,1.0,False,ns
1a,right_stem,drppo,collision_rate,10,10,0.065667,0.041,0.089671,0.074833,0.047992,0.102338,-0.009167,-0.2023,0.6565441797140075,1.0,False,ns
1a,right_stem,drppo,mean_return,10,10,413.314491,380.689515,457.676109,399.269852,376.151705,438.112973,14.044639,0.2228,0.6244722177384712,1.0,False,ns
1a,right_stem,eikonal_aux,success_rate,10,10,0.978,0.951158,0.997167,0.988333,0.980825,0.994167,-0.010333,-0.3565,0.44295783315300563,1.0,False,ns
1a,right_stem,eikonal_aux,collision_rate,10,10,0.0195,0.000167,0.047,0.003667,0.000167,0.010004,0.015833,0.5364,0.2578308923784859,1.0,False,ns
1a,right_stem,eikonal_aux,mean_return,10,10,528.41485,469.40889,571.329784,545.29975,508.016962,569.338774,-16.8849,-0.2349,0.6069107350816048,1.0,False,ns
1a,right_stem,fusion_aux,success_rate,10,5,0.953667,0.931158,0.974838,0.953333,0.91,0.994,0.000333,0.0072,0.991292466523567,1.0,False,ns
1a,right_stem,fusion_aux,collision_rate,10,5,0.042833,0.019996,0.066846,0.045667,0.004,0.09,-0.002833,-0.0582,0.9279479247397338,1.0,False,ns
1a,right_stem,fusion_aux,mean_return,10,5,447.09016,404.294611,493.083125,458.803878,381.238502,533.939625,-11.713718,-0.137,0.8241499191624572,1.0,False,ns
1a,right_stem,hjb_aux,success_rate,10,10,0.905,0.882833,0.928838,0.901167,0.871162,0.929008,0.003833,0.0862,0.8494859724829277,1.0,False,ns
