scenario,maneuver,method,lambda,metric,n,mean,ci_low,ci_high
1a,right_left,cbf_aux,0.01,SR,5,0.9986666666666666,0.9959999999999999,1.0
1a,right_left,cbf_aux,0.01,CR,5,0.0013333333333333335,0.0,0.004
1a,right_left,cbf_aux,0.01,mean_return,5,441.954969,383.6345600000001,500.5976076666666
1a,right_left,cbf_aux,0.01,mean_ttc,5,5.1260691171076544,4.407098129626531,5.847324733791647
1a,right_left,cbf_aux,0.05,SR,5,0.9986666666666666,0.9959999999999999,1.0
1a,right_left,cbf_aux,0.05,CR,5,0.0013333333333333335,0.0,0.004
1a,right_left,cbf_aux,0.05,mean_return,5,412.57772400000005,385.488349,457.27701866666655
1a,right_left,cbf_aux,0.05,mean_ttc,5,5.151249109193024,4.5674250797003015,5.735073138685747
1a,right_left,cbf_aux,0.1,SR,5,0.9973333333333333,0.9946666666666666,1.0
1a,right_left,cbf_aux,0.1,CR,5,0.002666666666666667,0.0,0.005333333333333334
1a,right_left,cbf_aux,0.1,mean_return,5,387.8801686666667,384.19068400000003,393.426302
1a,right_left,cbf_aux,0.1,mean_ttc,5,4.4658854387159295,4.378529383496312,4.553241493935547
1a,right_left,cbf_aux,0.2,SR,5,0.9993333333333332,0.9986666666666666,1.0
1a,right_left,cbf_aux,0.2,CR,5,0.0,0.0,0.0
1a,right_left,cbf_aux,0.2,mean_return,5,506.6476296666668,445.4344736666667,537.9694123333333
1a,right_left,cbf_aux,0.2,mean_ttc,5,5.925256399629537,5.1466284228356765,6.365902250856101
1a,right_left,cbf_aux,0.5,SR,5,0.9976666666666667,0.9949999999999999,1.0
1a,right_left,cbf_aux,0.5,CR,5,0.0023333333333333335,0.0,0.005
1a,right_left,cbf_aux,0.5,mean_return,5,430.2054903333334,380.569539,496.28330100000005
1a,right_left,cbf_aux,0.5,mean_ttc,5,5.302229475873131,4.543639484362695,6.060819467383568
1a,right_left,cbf_aux,1.0,SR,5,0.9986666666666666,0.9959999999999999,1.0
1a,right_left,cbf_aux,1.0,CR,5,0.0013333333333333335,0.0,0.004
1a,right_left,cbf_aux,1.0,mean_return,5,419.73156800000004,384.8250170000001,478.7260446666666
1a,right_left,cbf_aux,1.0,mean_ttc,5,4.780057938043091,4.358673719010662,5.49103214311869
1a,right_left,eikonal_aux,0.01,SR,5,0.9866666666666667,0.9626666666666667,1.0
1a,right_left,eikonal_aux,0.01,CR,5,0.0,0.0,0.0
1a,right_left,eikonal_aux,0.01,mean_return,5,497.1810803333334,450.6515620000001,532.2084803333335
1a,right_left,eikonal_aux,0.01,mean_ttc,5,8.373677863169823,7.490974247997175,9.256381478342469
1a,right_left,eikonal_aux,0.05,SR,5,0.9963333333333333,0.9889999999999999,1.0
1a,right_left,eikonal_aux,0.05,CR,5,0.0,0.0,0.0
1a,right_left,eikonal_aux,0.05,mean_return,5,495.24102133333344,471.4091846666667,519.7170956666666
1a,right_left,eikonal_aux,0.05,mean_ttc,5,8.018263364242669,6.9745305172491765,9.061996211236165
1a,right_left,eikonal_aux,0.1,SR,5,0.9586666666666666,0.8960000000000001,1.0
1a,right_left,eikonal_aux,0.1,CR,5,0.0003333333333333334,0.0,0.001
