scenario,maneuver,method,kl_setting,metric,n,mean,ci_low,ci_high,welch_p,welch_p_adj,sig_05
2_dense,right_left,soft_hjb_aux,on,SR,5,0.3067,0.233,0.382,0.6334,1.0,False
2_dense,right_left,soft_hjb_aux,on,CR,5,0.0,0.0,0.0,0.208,1.0,False
2_dense,right_left,soft_hjb_aux,on,mean_return,5,57.0209,45.0793,70.4774,0.2133,1.0,False
2_dense,right_left,soft_hjb_aux,off,SR,5,0.4018,0.1065,0.7432,0.6334,1.0,False
2_dense,right_left,soft_hjb_aux,off,CR,5,0.001,0.0,0.0023,0.208,1.0,False
2_dense,right_left,soft_hjb_aux,off,mean_return,5,131.1866,53.2554,228.7993,0.2133,1.0,False
2_dense,right_left,eikonal_aux,on,SR,5,0.1147,0.0407,0.1953,0.4682,1.0,False
2_dense,right_left,eikonal_aux,on,CR,5,0.0,0.0,0.0,0.242,1.0,False
2_dense,right_left,eikonal_aux,on,mean_return,5,53.038,28.6002,74.7597,0.3063,1.0,False
2_dense,right_left,eikonal_aux,off,SR,5,0.2697,0.0122,0.659,0.4682,1.0,False
2_dense,right_left,eikonal_aux,off,CR,5,0.0007,0.0,0.0017,0.242,1.0,False
2_dense,right_left,eikonal_aux,off,mean_return,5,114.1551,40.7802,216.5048,0.3063,1.0,False
2_dense,stem_right,soft_hjb_aux,on,SR,5,0.0533,0.0413,0.0663,0.0161,0.242,False
2_dense,stem_right,soft_hjb_aux,on,CR,5,0.468,0.3857,0.5567,0.4915,1.0,False
2_dense,stem_right,soft_hjb_aux,on,mean_return,5,36.1265,27.9535,44.1574,0.0012,0.0197,True
2_dense,stem_right,soft_hjb_aux,off,SR,5,0.1725,0.1148,0.2237,0.0161,0.242,False
2_dense,stem_right,soft_hjb_aux,off,CR,5,0.4143,0.3337,0.5168,0.4915,1.0,False
2_dense,stem_right,soft_hjb_aux,off,mean_return,5,95.645,79.6092,111.9037,0.0012,0.0197,True
2_dense,stem_right,eikonal_aux,on,SR,5,0.055,0.0253,0.1077,0.4248,1.0,False
2_dense,stem_right,eikonal_aux,on,CR,5,0.3617,0.3176,0.4323,0.3588,1.0,False
2_dense,stem_right,eikonal_aux,on,mean_return,5,73.7683,62.0103,91.4279,0.7787,1.0,False
2_dense,stem_right,eikonal_aux,off,SR,5,0.0848,0.0518,0.1322,0.4248,1.0,False
2_dense,stem_right,eikonal_aux,off,CR,5,0.2865,0.1836,0.4127,0.3588,1.0,False
2_dense,stem_right,eikonal_aux,off,mean_return,5,77.061,63.2756,89.5087,0.7787,1.0,False
1b,stem_right,soft_hjb_aux,on,SR,5,0.257,0.2306,0.2853,0.8481,1.0,False
1b,stem_right,soft_hjb_aux,on,CR,5,0.4687,0.4407,0.4977,0.0986,1.0,False
1b,stem_right,soft_hjb_aux,on,mean_return,5,162.4849,150.3479,177.7496,0.3902,1.0,False
1b,stem_right,soft_hjb_aux,off,SR,5,0.2515,0.2117,0.2835,0.8481,1.0,False
1b,stem_right,soft_hjb_aux,off,CR,5,0.5763,0.491,0.6705,0.0986,1.0,False
1b,stem_right,soft_hjb_aux,off,mean_return,5,147.8023,123.9323,171.4556,0.3902,1.0,False
1b,stem_right,eikonal_aux,on,SR,5,0.015,0.006,0.0237,0.0002,0.0031,True
1b,stem_right,eikonal_aux,on,CR,5,0.6283,0.5657,0.6723,0.3261,1.0,False
1b,stem_right,eikonal_aux,on,mean_return,5,95.7931,86.1364,109.2781,0.0006,0.0104,True
1b,stem_right,eikonal_aux,off,SR,5,0.218,0.182,0.2438,0.0002,0.0031,True
1b,stem_right,eikonal_aux,off,CR,5,0.587,0.5448,0.6293,0.3261,1.0,False
1b,stem_right,eikonal_aux,off,mean_return,5,147.5557,140.3764,153.4949,0.0006,0.0104,True
