scenario,maneuver,method,kl_setting,seed,SR,CR,mean_return,n_episodes,run_dir
1b,stem_right,eikonal_aux,off,42,0.15083333333333335,0.6641666666666667,134.72599749999998,1200,T2d_1b_stem_right_eikonal_aux_nokl_s42
1b,stem_right,eikonal_aux,off,123,0.2225,0.515,151.44663583333352,1200,T2d_1b_stem_right_eikonal_aux_nokl_s123
1b,stem_right,eikonal_aux,off,456,0.2575,0.5933333333333334,154.11208833333342,1200,T2d_1b_stem_right_eikonal_aux_nokl_s456
1b,stem_right,eikonal_aux,off,789,0.235,0.6016666666666667,143.59206583333344,1200,T2d_1b_stem_right_eikonal_aux_nokl_s789
1b,stem_right,eikonal_aux,off,999,0.22416666666666665,0.5608333333333333,153.90187833333354,1200,T2d_1b_stem_right_eikonal_aux_nokl_s999
1b,stem_right,eikonal_aux,on,7,0.023333333333333334,0.675,94.46141666666648,600,T2b_1b_stem_right_eikonal_aux_occON_s7
1b,stem_right,eikonal_aux,on,42,0.016666666666666666,0.5133333333333333,122.71100833333364,600,T2b_1b_stem_right_eikonal_aux_occON_s42
1b,stem_right,eikonal_aux,on,123,0.0016666666666666668,0.6733333333333333,93.16463333333363,600,T2b_1b_stem_right_eikonal_aux_occON_s123
1b,stem_right,eikonal_aux,on,456,0.005,0.665,84.83223333333308,600,T2b_1b_stem_right_eikonal_aux_occON_s456
1b,stem_right,eikonal_aux,on,789,0.028333333333333332,0.615,83.79613333333315,600,T2b_1b_stem_right_eikonal_aux_occON_s789
1b,stem_right,soft_hjb_aux,off,42,0.2825,0.4766666666666667,181.92200416666722,1200,T2d_1b_stem_right_soft_hjb_aux_nokl_s42
1b,stem_right,soft_hjb_aux,off,123,0.16833333333333333,0.725,102.71641250000002,1200,T2d_1b_stem_right_soft_hjb_aux_nokl_s123
1b,stem_right,soft_hjb_aux,off,456,0.2791666666666667,0.6208333333333333,142.86113583333324,1200,T2d_1b_stem_right_soft_hjb_aux_nokl_s456
1b,stem_right,soft_hjb_aux,off,789,0.2866666666666667,0.4525,169.36656166666688,1200,T2d_1b_stem_right_soft_hjb_aux_nokl_s789
1b,stem_right,soft_hjb_aux,off,999,0.24083333333333334,0.6066666666666667,142.14553750000022,1200,T2d_1b_stem_right_soft_hjb_aux_nokl_s999
1b,stem_right,soft_hjb_aux,on,7,0.305,0.45166666666666666,167.5046333333333,600,T2b_1b_stem_right_soft_hjb_aux_occON_s7
1b,stem_right,soft_hjb_aux,on,42,0.22166666666666668,0.45666666666666667,149.16601666666645,600,T2b_1b_stem_right_soft_hjb_aux_occON_s42
1b,stem_right,soft_hjb_aux,on,123,0.22666666666666666,0.5116666666666667,150.68092833333355,600,T2b_1b_stem_right_soft_hjb_aux_occON_s123
1b,stem_right,soft_hjb_aux,on,456,0.24666666666666667,0.5016666666666667,152.04563333333323,600,T2b_1b_stem_right_soft_hjb_aux_occON_s456
1b,stem_right,soft_hjb_aux,on,789,0.285,0.4216666666666667,193.02729833333325,600,T2b_1b_stem_right_soft_hjb_aux_occON_s789
2_dense,right_left,eikonal_aux,off,42,0.3016666666666667,0.0008333333333333334,131.9694458333335,1200,T2d_2_dense_right_left_eikonal_aux_nokl_s42
2_dense,right_left,eikonal_aux,off,123,0.9975,0.0025,306.5212341666666,1200,T2d_2_dense_right_left_eikonal_aux_nokl_s123
2_dense,right_left,eikonal_aux,off,456,0.0008333333333333334,0.0,60.6688833333335,1200,T2d_2_dense_right_left_eikonal_aux_nokl_s456
2_dense,right_left,eikonal_aux,off,789,0.005833333333333334,0.0,30.990883333333212,1200,T2d_2_dense_right_left_eikonal_aux_nokl_s789
2_dense,right_left,eikonal_aux,off,999,0.0425,0.0,40.625111666666804,1200,T2d_2_dense_right_left_eikonal_aux_nokl_s999
2_dense,right_left,eikonal_aux,on,7,0.05,0.0,26.096695000000043,600,T2a_2_dense_right_left_eikonal_aux_lam0.2_s7
2_dense,right_left,eikonal_aux,on,42,0.11166666666666666,0.0,60.98643500000001,600,T2a_2_dense_right_left_eikonal_aux_lam0.2_s42
2_dense,right_left,eikonal_aux,on,123,0.27166666666666667,0.0,88.47079666666667,600,T2a_2_dense_right_left_eikonal_aux_lam0.2_s123
2_dense,right_left,eikonal_aux,on,456,0.13333333333333333,0.0,74.72562500000011,600,T2a_2_dense_right_left_eikonal_aux_lam0.2_s456
2_dense,right_left,eikonal_aux,on,789,0.006666666666666667,0.0,14.910608333333293,600,T2a_2_dense_right_left_eikonal_aux_lam0.2_s789
