scenario,maneuver,method,metric,n,mean,ci_low,ci_high
2_dense,stem_right,cbf_aux,SR,5,0.151,0.09333333333333334,0.19
2_dense,stem_right,cbf_aux,CR,5,0.344,0.25421666666666665,0.40800000000000003
2_dense,stem_right,cbf_aux,mean_return,5,96.01101433333321,80.97603699999993,107.49200359999992
2_dense,stem_right,cbf_aux,mean_ttc,5,7.20550574441926,5.993048720380928,8.423419550244397
2_dense,stem_right,drppo,SR,5,0.15166666666666667,0.08266666666666667,0.209
2_dense,stem_right,drppo,CR,5,0.32566666666666666,0.18433333333333332,0.457
2_dense,stem_right,drppo,mean_return,5,99.95151466666655,81.52145333333324,119.62083166666658
2_dense,stem_right,drppo,mean_ttc,5,7.659513193773367,6.86962964105592,8.559837055535848
2_dense,stem_right,eikonal_aux,SR,5,0.05266666666666666,0.036333333333333336,0.07166666666666667
2_dense,stem_right,eikonal_aux,CR,5,0.3416666666666667,0.29399999999999993,0.4043333333333333
2_dense,stem_right,eikonal_aux,mean_return,5,63.403187333333406,49.60665066666676,77.19972400000003
2_dense,stem_right,eikonal_aux,mean_ttc,5,8.405330855047307,7.85544920740542,8.953796261736466
2_dense,stem_right,hjb_aux,SR,5,0.12,0.06300000000000001,0.16933333333333334
2_dense,stem_right,hjb_aux,CR,5,0.21733333333333332,0.152,0.271
2_dense,stem_right,hjb_aux,mean_return,5,89.78712566666653,77.88152766666649,101.81091399999984
2_dense,stem_right,hjb_aux,mean_ttc,5,7.856309401804731,7.285045562125809,8.345929581947441
2_dense,stem_right,soft_hjb_aux,SR,5,0.05966666666666666,0.02566666666666667,0.11833333333333332
2_dense,stem_right,soft_hjb_aux,CR,5,0.35100000000000003,0.27133333333333337,0.42066666666666663
2_dense,stem_right,soft_hjb_aux,mean_return,5,44.56776999999993,25.295303666666623,70.09509991666648
2_dense,stem_right,soft_hjb_aux,mean_ttc,5,7.161924316622718,6.183313073963085,8.305816530174223
3_dense,stem_right,cbf_aux,SR,5,0.08666666666666664,0.04533333333333333,0.14033333333333334
3_dense,stem_right,cbf_aux,CR,5,0.3283333333333333,0.27233333333333337,0.37633333333333335
3_dense,stem_right,cbf_aux,mean_return,5,88.14949533333336,74.26353999999996,103.7124666666667
3_dense,stem_right,cbf_aux,mean_ttc,5,8.685875501846596,7.060984112042405,10.440119115840217
3_dense,stem_right,drppo,SR,5,0.11700000000000002,0.054333333333333345,0.17733333333333334
3_dense,stem_right,drppo,CR,5,0.30100000000000005,0.134,0.45199999999999996
3_dense,stem_right,drppo,mean_return,5,99.35698933333333,94.012964,106.64093483333329
3_dense,stem_right,drppo,mean_ttc,5,8.255074469070594,6.166445485799896,10.691060359571136
