scenario,maneuver,method,state_setting,metric,n,mean,ci_low,ci_high
1a,stem_right,cbf_aux,novis,SR,5,0.958,0.9453333333333334,0.9726666666666667
1a,stem_right,cbf_aux,novis,CR,5,0.042,0.02733333333333333,0.05466666666666666
1a,stem_right,cbf_aux,novis,mean_return,5,399.98306266666657,395.8423239999999,404.8550826666666
1a,stem_right,cbf_aux,novis,mean_ttc,5,6.114488083345153,6.062801184256505,6.165267698367267
1a,stem_right,drppo,novis,SR,5,0.9483333333333333,0.9443333333333334,0.9533333333333334
1a,stem_right,drppo,novis,CR,5,0.04966666666666667,0.04633333333333334,0.05333333333333333
1a,stem_right,drppo,novis,mean_return,5,398.3033793333333,396.12508887499996,400.48157799999996
1a,stem_right,drppo,novis,mean_ttc,5,7.278026450491502,6.071351143906068,9.582621700456876
1a,stem_right,eikonal_aux,novis,SR,5,0.8153333333333332,0.6293333333333333,0.9993333333333332
1a,stem_right,eikonal_aux,novis,CR,5,0.0,0.0,0.0
1a,stem_right,eikonal_aux,novis,mean_return,5,433.7768713333333,369.4942296666666,497.9082876666665
1a,stem_right,eikonal_aux,novis,mean_ttc,5,8.80268808290368,7.5363422545522285,10.109262402878013
1a,stem_right,hjb_aux,novis,SR,5,0.968,0.9566666666666667,0.9813333333333333
1a,stem_right,hjb_aux,novis,CR,5,0.031999999999999994,0.018666666666666668,0.043333333333333335
1a,stem_right,hjb_aux,novis,mean_return,5,404.1576513333333,397.4481473333333,413.1830516666666
1a,stem_right,hjb_aux,novis,mean_ttc,5,6.102509129782,6.078770529267521,6.125981117720784
1a,stem_right,soft_hjb_aux,novis,SR,5,0.9460000000000001,0.9353333333333333,0.9566666666666667
1a,stem_right,soft_hjb_aux,novis,CR,5,0.054000000000000006,0.043333333333333335,0.06466666666666668
1a,stem_right,soft_hjb_aux,novis,mean_return,5,382.05947933333323,378.63485233333324,385.2788516666666
1a,stem_right,soft_hjb_aux,novis,mean_ttc,5,6.814998290477017,6.5874309944318625,7.000148052699321
1b,stem_right,cbf_aux,novis,SR,5,0.2936666666666667,0.2356666666666667,0.3466666666666667
1b,stem_right,cbf_aux,novis,CR,5,0.55,0.528,0.5833333333333333
1b,stem_right,cbf_aux,novis,mean_return,5,160.9452483333333,144.30878233333328,181.08780665833305
1b,stem_right,cbf_aux,novis,mean_ttc,5,6.424548493590123,6.179840550781259,6.608958543817747
1b,stem_right,drppo,novis,SR,5,0.28099999999999997,0.23433333333333328,0.326
1b,stem_right,drppo,novis,CR,5,0.5533333333333333,0.4926666666666667,0.6193333333333333
1b,stem_right,drppo,novis,mean_return,5,161.32158933333332,150.56100666666669,175.09824066666664
1b,stem_right,drppo,novis,mean_ttc,5,6.762897665559447,6.324005560719079,7.201789770399813
1b,stem_right,eikonal_aux,novis,SR,5,0.181,0.07866666666666666,0.2833333333333333
1b,stem_right,eikonal_aux,novis,CR,5,0.4576666666666666,0.36133333333333334,0.5536666666666666
1b,stem_right,eikonal_aux,novis,mean_return,5,147.97139599999988,124.95383457499997,175.65890099999987
1b,stem_right,eikonal_aux,novis,mean_ttc,5,8.712439262183526,8.24363777036402,9.265065728402513
1b,stem_right,hjb_aux,novis,SR,5,0.26833333333333337,0.16099999999999998,0.34500000000000003
1b,stem_right,hjb_aux,novis,CR,5,0.604,0.5386666666666666,0.7004749999999993
1b,stem_right,hjb_aux,novis,mean_return,5,139.57025866666666,107.38152766666664,164.02454733333343
1b,stem_right,hjb_aux,novis,mean_ttc,5,6.636583783892775,6.181653865494067,7.12970293982863
1b,stem_right,soft_hjb_aux,novis,SR,5,0.229,0.20766666666666667,0.25033333333333335
1b,stem_right,soft_hjb_aux,novis,CR,5,0.5266666666666666,0.4666666666666667,0.564
1b,stem_right,soft_hjb_aux,novis,mean_return,5,152.16937199999995,140.7454616666666,166.48858024166668
1b,stem_right,soft_hjb_aux,novis,mean_ttc,5,7.664937055182473,7.331063208476907,8.008019742930042
2,stem_right,cbf_aux,novis,SR,5,0.36,0.328,0.386
2,stem_right,cbf_aux,novis,CR,5,0.413,0.3396666666666667,0.4996666666666666
2,stem_right,cbf_aux,novis,mean_return,5,154.0627503333332,141.1153833333332,167.0101173333332
2,stem_right,cbf_aux,novis,mean_ttc,5,6.079998309290085,5.30792108560738,6.8836463443262375
2,stem_right,drppo,novis,SR,5,0.34800000000000003,0.29333333333333333,0.38533333333333336
2,stem_right,drppo,novis,CR,5,0.33666666666666667,0.23500000000000001,0.43833333333333335
2,stem_right,drppo,novis,mean_return,5,165.5888633333331,155.05825399999966,173.12856033333316
2,stem_right,drppo,novis,mean_ttc,5,7.4378227252801254,6.3540131971148,8.596301369858132
2,stem_right,eikonal_aux,novis,SR,5,0.28833333333333333,0.257,0.32366666666666666
2,stem_right,eikonal_aux,novis,CR,5,0.22033333333333333,0.11891666666666667,0.32166666666666666
2,stem_right,eikonal_aux,novis,mean_return,5,143.72883399999995,135.77023533333326,153.142465
2,stem_right,eikonal_aux,novis,mean_ttc,5,10.20185739696328,7.661951573563181,13.434964325482548
2,stem_right,hjb_aux,novis,SR,5,0.3166666666666666,0.27493333333333336,0.3576666666666667
2,stem_right,hjb_aux,novis,CR,5,0.3566666666666667,0.2743333333333333,0.44299999999999995
2,stem_right,hjb_aux,novis,mean_return,5,146.9593063333332,125.06742533333322,168.85118733333314
2,stem_right,hjb_aux,novis,mean_ttc,5,6.5028913240904505,5.736362288557945,7.225749478903777
2,stem_right,soft_hjb_aux,novis,SR,5,0.2796666666666667,0.26766666666666666,0.29533333333333334
2,stem_right,soft_hjb_aux,novis,CR,5,0.4413333333333333,0.404,0.4753333333333333
2,stem_right,soft_hjb_aux,novis,mean_return,5,101.36318966666661,91.54995233333331,111.17642699999995
2,stem_right,soft_hjb_aux,novis,mean_ttc,5,6.2443819067318955,5.776082560001349,6.824867391610903
4,stem_right,cbf_aux,novis,SR,5,0.3470000000000001,0.2713333333333333,0.4126666666666667
4,stem_right,cbf_aux,novis,CR,5,0.3466666666666667,0.248,0.4133333333333334
4,stem_right,cbf_aux,novis,mean_return,5,160.02023100000002,141.74817333333345,174.1062993333333
4,stem_right,cbf_aux,novis,mean_ttc,5,7.127871583073249,5.415464462715269,9.341543589934366
4,stem_right,drppo,novis,SR,5,0.4046666666666667,0.38166666666666665,0.42766666666666664
4,stem_right,drppo,novis,CR,5,0.20933333333333332,0.12066666666666666,0.30766666666666664
4,stem_right,drppo,novis,mean_return,5,189.59895266666666,182.3197663333333,196.10541799999996
4,stem_right,drppo,novis,mean_ttc,5,10.059577198278612,7.546365073934652,12.775721987253473
4,stem_right,eikonal_aux,novis,SR,5,0.30766666666666664,0.23266666666666666,0.3756666666666667
4,stem_right,eikonal_aux,novis,CR,5,0.221,0.13133333333333336,0.2886666666666667
4,stem_right,eikonal_aux,novis,mean_return,5,150.41839799999997,131.9509278083333,168.42719499999998
4,stem_right,eikonal_aux,novis,mean_ttc,5,13.257126604637586,9.200021540420057,18.016621643185555
4,stem_right,hjb_aux,novis,SR,5,0.383,0.348,0.418
4,stem_right,hjb_aux,novis,CR,5,0.2826666666666667,0.24100000000000002,0.32433333333333336
4,stem_right,hjb_aux,novis,mean_return,5,172.197145,161.3922276666666,184.22182933333335
4,stem_right,hjb_aux,novis,mean_ttc,5,7.1872296463504295,6.595234954984986,7.779224337715874
4,stem_right,soft_hjb_aux,novis,SR,5,0.333,0.31366666666666665,0.3566666666666667
4,stem_right,soft_hjb_aux,novis,CR,5,0.36099999999999993,0.31566666666666665,0.40633333333333327
4,stem_right,soft_hjb_aux,novis,mean_return,5,110.90970966666671,87.59475566666674,125.08169300000004
4,stem_right,soft_hjb_aux,novis,mean_ttc,5,6.124728248028395,6.0366285136161695,6.21282798244062
