ho_name,method,metric,n_source,n_transfer,source_mean,source_ci_low,source_ci_high,transfer_mean,transfer_ci_low,transfer_ci_high,delta,cohens_d
HO2_noocc_to_occ,soft_hjb_aux,mean_return,40,36,188.93001,142.19136,237.00402,196.94402,150.76244,245.69031,8.01401,0.0538
HO2_noocc_to_occ,soft_hjb_aux,collision_rate,40,36,0.17258,0.10396,0.2458,0.17079,0.09735,0.24989,-0.0018,-0.0079
HO2_noocc_to_occ,soft_hjb_aux,success_rate,40,36,0.45967,0.35383,0.56194,0.47782,0.37356,0.585,0.01816,0.0545
HO2_noocc_to_occ,soft_hjb_aux,mean_ttc,40,36,7.61647,7.04081,8.26018,7.77585,7.08108,8.50964,0.15937,0.075
HO2_noocc_to_occ,hjb_aux,mean_return,40,40,242.90747,202.86956,283.56961,241.82542,203.01128,279.74422,-1.08206,-0.0083
HO2_noocc_to_occ,hjb_aux,collision_rate,40,40,0.13775,0.07996,0.19906,0.13929,0.08216,0.20731,0.00154,0.0076
HO2_noocc_to_occ,hjb_aux,success_rate,40,40,0.58496,0.46287,0.70263,0.58725,0.46229,0.70563,0.00229,0.0059
HO2_noocc_to_occ,hjb_aux,mean_ttc,40,40,7.62032,6.55608,8.9444,7.74994,6.69908,9.13671,0.12963,0.0331
HO2_noocc_to_occ,eikonal_aux,mean_return,40,40,200.55735,149.27626,254.49174,199.68529,148.71804,254.09346,-0.87206,-0.005
HO2_noocc_to_occ,eikonal_aux,collision_rate,40,40,0.16725,0.09478,0.23992,0.17058,0.10024,0.2476,0.00333,0.0137
HO2_noocc_to_occ,eikonal_aux,success_rate,40,40,0.38863,0.28225,0.50481,0.394,0.28729,0.50175,0.00537,0.0151
HO2_noocc_to_occ,eikonal_aux,mean_ttc,40,40,10.3917,9.39872,11.51003,10.42023,9.37985,11.55498,0.02854,0.008
HO2_noocc_to_occ,fusion_aux,mean_return,40,40,195.13664,148.79276,243.85126,193.42625,148.59494,244.34984,-1.71038,-0.0109
HO2_noocc_to_occ,fusion_aux,collision_rate,40,40,0.135,0.08033,0.19288,0.13546,0.07761,0.19488,0.00046,0.0025
HO2_noocc_to_occ,fusion_aux,success_rate,40,40,0.41358,0.30836,0.52227,0.41857,0.31588,0.52978,0.00498,0.0142
HO2_noocc_to_occ,fusion_aux,mean_ttc,40,40,9.21565,8.73718,9.73844,9.37198,8.85126,9.9265,0.15633,0.0917
HO2_noocc_to_occ,cbf_aux,mean_return,40,40,237.90737,198.96725,279.20828,236.01834,194.33454,279.76835,-1.88903,-0.014
HO2_noocc_to_occ,cbf_aux,collision_rate,40,40,0.16887,0.09873,0.24146,0.17208,0.09837,0.24859,0.00321,0.0136
HO2_noocc_to_occ,cbf_aux,success_rate,40,40,0.56208,0.44948,0.67271,0.56017,0.44665,0.67783,-0.00192,-0.0051
HO2_noocc_to_occ,cbf_aux,mean_ttc,40,40,7.70622,6.7741,8.78062,7.64606,6.6887,8.70035,-0.06015,-0.0185
