iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,247.18064284324646,246.8265721797943,214.65387082099915,7.441545724868774,7.408980846405029,1.1489183995872736,-0.0020723771303892136,1.0518885850906372,1.4794611930847168,0.0,0.0,0.0991021916270256,-1023.5574340820312,500.0,8,0,0,8,0,0.1259765625,0.167724609375,0.26123046875,0.2060546875,0.239013671875
2,8192,915.4638555049896,309.9380099773407,274.81210827827454,12.228510618209839,12.164093494415283,4.028064575046301,0.03577084839344025,3.518974781036377,1.350185513496399,0.0,0.024454277008771896,0.4488646686077118,-1270.878173828125,500.0,8,0,0,8,0,0.125244140625,0.166748046875,0.26611328125,0.2958984375,0.14599609375
3,12288,1152.2827427387238,236.80487275123596,210.48321771621704,6.513667106628418,6.465229272842407,79.27820737846196,-0.013949943706393242,63.86566925048828,1.3751106262207031,0.0,0.01933017373085022,15.407157897949219,2811.6904296875,496.0,8,0,1,7,0,0.06884765625,0.221435546875,0.316650390625,0.3037109375,0.08935546875
4,16384,1390.623851776123,238.32773661613464,210.45846009254456,7.316631078720093,7.250426292419434,9.893417589366436,-0.035896070301532745,6.574861526489258,1.3938668966293335,0.0,0.0,3.354452133178711,1689.9058837890625,500.0,8,0,0,8,0,0.096923828125,0.2216796875,0.326171875,0.247314453125,0.10791015625
5,20480,1691.6038372516632,300.9787588119507,254.92333841323853,26.046485424041748,26.010326623916626,112.40693327784538,0.07122324407100677,77.22950744628906,1.3627686500549316,0.0,0.05703495442867279,35.04916763305664,8225.04296875,487.0,8,0,2,6,0,0.088623046875,0.21142578125,0.325927734375,0.27978515625,0.09423828125
6,24576,2043.9748282432556,352.36905908584595,307.37767791748047,23.14575505256653,23.089863538742065,16.40739557147026,0.14506269991397858,10.78766918182373,1.431274175643921,0.0,0.10451836884021759,5.370145320892334,3904.84228515625,500.0,8,0,0,8,0,0.13916015625,0.22900390625,0.289306640625,0.2548828125,0.087646484375
7,28672,2337.9508757591248,293.96188044548035,266.68597984313965,9.356805324554443,9.320299863815308,5.107675172388554,-0.04289116710424423,3.3782739639282227,1.3980982303619385,0.0,0.030493497848510742,1.7417988777160645,160.2573699951172,500.0,8,0,0,8,0,0.1298828125,0.258056640625,0.320556640625,0.17822265625,0.11328125
8,32768,2543.0552277565002,205.10293316841125,179.9543445110321,5.612160921096802,5.5795464515686035,4.41475023329258,0.05411900579929352,3.0321006774902344,1.3955204486846924,0.0,0.0,1.3285305500030518,18.00434112548828,500.0,8,0,0,8,0,0.117919921875,0.304443359375,0.310791015625,0.177734375,0.089111328125
9,36864,2780.177257299423,237.12030577659607,197.7313585281372,16.75476098060608,16.719890832901,78.33656064420938,-0.05259760469198227,63.33946228027344,1.274458646774292,0.0,0.0,15.04969596862793,6588.60302734375,500.0,8,0,0,8,0,0.084716796875,0.387939453125,0.201171875,0.2705078125,0.0556640625
10,40960,2996.9288337230682,216.73752570152283,187.32679796218872,7.13531494140625,7.07597541809082,551.7216557785869,-0.007711000740528107,360.2821044921875,1.2718322277069092,0.0,0.12937593460083008,191.31788635253906,17004.47265625,408.5,10,0,10,0,0,0.0771484375,0.34716796875,0.1962890625,0.33349609375,0.0458984375
