iteration,total_steps,wall_time_seconds,iter_time_seconds,env_step_time_seconds,learn_step_time_seconds,residual_compute_time_seconds,L_total,L_policy,L_value,L_entropy,L_residual_optimality,L_residual_safety,L_distill,mean_reward,mean_episode_length,n_episodes,n_collisions,n_successes,n_timeouts,n_aborts,action_dist_stop,action_dist_creep,action_dist_yield,action_dist_go,action_dist_abort
1,4096,62.52267074584961,62.51637005805969,24.392666339874268,6.473222017288208,6.441119432449341,1.9443647116422653,0.08433648943901062,1.533141851425171,1.5412325859069824,0.0,0.00045894086360931396,0.3264274299144745,-669.7587890625,500.0,8,0,0,8,0,0.1708984375,0.17529296875,0.20751953125,0.2666015625,0.1796875
2,8192,146.67749881744385,52.26005697250366,19.54652976989746,6.060955047607422,6.006367921829224,4.159375365823507,-0.046038802713155746,3.8425490856170654,1.471935749053955,0.0,0.009573660790920258,0.35329142212867737,-1086.602783203125,500.0,8,0,0,8,0,0.17529296875,0.227783203125,0.2197265625,0.248291015625,0.12890625
3,12288,218.59047770500183,71.89941477775574,21.816556453704834,18.261642694473267,18.22978138923645,3.213543765246868,0.07298361510038376,2.622403621673584,1.3987456560134888,0.0,0.0,0.5181565284729004,-467.361328125,500.0,8,0,0,8,0,0.161865234375,0.254150390625,0.21923828125,0.2978515625,0.06689453125
4,16384,306.379492521286,87.77520990371704,24.803096055984497,26.7949378490448,26.759828805923462,32.23831418156624,-0.1730196326971054,30.507381439208984,1.3672860860824585,0.0,0.02107192575931549,1.882880449295044,540.2376708984375,500.0,8,0,0,8,0,0.135498046875,0.237548828125,0.224365234375,0.35986328125,0.042724609375
5,20480,385.3844771385193,78.99768042564392,24.26473116874695,17.514914512634277,17.480956315994263,320.428386926651,-0.06734442710876465,284.6234130859375,1.347739815711975,0.0,0.0,35.872318267822266,7191.3583984375,478.375,8,0,3,5,0,0.107666015625,0.229248046875,0.22314453125,0.396728515625,0.043212890625
6,24576,464.05457615852356,78.65027284622192,22.655333757400513,22.464211463928223,22.42416024208069,306.15876215323806,0.0019395612180233002,224.69271850585938,1.312753438949585,0.0,0.2440113127231598,81.2200927734375,11227.365234375,464.375,8,0,3,5,0,0.0966796875,0.177490234375,0.265380859375,0.3974609375,0.06298828125
7,28672,550.8331551551819,86.77763271331787,25.256134271621704,19.323871612548828,19.223453521728516,50.85960355401039,-0.0587238147854805,35.203269958496094,1.4032111167907715,0.0,0.03511432558298111,15.679943084716797,4993.1494140625,500.0,8,0,0,8,0,0.16455078125,0.17138671875,0.283203125,0.30712890625,0.07373046875
8,32768,629.2625114917755,78.41566753387451,28.48336696624756,8.818609237670898,8.785809516906738,749.1956188678741,-0.09729369729757309,587.4124755859375,1.3084545135498047,0.0,0.1103258952498436,161.77011108398438,12899.1806640625,452.8888888888889,9,0,5,4,0,0.141357421875,0.205810546875,0.2158203125,0.37646484375,0.060546875
9,36864,709.9245920181274,80.66015243530273,28.99781036376953,10.371845006942749,10.338766098022461,1185.8828835049644,0.011530027724802494,747.2670288085938,1.3113694190979004,0.0,0.004928916692733765,438.5993957519531,18834.955078125,378.8,10,0,10,0,0,0.150634765625,0.197998046875,0.1845703125,0.40869140625,0.05810546875
10,40960,789.1163170337677,79.16011238098145,25.553915977478027,9.858103513717651,9.81522536277771,986.8059546798468,0.043351247906684875,597.6238403320312,1.2761465311050415,0.0,0.12911954522132874,389.0096435546875,22935.365234375,316.0,12,0,12,0,0,0.11474609375,0.20751953125,0.166748046875,0.427490234375,0.08349609375
11,45056,874.575918674469,85.45811104774475,28.845797300338745,12.526542663574219,12.494003295898438,707.1713419705629,-0.04797111451625824,431.1642761230469,1.2185628414154053,0.0,0.4463943839073181,275.608642578125,24916.375,297.3076923076923,13,0,13,0,0,0.129638671875,0.21875,0.142578125,0.42626953125,0.082763671875
12,49152,988.6056146621704,70.83291554450989,23.90503478050232,9.139870643615723,9.094331741333008,632.2666268274188,0.09656762331724167,400.5560607910156,1.1711125373840332,0.0,0.0,231.61399841308594,27070.4140625,306.46153846153845,13,0,13,0,0,0.131591796875,0.211181640625,0.15380859375,0.421630859375,0.081787109375
13,53248,1075.4537100791931,86.8212788105011,26.473467111587524,12.358759641647339,12.310678482055664,554.989259859547,-0.021451810374855995,398.8448181152344,1.197970986366272,0.0,0.0,156.1658935546875,28657.123046875,279.2857142857143,14,0,14,0,0,0.100830078125,0.19384765625,0.1318359375,0.454345703125,0.119140625
14,57344,1164.1604783535004,88.70506286621094,28.24909496307373,11.089503049850464,11.048659324645996,426.30607901886106,-0.029690634459257126,325.0639343261719,1.1232044696807861,0.0,0.0,101.27183532714844,30706.537109375,264.8,15,0,15,0,0,0.094970703125,0.18115234375,0.124267578125,0.498291015625,0.101318359375
15,61440,1263.1601774692535,98.96221232414246,29.491368055343628,19.409430265426636,19.369489669799805,592.3380709551275,-0.05230151489377022,396.5135803222656,1.16359543800354,0.0,0.0024940520524978638,195.87429809570312,34838.38671875,257.73333333333335,15,0,15,0,0,0.091552734375,0.18505859375,0.114990234375,0.527099609375,0.081298828125
16,65536,1340.1899816989899,77.01915669441223,26.008045196533203,6.7267234325408936,6.691713809967041,408.54624819010496,0.056944601237773895,238.461669921875,1.1499155759811401,0.0,0.0,170.0276336669922,34624.69921875,249.6875,16,0,16,0,0,0.0791015625,0.170654296875,0.120849609375,0.542724609375,0.086669921875
17,69632,1434.274584531784,94.07724785804749,30.92124056816101,13.613735914230347,13.579886674880981,445.1409664284438,-0.004159914329648018,286.2327880859375,0.9981992244720459,0.0,0.0,158.91233825683594,36937.1328125,244.8125,16,0,16,0,0,0.077392578125,0.15966796875,0.1201171875,0.544189453125,0.0986328125
18,73728,1527.3627812862396,93.07497072219849,28.440765142440796,14.047950983047485,14.013668298721313,609.8080662414432,-0.10000576078891754,382.319580078125,0.9530957341194153,0.0,0.009878642857074738,227.57861328125,36288.1171875,233.2941176470588,17,0,17,0,0,0.066162109375,0.161865234375,0.107421875,0.57666015625,0.087890625
19,77824,1624.045151233673,96.66318607330322,30.69771432876587,14.68229365348816,14.64989948272705,499.7759238407016,-0.11570823937654495,312.49560546875,0.9821106195449829,0.0,0.0,187.39602661132812,36836.94140625,225.66666666666666,18,0,18,0,0,0.06494140625,0.141845703125,0.10400390625,0.60205078125,0.087158203125
